"campaign_id","campaign_duration_days","total_budget_usd","pacing_strategy","week_1_spend_percent","week_2_spend_percent","week_3_spend_percent","week_4_spend_percent","performance_score","conversion_rate","cost_per_conversion","reach_efficiency","frequency_cap","dayparting_enabled","weekend_multiplier","budget_burn_rate","optimization_score"
"camp_pace_001","28","50000","even","0.25","0.25","0.25","0.25","7.2","0.024","52.08","0.78","3.5","true","1.15","0.036","0.72"
"camp_pace_002","28","50000","front_loaded","0.40","0.30","0.20","0.10","6.8","0.021","59.52","0.82","4.2","true","1.20","0.045","0.68"
"camp_pace_003","28","50000","back_loaded","0.15","0.20","0.30","0.35","7.9","0.028","44.64","0.85","2.8","true","1.08","0.028","0.79"
"camp_pace_004","28","75000","accelerating","0.20","0.25","0.30","0.25","8.1","0.031","48.39","0.88","3.1","true","1.12","0.032","0.81"
"camp_pace_005","28","75000","decelerating","0.30","0.25","0.25","0.20","7.5","0.026","57.69","0.81","3.8","false","1.00","0.041","0.75"
"camp_pace_006","21","35000","pulse","0.40","0.20","0.40","0.00","6.9","0.023","60.87","0.79","4.5","true","1.25","0.048","0.69"
"camp_pace_007","35","85000","steady_growth","0.18","0.22","0.28","0.32","8.3","0.033","45.45","0.90","2.5","true","1.05","0.029","0.83"
"camp_pace_008","14","25000","sprint","0.35","0.35","0.30","0.00","7.1","0.025","55.56","0.76","5.1","false","1.30","0.052","0.71"
"camp_pace_009","42","120000","marathon","0.22","0.24","0.26","0.28","8.6","0.036","38.89","0.92","2.2","true","1.02","0.024","0.86"
"camp_pace_010","28","60000","wave_pattern","0.30","0.20","0.30","0.20","7.7","0.027","51.85","0.83","3.3","true","1.18","0.038","0.77"
"camp_pace_011","28","45000","conservative","0.20","0.25","0.30","0.25","7.4","0.025","55.56","0.80","3.6","true","1.10","0.035","0.74"
"camp_pace_012","28","65000","aggressive","0.35","0.30","0.25","0.10","6.6","0.020","65.00","0.84","4.8","false","1.35","0.055","0.66"
"camp_pace_013","35","95000","stepped","0.25","0.25","0.25","0.25","8.0","0.030","47.37","0.86","2.9","true","1.08","0.031","0.80"
"camp_pace_014","21","40000","burst","0.45","0.25","0.30","0.00","7.0","0.024","58.33","0.77","4.3","true","1.22","0.046","0.70"
"camp_pace_015","28","55000","balanced","0.25","0.25","0.25","0.25","7.8","0.029","48.28","0.84","3.2","true","1.12","0.033","0.78"
"camp_pace_016","42","110000","gradual_ramp","0.15","0.20","0.30","0.35","8.4","0.034","44.12","0.91","2.1","true","1.04","0.026","0.84"
"camp_pace_017","14","30000","flash","0.50","0.30","0.20","0.00","6.5","0.019","63.16","0.75","5.5","false","1.40","0.058","0.65"
"camp_pace_018","28","70000","optimized","0.22","0.26","0.28","0.24","8.2","0.032","46.88","0.89","2.7","true","1.06","0.030","0.82"
"camp_pace_019","35","80000","flexible","0.25","0.20","0.30","0.25","7.9","0.031","45.16","0.87","3.0","true","1.15","0.034","0.79"
"camp_pace_020","28","52000","standard","0.25","0.25","0.25","0.25","7.6","0.027","51.85","0.82","3.4","true","1.13","0.036","0.76"
"camp_pace_021","21","38000","intensive","0.40","0.35","0.25","0.00","6.8","0.022","59.09","0.78","4.1","true","1.28","0.047","0.68"
"camp_pace_022","42","125000","sustained","0.23","0.24","0.26","0.27","8.7","0.037","37.84","0.93","2.0","true","1.01","0.023","0.87"
"camp_pace_023","28","48000","adaptive","0.28","0.23","0.27","0.22","7.7","0.028","50.00","0.83","3.3","true","1.16","0.037","0.77"
"camp_pace_024","35","88000","progressive","0.20","0.23","0.28","0.29","8.1","0.032","46.88","0.88","2.6","true","1.07","0.030","0.81"
"camp_pace_025","14","28000","blitz","0.45","0.35","0.20","0.00","6.7","0.021","60.71","0.76","4.9","false","1.38","0.054","0.67"
"camp_pace_026","28","58000","moderated","0.24","0.26","0.26","0.24","7.8","0.029","48.28","0.84","3.1","true","1.11","0.033","0.78"
"camp_pace_027","42","115000","extended","0.18","0.22","0.28","0.32","8.5","0.035","43.48","0.91","2.3","true","1.03","0.027","0.85"
"camp_pace_028","21","42000","concentrated","0.38","0.32","0.30","0.00","7.0","0.023","58.70","0.78","4.0","true","1.26","0.045","0.70"
