"publisher_name","country","inventory_category","available_slots","avg_cpm_eur","audience_quality","brand_safety","content_types","peak_hours","audience_demo","engagement_rate"
"rtl_digital","Germany","premiumVideo","8500","14.20","High","Excellent","Entertainment News Lifestyle","19:00-22:00","Adults 25-54 HHI €55k+","6.8%"
"france_televisions","France","premiumVideo","12200","11.80","Very High","Excellent","Cultural News Entertainment","20:30-22:30","Adults 30-60 educated affluent","7.2%"
"itv_hub","UK","premiumVideo","9800","15.90","High","Good","Drama Entertainment Lifestyle","19:00-22:00","Adults 25-55 mainstream to affluent","5.9%"
"npo_start","Netherlands","premiumVideo","4200","9.50","High","Excellent","Cultural Documentary News","20:00-23:00","Adults 30-65 highly educated","6.5%"
"food_network_europe","Multi","nativeContent","2800","25.00","Perfect","Excellent","Recipe integration opportunities","All day","Food enthusiasts","8.7%"
"conde_nast_digital","Multi","nativeContent","3200","22.50","Excellent","Excellent","Lifestyle editorial placements","All day","Luxury lifestyle consumers","7.2%"
"marmiton","France","nativeContent","1800","28.00","Excellent","Excellent","Recipe and cooking content","Evening","Food enthusiasts","9.1%"
"essen_trinken","Germany","nativeContent","1500","24.80","Excellent","Excellent","Premium food content","Evening","Gourmet food lovers","8.4%"
"the_guardian","UK","displayPremium","18500","6.20","Very High","Excellent","News Culture Lifestyle","All day","Educated affluent socially conscious","3.2%"
"le_monde","France","displayPremium","22100","5.80","Very High","Excellent","News Culture Opinion","All day","Highly educated professional class","2.9%"
"spiegel_online","Germany","displayPremium","25800","4.90","High","Good","News Politics Culture","All day","Educated middle to upper class","2.7%"
"nu_nl","Netherlands","displayPremium","12400","3.80","Medium-High","Good","News Entertainment Sports","All day","Broad demographic skews educated","2.1%"
"instagram","Multi","socialInteractive","35000","9.50","High","Good","Stories Feed posts Reels Shopping","All day","Broad social media users","4.2%"
"tiktok","Multi","socialInteractive","28000","7.80","Medium-High","Good","In-feed ads Branded effects Challenges","Evening","Younger demographics","8.7%"
"facebook","Multi","socialInteractive","26600","7.20","Medium","Good","Feed ads Stories Video ads","Evening","Broad demographics","2.8%"
