"industry_vertical","month","week_of_year","search_volume_index","competition_level","cpc_multiplier","conversion_rate_modifier","audience_size_factor","engagement_score","seasonal_event","holiday_impact_score","weather_correlation","economic_indicator"
"retail","january","2","0.65","0.52","0.85","0.92","0.78","6.8","post_holiday_sales","0.75","cold_weather","0.88"
"retail","february","7","0.72","0.58","0.92","0.95","0.82","7.1","valentines_day","0.82","winter_weather","0.91"
"retail","march","11","0.85","0.68","1.05","1.08","0.95","7.8","spring_prep","0.15","warming_weather","0.96"
"retail","april","15","0.92","0.74","1.12","1.15","1.08","8.2","easter_spring","0.65","mild_weather","1.02"
"retail","may","20","0.88","0.71","1.08","1.12","1.05","8.0","mothers_day","0.78","pleasant_weather","1.05"
"retail","june","24","0.95","0.78","1.18","1.20","1.15","8.5","graduation_season","0.45","summer_begins","1.08"
"retail","july","28","0.98","0.82","1.22","1.25","1.20","8.7","summer_sales","0.35","hot_weather","1.06"
"retail","august","32","1.05","0.88","1.35","1.32","1.28","9.1","back_to_school","0.92","peak_summer","1.09"
"retail","september","36","1.12","0.95","1.45","1.38","1.35","9.4","fall_fashion","0.25","cooling_weather","1.12"
"retail","october","40","1.25","1.08","1.65","1.55","1.48","9.8","halloween_prep","0.85","autumn_weather","1.15"
"retail","november","44","1.45","1.35","1.85","1.75","1.68","10.0","black_friday","0.98","cold_return","1.18"
"retail","december","48","1.38","1.28","1.78","1.68","1.62","9.9","holiday_shopping","0.95","winter_weather","1.22"
"technology","january","3","0.78","0.62","0.88","0.95","0.85","7.2","ces_tech_show","0.88","indoor_time","0.92"
"technology","february","6","0.82","0.65","0.92","0.98","0.88","7.4","winter_indoor","0.25","cold_weather","0.94"
"technology","march","10","0.88","0.71","1.02","1.05","0.95","7.8","spring_launches","0.35","moderate_weather","0.98"
"technology","april","14","0.92","0.76","1.08","1.12","1.02","8.1","product_cycles","0.15","mild_weather","1.01"
"technology","may","19","0.95","0.78","1.12","1.15","1.05","8.3","conference_season","0.65","outdoor_balance","1.04"
"technology","june","23","0.98","0.82","1.18","1.20","1.12","8.5","wwdc_events","0.75","summer_activities","1.06"
"technology","july","27","0.85","0.68","1.05","1.08","0.95","7.8","summer_lull","0.05","vacation_time","1.03"
"technology","august","31","0.88","0.72","1.08","1.12","0.98","8.0","back_to_work","0.25","end_summer","1.05"
"technology","september","35","1.05","0.88","1.25","1.28","1.18","8.8","fall_launches","0.45","productivity_season","1.08"
"technology","october","39","1.12","0.95","1.35","1.38","1.25","9.2","holiday_prep","0.35","indoor_return","1.12"
"technology","november","43","1.25","1.15","1.52","1.48","1.42","9.6","cyber_monday","0.92","shopping_season","1.15"
"technology","december","47","1.18","1.08","1.42","1.38","1.35","9.3","holiday_gifts","0.85","gift_giving","1.18"
"finance","january","1","0.88","0.72","0.95","1.02","0.92","7.6","new_year_planning","0.65","tax_preparation","0.95"
"finance","february","5","0.92","0.76","1.02","1.08","0.95","7.9","tax_season_prep","0.75","financial_planning","0.98"
"finance","march","9","1.05","0.88","1.18","1.25","1.12","8.5","tax_deadline","0.88","quarterly_end","1.02"
"finance","april","13","1.15","0.98","1.32","1.38","1.25","9.0","tax_completion","0.82","spring_planning","1.05"
"finance","may","18","0.98","0.82","1.12","1.18","1.08","8.2","investment_season","0.25","market_activity","1.08"
"finance","june","22","0.95","0.78","1.08","1.15","1.05","8.0","mid_year_review","0.35","summer_spending","1.06"
"finance","july","26","0.85","0.68","0.98","1.05","0.92","7.5","vacation_spending","0.15","leisure_focus","1.03"
"finance","august","30","0.88","0.72","1.02","1.08","0.95","7.7","back_to_school","0.45","education_costs","1.05"
"finance","september","34","1.02","0.85","1.15","1.22","1.12","8.4","quarterly_planning","0.55","business_cycle","1.08"
"finance","october","38","1.08","0.92","1.25","1.32","1.18","8.7","year_end_prep","0.65","retirement_planning","1.12"
"finance","november","42","1.12","0.95","1.32","1.38","1.25","8.9","holiday_budgets","0.75","spending_control","1.15"
"finance","december","46","1.18","1.02","1.42","1.45","1.32","9.2","year_end_tax","0.88","financial_review","1.18"
"automotive","january","4","0.72","0.58","0.88","0.92","0.82","7.0","new_year_deals","0.65","winter_conditions","0.89"
"automotive","february","8","0.68","0.55","0.85","0.88","0.78","6.8","winter_maintenance","0.25","harsh_weather","0.86"
"automotive","march","12","0.82","0.68","1.02","1.05","0.92","7.5","spring_prep","0.35","road_conditions","0.92"
"automotive","april","16","0.95","0.78","1.15","1.18","1.05","8.2","spring_buying","0.45","pleasant_driving","0.98"
"automotive","may","21","1.08","0.88","1.28","1.32","1.18","8.7","summer_prep","0.55","road_trip_season","1.05"
"automotive","june","25","1.12","0.92","1.35","1.38","1.25","8.9","graduation_gifts","0.75","vacation_travel","1.08"
"automotive","july","29","1.05","0.85","1.25","1.28","1.15","8.5","summer_travel","0.25","peak_driving","1.06"
"automotive","august","33","1.15","0.95","1.42","1.45","1.32","9.1","back_to_school","0.65","model_year_end","1.09"
"automotive","september","37","1.25","1.08","1.55","1.58","1.45","9.6","new_model_year","0.88","fall_buying","1.12"
"automotive","october","41","1.18","1.02","1.45","1.48","1.38","9.3","winter_prep","0.45","weather_prep","1.08"
"automotive","november","45","0.98","0.82","1.18","1.22","1.12","8.2","holiday_travel","0.55","thanksgiving_travel","1.05"
"automotive","december","49","0.88","0.72","1.05","1.08","0.98","7.8","year_end_deals","0.75","winter_driving","1.02 "
