"scenario_name","total_budget","objective_primary","objective_secondary","tv_allocation_pct","digital_video_pct","social_media_pct","search_pct","display_pct","radio_pct","ooh_pct","expected_reach_millions","expected_frequency","expected_roas","confidence_level","risk_assessment","implementation_complexity","timeline_weeks","category","target_demographic","seasonality_factor"
"Brand Awareness Launch","2000000","Brand Awareness","Consideration","35","25","20","10","8","2","0","12.5","3.2","2.8","High","Low","Medium","12","CPG","25-54 Mass Market","1.15"
"Performance Conversion","1500000","Conversions","Efficiency","15","20","25","30","8","2","0","8.9","4.1","4.2","High","Medium","Low","8","Retail","25-45 Online Shoppers","1.08"
"Premium Brand Building","3500000","Brand Building","Premium Positioning","40","20","15","10","5","5","5","18.7","2.8","3.1","Medium","Low","High","16","Luxury","35-65 Affluent","0.95"
"Digital-First Launch","800000","Awareness","Engagement","5","35","30","20","10","0","0","6.2","5.2","3.9","High","Medium","Low","6","Tech","18-35 Digital Natives","0.88"
"Omnichannel Retail","2500000","Sales","Brand Building","25","20","20","15","10","5","5","15.8","3.5","3.6","High","Medium","High","14","Retail","25-55 Omnichannel","1.22"
"B2B Lead Generation","1200000","Lead Generation","Thought Leadership","10","25","15","35","10","5","0","2.8","4.8","4.5","Medium","High","Medium","10","B2B","30-55 Decision Makers","1.02"
"Holiday Campaign","4000000","Sales","Urgency","30","25","25","15","5","0","0","22.4","4.2","3.8","High","High","Medium","8","Retail","All Demographics","1.45"
"Local Market Entry","600000","Awareness","Trial","20","15","20","25","10","5","5","3.2","3.8","3.2","Medium","High","High","12","CPG","Local Market","1.18"
"Competitive Defense","1800000","Share Defense","Retention","25","20","20","20","10","3","2","11.2","3.9","3.4","Medium","High","Medium","10","Automotive","Existing Customers","1.05"
"Innovation Launch","2200000","Education","Adoption","20","30","25","15","8","2","0","13.6","3.6","3.7","Medium","Medium","High","14","Tech","Early Adopters","0.92"
"Value Positioning","900000","Price Communication","Volume","30","15","25","20","8","2","0","7.8","4.5","4.1","High","Low","Low","8","CPG","Price Sensitive","1.28"
"Luxury Experience","5000000","Experience","Exclusivity","45","20","10","8","5","7","5","8.9","2.2","2.9","Medium","Low","High","20","Luxury","Ultra Affluent","0.85"
"Mobile-First Gen Z","1100000","Engagement","Virality","2","40","45","10","3","0","0","8.5","6.2","3.5","High","Medium","Medium","6","Fashion","16-25 Gen Z","0.78"
"Traditional Reach","1600000","Mass Reach","Frequency","50","10","15","15","5","5","0","14.2","4.8","2.9","High","Low","Low","10","CPG","35+ Traditional","1.35"
"Cross-Platform Synergy","2800000","Synergy","Efficiency","25","25","20","15","10","3","2","16.8","3.4","3.8","High","Medium","High","12","Automotive","Multi-Platform Users","1.12"
"Seasonal Retail Push","3200000","Sales","Inventory","20","25","30","20","5","0","0","19.6","4.1","4.0","High","Medium","Medium","6","Retail","Seasonal Shoppers","1.38"
"Content Marketing Focus","1400000","Engagement","Education","15","35","30","15","5","0","0","9.8","3.8","3.6","Medium","Medium","High","16","B2B","Content Consumers","0.98"
"Regional Expansion","2100000","Market Entry","Awareness","35","20","20","15","5","3","2","13.4","3.1","3.3","Medium","High","High","18","CPG","Regional Markets","1.15"
"Performance Max Efficiency","1000000","Efficiency","Scale","10","25","20","35","10","0","0","7.2","4.6","4.8","High","Low","Low","4","E-commerce","Performance Focused","1.05"
"Brand Relaunch","2600000","Rebranding","Perception","40","25","20","10","3","2","0","16.2","2.9","3.2","Medium","High","High","20","CPG","Brand Loyalists","1.08"
