"audience_segment","journey_stage","primary_touchpoint","secondary_touchpoint","time_spent_minutes","conversion_probability","influence_score","device_preference","content_type_preference","time_of_day_peak","day_of_week_peak","seasonal_factor","next_stage_probability","drop_off_rate","engagement_quality_score","purchase_intent_score","brand_affinity_score","category","demographic_profile"
"Affluent Millennials","Awareness","Social Media","Digital Video","12.5","0.08","0.75","Mobile","Video Content","Evening","Weekend","1.15","0.82","0.18","8.2","3.1","6.8","Luxury","25-35 High Income Urban"
"Affluent Millennials","Consideration","Search","Review Sites","28.3","0.24","0.85","Desktop","Comparison Content","Afternoon","Weekday","1.08","0.71","0.29","7.9","6.4","7.2","Luxury","25-35 High Income Urban"
"Affluent Millennials","Decision","Email","Retargeting Display","15.7","0.67","0.92","Mobile","Promotional Content","Evening","Weekend","1.12","0.89","0.11","8.7","8.9","7.8","Luxury","25-35 High Income Urban"
"Affluent Millennials","Loyalty","App","Email","8.4","0.45","0.68","Mobile","Personalized Content","Morning","Weekday","1.05","0.78","0.22","7.5","5.2","8.4","Luxury","25-35 High Income Urban"
"Budget Conscious Families","Awareness","TV","Social Media","18.2","0.12","0.68","TV","Entertainment Content","Prime Time","Weekday","1.22","0.75","0.25","7.1","2.8","5.9","Value","30-45 Mid Income Suburban"
"Budget Conscious Families","Consideration","Search","Coupon Sites","35.6","0.31","0.78","Desktop","Deal Content","Afternoon","Weekend","1.18","0.68","0.32","7.8","5.9","6.4","Value","30-45 Mid Income Suburban"
"Budget Conscious Families","Decision","Email","Print Circular","22.1","0.58","0.88","Desktop","Price Comparison","Morning","Weekend","1.25","0.85","0.15","8.1","8.2","6.8","Value","30-45 Mid Income Suburban"
"Budget Conscious Families","Loyalty","Email","Direct Mail","6.8","0.38","0.62","Desktop","Loyalty Content","Evening","Weekday","1.08","0.72","0.28","6.9","4.8","7.2","Value","30-45 Mid Income Suburban"
"Tech Early Adopters","Awareness","Digital Video","Podcast","15.8","0.15","0.82","Mobile","Tech Content","Late Night","Weekday","0.95","0.88","0.12","8.9","4.2","7.5","Innovation","22-35 High Income Tech"
"Tech Early Adopters","Consideration","Review Sites","YouTube","42.3","0.38","0.91","Desktop","Review Content","Evening","Weekend","0.92","0.79","0.21","9.1","7.8","8.1","Innovation","22-35 High Income Tech"
"Tech Early Adopters","Decision","Direct Website","Retargeting","18.9","0.72","0.94","Mobile","Product Demos","Afternoon","Weekday","0.98","0.91","0.09","9.3","9.2","8.6","Innovation","22-35 High Income Tech"
"Tech Early Adopters","Loyalty","App","Community Forums","11.2","0.52","0.76","Mobile","Community Content","Evening","Weekend","0.88","0.84","0.16","8.4","6.1","8.9","Innovation","22-35 High Income Tech"
"Senior Traditionalists","Awareness","TV","Radio","25.4","0.09","0.58","TV","News Content","Morning","Weekday","1.35","0.68","0.32","6.2","2.1","5.4","Traditional","55+ Mid Income"
"Senior Traditionalists","Consideration","Print","Direct Mail","45.7","0.22","0.71","Print","Informational","Afternoon","Weekend","1.28","0.61","0.39","6.8","4.9","5.8","Traditional","55+ Mid Income"
"Senior Traditionalists","Decision","Phone","In-Store","32.6","0.54","0.83","Phone","Personal Service","Morning","Weekday","1.32","0.79","0.21","7.4","7.6","6.5","Traditional","55+ Mid Income"
"Senior Traditionalists","Loyalty","Direct Mail","Phone","8.9","0.41","0.65","Phone","Relationship Content","Afternoon","Weekday","1.18","0.75","0.25","6.7","4.5","7.8","Traditional","55+ Mid Income"
"Gen Z Digital Natives","Awareness","TikTok","Instagram","8.7","0.18","0.89","Mobile","Short Video","Late Night","Weekend","0.85","0.92","0.08","9.2","3.8","6.2","Social","18-25 Mixed Income"
"Gen Z Digital Natives","Consideration","Instagram","Snapchat","21.4","0.35","0.86","Mobile","Visual Content","Evening","Weekend","0.82","0.81","0.19","8.8","6.7","6.9","Social","18-25 Mixed Income"
"Gen Z Digital Natives","Decision","App","Social Commerce","12.3","0.69","0.91","Mobile","Social Proof","Afternoon","Weekday","0.88","0.87","0.13","9.1","8.8","7.3","Social","18-25 Mixed Income"
"Gen Z Digital Natives","Loyalty","App","Influencer Content","7.1","0.48","0.73","Mobile","Authentic Content","Evening","Weekend","0.79","0.82","0.18","8.3","5.9","8.1","Social","18-25 Mixed Income"
"Professional B2B","Awareness","LinkedIn","Industry Publications","22.8","0.11","0.79","Desktop","Thought Leadership","Morning","Weekday","1.02","0.76","0.24","7.6","3.4","6.7","B2B","30-50 High Income Professional"
"Professional B2B","Consideration","Search","Webinars","38.9","0.29","0.87","Desktop","Educational Content","Afternoon","Weekday","0.98","0.73","0.27","8.3","6.2","7.1","B2B","30-50 High Income Professional"
"Professional B2B","Decision","Email","Sales Calls","26.7","0.61","0.93","Desktop","Solution Content","Morning","Weekday","1.05","0.84","0.16","8.9","8.4","7.6","B2B","30-50 High Income Professional"
"Professional B2B","Loyalty","Email","Account Management","14.5","0.43","0.71","Desktop","Relationship Content","Afternoon","Weekday","1.01","0.77","0.23","7.8","5.3","8.2","B2B","30-50 High Income Professional"
