entity_id,entity_type,name,parent_company,industry_vertical,headquarters_country,headquarters_region,annual_ad_spend_usd,primary_dsp,secondary_dsps,identity_partners,measurement_partners,verification_partners,brand_safety_tier_default,sustainability_commitment,privacy_frameworks,created_at
adv_cpg_001,advertiser,Acme Consumer Goods,Acme Holdings Corp,consumer_packaged_goods,US,US-CA,45000000,ttd,"dv360,xandr","liveramp,uid2","nielsen,foursquare,lucid","ias,doubleverify",tier_1,true,"ccpa,gdpr",2024-01-01T00:00:00Z
adv_cpg_002,advertiser,Fresh Foods Inc,Fresh Holdings,consumer_packaged_goods,US,US-IL,32000000,dv360,"ttd,xandr","liveramp,uid2","iri,kantar","doubleverify",tier_1,true,"ccpa,gdpr",2024-01-15T00:00:00Z
adv_auto_001,advertiser,Premier Motors Inc,Premier Automotive Group,automotive_luxury,US,US-MI,85000000,ttd,"dv360","liveramp,uid2,experian","kantar,iri,foursquare","ias,doubleverify",tier_1,true,"ccpa,gdpr",2024-01-01T00:00:00Z
adv_auto_002,advertiser,EcoAuto Electric,EcoAuto Corp,automotive_electric,US,US-CA,42000000,dv360,"ttd","liveramp,uid2","kantar,lucid","doubleverify",tier_1,true,"ccpa,gdpr",2024-02-01T00:00:00Z
adv_retail_001,advertiser,SportCo Retail,SportCo Holdings,retail_sporting_goods,US,US-OR,28000000,ttd,"xandr","liveramp,uid2","foursquare,placer","ias",tier_2,true,ccpa,2024-01-10T00:00:00Z
adv_fin_001,advertiser,SecureBank Financial,SecureBank Corp,financial_services_banking,US,US-NY,55000000,ttd,"dv360","liveramp,experian","dynata,kantar","ias,doubleverify,human",tier_1,false,"ccpa,gdpr,glba",2024-01-01T00:00:00Z
adv_tech_001,advertiser,CloudSoft Solutions,CloudSoft Inc,technology_saas,US,US-WA,22000000,dv360,"ttd","uid2","lucid,dynata","doubleverify",tier_1,true,"ccpa,gdpr",2024-02-15T00:00:00Z
agy_omni_001,agency,Omnicom Media Group,Omnicom Group,agency_holding,US,US-NY,0,multi,"ttd,dv360,xandr","liveramp,uid2,experian","nielsen,iri,kantar,foursquare,lucid","ias,doubleverify,human",tier_1,true,"ccpa,gdpr",2024-01-01T00:00:00Z
agy_wpp_001,agency,GroupM,WPP,agency_holding,UK,UK-LON,0,multi,"ttd,dv360,xandr","liveramp,uid2","nielsen,kantar,iri","ias,doubleverify",tier_1,true,"ccpa,gdpr,tcf2",2024-01-01T00:00:00Z
agy_pub_001,agency,Publicis Media,Publicis Groupe,agency_holding,FR,FR-PAR,0,multi,"ttd,dv360,xandr","liveramp,uid2","kantar,nielsen,dynata","doubleverify,ias",tier_1,true,"ccpa,gdpr,tcf2",2024-01-01T00:00:00Z
agy_ipg_001,agency,IPG Mediabrands,Interpublic Group,agency_holding,US,US-NY,0,multi,"ttd,dv360,xandr","liveramp,uid2,experian","nielsen,kantar,lucid","ias,doubleverify",tier_1,true,"ccpa,gdpr",2024-01-01T00:00:00Z
agy_den_001,agency,Dentsu International,Dentsu Group,agency_holding,JP,JP-TYO,0,multi,"ttd,dv360,xandr","liveramp,uid2","kantar,nielsen","doubleverify,ias",tier_1,true,"ccpa,gdpr,appi",2024-01-01T00:00:00Z
