"date","publisher_name","content_category","device_type","total_inventory","available_inventory","reserved_inventory","premium_percentage","geographic_coverage","quality_score","brand_safety_rating","viewability_guarantee","minimum_cpm","audience_reach","content_freshness"
"1/15/25","premiumNews","IAB1-2","mobile","2500000","1875000","625000","0.75","global","9.2","0.96","0.85","4.5","15000000","daily"
"1/15/25","premiumNews","IAB1-2","desktop","1800000","1440000","360000","0.8","global","9.5","0.97","0.89","6","12000000","daily"
"1/15/25","premiumNews","IAB1-2","tablet","1200000","960000","240000","0.78","global","9.3","0.96","0.87","5.25","8000000","daily"
"1/15/25","techBlog","IAB4-3","mobile","1200000","840000","360000","0.7","US_CA_NY","9.1","0.94","0.82","5.5","8500000","hourly"
"1/15/25","techBlog","IAB4-3","desktop","950000","712500","237500","0.75","US_CA_NY","9.4","0.95","0.86","7.5","7200000","hourly"
"1/15/25","techBlog","IAB4-3","tablet","650000","487500","162500","0.72","US_CA_NY","9.2","0.94","0.84","6.75","5800000","hourly"
"1/15/25","financeDaily","IAB13-6","mobile","800000","640000","160000","0.8","US_NY_IL","9.6","0.98","0.91","8","6500000","real_time"
"1/15/25","financeDaily","IAB13-6","desktop","650000","520000","130000","0.85","US_NY_IL","9.8","0.99","0.94","11","5800000","real_time"
"1/15/25","financeDaily","IAB13-6","tablet","420000","336000","84000","0.82","US_NY_IL","9.7","0.98","0.92","9.5","4200000","real_time"
"1/15/25","sportsNetwork","IAB17-16","mobile","3200000","2240000","960000","0.7","US","8.8","0.92","0.79","3.75","18000000","live"
"1/15/25","sportsNetwork","IAB17-16","desktop","2100000","1470000","630000","0.72","US","9","0.93","0.81","4.95","14500000","live"
"1/15/25","sportsNetwork","IAB17-16","tablet","1450000","1015000","435000","0.71","US","8.9","0.92","0.8","4.35","11200000","live"
"1/15/25","fashionMag","IAB9-5","mobile","1800000","1260000","540000","0.68","US_EU","8.6","0.9","0.76","4.25","12800000","weekly"
"1/15/25","fashionMag","IAB9-5","desktop","1100000","770000","330000","0.7","US_EU","8.8","0.91","0.78","5.75","9500000","weekly"
"1/15/25","fashionMag","IAB9-5","tablet","750000","525000","225000","0.69","US_EU","8.7","0.9","0.77","5","7800000","weekly"
"1/15/25","midTierNews","IAB1-2","mobile","4500000","3150000","1350000","0.45","US","7.8","0.85","0.68","2.25","25000000","daily"
"1/15/25","midTierNews","IAB1-2","desktop","3200000","2240000","960000","0.48","US","8.1","0.87","0.71","3","21000000","daily"
"1/15/25","midTierNews","IAB1-2","tablet","2150000","1505000","645000","0.46","US","7.9","0.86","0.69","2.75","17500000","daily"
"1/15/25","videoStreaming","IAB1-2","mobile","5800000","4060000","1740000","0.65","global","8.9","0.93","0.82","3.85","32000000","real_time"
"1/15/25","videoStreaming","IAB1-2","desktop","3200000","2240000","960000","0.68","global","9.2","0.94","0.85","5.15","28000000","real_time"
"1/15/25","videoStreaming","IAB1-2","tablet","2400000","1680000","720000","0.66","global","9","0.93","0.83","4.5","24000000","real_time"
"1/15/25","gamesSite","IAB9-30","mobile","2800000","1960000","840000","0.55","global","8.2","0.89","0.72","2.85","16500000","real_time"
"1/15/25","gamesSite","IAB9-30","desktop","2100000","1470000","630000","0.58","global","8.4","0.9","0.74","3.65","14200000","real_time"
"1/15/25","gamesSite","IAB9-30","tablet","1200000","840000","360000","0.56","global","8.3","0.89","0.73","3.25","9800000","real_time"
"1/15/25","travelGuide","IAB20-18","mobile","1500000","1050000","450000","0.62","global","8.7","0.91","0.78","4.15","11200000","weekly"
"1/15/25","travelGuide","IAB20-18","desktop","1200000","840000","360000","0.65","global","8.9","0.92","0.8","5.45","9800000","weekly"
"1/15/25","travelGuide","IAB20-18","tablet","850000","595000","255000","0.63","global","8.8","0.91","0.79","4.8","7500000","weekly"
"1/15/25","healthWellness","IAB7-1","mobile","1800000","1260000","540000","0.58","US_CA","8.5","0.88","0.75","3.95","13500000","daily"
"1/15/25","healthWellness","IAB7-1","desktop","1350000","945000","405000","0.61","US_CA","8.7","0.89","0.77","5.25","11800000","daily"
"1/15/25","healthWellness","IAB7-1","tablet","950000","665000","285000","0.59","US_CA","8.6","0.88","0.76","4.6","9200000","daily"
"1/15/25","autoReview","IAB2-2","mobile","1200000","840000","360000","0.67","US","8.8","0.92","0.79","4.85","9500000","weekly"
"1/15/25","autoReview","IAB2-2","desktop","950000","665000","285000","0.7","US","9.1","0.93","0.82","6.75","8200000","weekly"
"1/15/25","autoReview","IAB2-2","tablet","650000","455000","195000","0.68","US","8.9","0.92","0.8","5.8","6800000","weekly"
"1/15/25","beautyBlog","IAB18-3","mobile","2200000","1540000","660000","0.64","US_EU","8.4","0.87","0.74","3.65","14800000","daily"
"1/15/25","beautyBlog","IAB18-3","desktop","1400000","980000","420000","0.66","US_EU","8.6","0.88","0.76","4.95","12200000","daily"
"1/15/25","beautyBlog","IAB18-3","tablet","950000","665000","285000","0.65","US_EU","8.5","0.87","0.75","4.3","9500000","daily"
"1/15/25","foodNetwork","IAB8-5","mobile","2800000","1960000","840000","0.52","US","8.1","0.86","0.71","3.15","18500000","daily"
"1/15/25","foodNetwork","IAB8-5","desktop","1900000","1330000","570000","0.54","US","8.3","0.87","0.73","4.25","16200000","daily"
"1/15/25","foodNetwork","IAB8-5","tablet","1300000","910000","390000","0.53","US","8.2","0.86","0.72","3.7","13800000","daily"
"1/15/25","petCare","IAB16-5","mobile","1100000","770000","330000","0.59","US","8.3","0.88","0.74","4.05","8900000","weekly"
"1/15/25","petCare","IAB16-5","desktop","850000","595000","255000","0.62","US","8.5","0.89","0.76","5.35","7500000","weekly"
"1/15/25","petCare","IAB16-5","tablet","580000","406000","174000","0.6","US","8.4","0.88","0.75","4.7","6200000","weekly"
"1/15/25","ecommerceSite","IAB9-7","mobile","6500000","4550000","1950000","0.42","global","7.9","0.84","0.66","2.55","35000000","real_time"
