"forecast_date","content_category","device_type","publisher_tier","predicted_impressions","confidence_interval_lower","confidence_interval_upper","historical_accuracy","demand_pressure_score","supply_constraints","seasonal_multiplier","event_impact","pricing_pressure","forecast_horizon_days"
"2/1/25","IAB1-2","mobile","premium","2850000","2565000","3135000","0.92","0.75","low","1.08","none","medium","30"
"2/1/25","IAB1-2","desktop","premium","1950000","1755000","2145000","0.94","0.78","low","1.05","none","medium","30"
"2/1/25","IAB1-2","tablet","premium","1250000","1125000","1375000","0.91","0.73","low","1.06","none","medium","30"
"2/1/25","IAB4-3","mobile","premium","1680000","1512000","1848000","0.95","0.82","medium","0.98","tech_conference","high","30"
"2/1/25","IAB4-3","desktop","premium","1320000","1188000","1452000","0.96","0.85","medium","0.96","tech_conference","high","30"
"2/1/25","IAB4-3","tablet","premium","850000","765000","935000","0.94","0.81","medium","0.97","tech_conference","high","30"
"2/1/25","IAB13-6","mobile","premium","920000","828000","1012000","0.97","0.88","high","0.92","tax_season","very_high","30"
"2/1/25","IAB13-6","desktop","premium","785000","706500","863500","0.98","0.91","high","0.89","tax_season","very_high","30"
"2/1/25","IAB13-6","tablet","premium","485000","436500","533500","0.96","0.86","high","0.9","tax_season","very_high","30"
"2/1/25","IAB17-16","mobile","premium","1450000","1305000","1595000","0.89","0.72","low","1.12","sports_season","medium","30"
"2/1/25","IAB17-16","desktop","premium","985000","886500","1083500","0.91","0.75","low","1.09","sports_season","medium","30"
"2/1/25","IAB17-16","tablet","premium","680000","612000","748000","0.88","0.7","low","1.1","sports_season","medium","30"
"2/1/25","IAB9-5","mobile","premium","1280000","1152000","1408000","0.93","0.79","medium","1.15","fashion_week","high","30"
"2/1/25","IAB9-5","desktop","premium","925000","832500","1017500","0.94","0.81","medium","1.12","fashion_week","high","30"
"2/1/25","IAB9-5","tablet","premium","595000","535500","654500","0.92","0.77","medium","1.13","fashion_week","high","30"
"2/1/25","IAB1-2","mobile","mid_tier","4200000","3780000","4620000","0.87","0.68","low","1.08","none","low","30"
"2/1/25","IAB1-2","desktop","mid_tier","3150000","2835000","3465000","0.89","0.71","low","1.05","none","low","30"
"2/1/25","IAB1-2","tablet","mid_tier","2100000","1890000","2310000","0.86","0.66","low","1.06","none","low","30"
"3/1/25","IAB1-2","mobile","premium","3100000","2790000","3410000","0.92","0.76","low","1.18","march_madness","medium","30"
"3/1/25","IAB1-2","desktop","premium","2150000","1935000","2365000","0.94","0.79","low","1.15","march_madness","medium","30"
"3/1/25","IAB1-2","tablet","premium","1380000","1242000","1518000","0.91","0.74","low","1.16","march_madness","medium","30"
"3/1/25","IAB4-3","mobile","premium","1820000","1638000","2002000","0.95","0.83","medium","1.08","spring_launches","high","30"
"3/1/25","IAB4-3","desktop","premium","1485000","1336500","1633500","0.96","0.86","medium","1.06","spring_launches","high","30"
"3/1/25","IAB4-3","tablet","premium","965000","868500","1061500","0.94","0.82","medium","1.07","spring_launches","high","30"
"3/1/25","IAB17-16","mobile","premium","1680000","1512000","1848000","0.89","0.73","low","1.25","spring_training","medium","30"
"3/1/25","IAB17-16","desktop","premium","1145000","1030500","1259500","0.91","0.76","low","1.22","spring_training","medium","30"
"3/1/25","IAB17-16","tablet","premium","785000","706500","863500","0.88","0.71","low","1.23","spring_training","medium","30"
"4/1/25","IAB1-2","mobile","premium","3250000","2925000","3575000","0.92","0.77","low","1.22","easter","medium","30"
"4/1/25","IAB1-2","desktop","premium","2285000","2056500","2513500","0.94","0.8","low","1.19","easter","medium","30"
"4/1/25","IAB1-2","tablet","premium","1465000","1318500","1611500","0.91","0.75","low","1.2","easter","medium","30"
"4/1/25","IAB20-18","mobile","premium","1580000","1422000","1738000","0.93","0.81","medium","1.35","spring_travel","high","30"
"4/1/25","IAB20-18","desktop","premium","1285000","1156500","1413500","0.94","0.83","medium","1.32","spring_travel","high","30"
"4/1/25","IAB20-18","tablet","premium","895000","805500","984500","0.92","0.79","medium","1.33","spring_travel","high","30"
