"creative_id","creative_type","campaign_id","product_category","headline","cta_text","color_scheme","image_style","date","impressions","clicks","conversions","ctr","cvr","audience_segment","device_type","content_category","time_of_day","day_of_week"
"cr-12345","lifestyle","camp-12345","apparel","Experience Performance at its Peak","Shop Now","blue_gray","lifestyle","2025-04-01","25000","750","30","0.03","0.04","sports_enthusiast","mobile","IAB17-16","afternoon","wednesday"
"cr-12345","lifestyle","camp-12345","apparel","Experience Performance at its Peak","Shop Now","blue_gray","lifestyle","2025-04-02","26000","780","31","0.03","0.04","sports_enthusiast","mobile","IAB17-16","afternoon","thursday"
"cr-12345","lifestyle","camp-12345","apparel","Experience Performance at its Peak","Shop Now","blue_gray","lifestyle","2025-04-03","27000","810","32","0.03","0.04","sports_enthusiast","mobile","IAB17-16","afternoon","friday"
"cr-67890","product_showcase","camp-12345","apparel","Engineered for Excellence","Learn More","orange_black","product_focused","2025-04-01","25000","625","25","0.025","0.04","sports_enthusiast","desktop","IAB17-16","evening","wednesday"
"cr-67890","product_showcase","camp-12345","apparel","Engineered for Excellence","Learn More","orange_black","product_focused","2025-04-02","26000","650","26","0.025","0.04","sports_enthusiast","desktop","IAB17-16","evening","thursday"
"cr-67890","product_showcase","camp-12345","apparel","Engineered for Excellence","Learn More","orange_black","product_focused","2025-04-03","27000","675","27","0.025","0.04","sports_enthusiast","desktop","IAB17-16","evening","friday"
"cr-24680","testimonial","camp-12345","apparel","Real Athletes. Real Results.","See Why","blue_white","testimonial","2025-04-01","25000","875","35","0.035","0.04","sports_enthusiast","tablet","IAB17-16","morning","wednesday"
"cr-24680","testimonial","camp-12345","apparel","Real Athletes. Real Results.","See Why","blue_white","testimonial","2025-04-02","26000","910","36","0.035","0.04","sports_enthusiast","tablet","IAB17-16","morning","thursday"
"cr-24680","testimonial","camp-12345","apparel","Real Athletes. Real Results.","See Why","blue_white","testimonial","2025-04-03","27000","945","38","0.035","0.04","sports_enthusiast","tablet","IAB17-16","morning","friday"
"cr-13579","lifestyle","camp-67890","electronics","Innovation in Your Hands","Discover Now","blue_white","lifestyle","2025-04-01","20000","600","24","0.03","0.04","tech_enthusiast","mobile","IAB4-3","evening","wednesday"
"cr-13579","lifestyle","camp-67890","electronics","Innovation in Your Hands","Discover Now","blue_white","lifestyle","2025-04-02","21000","630","25","0.03","0.04","tech_enthusiast","mobile","IAB4-3","evening","thursday"
"cr-13579","lifestyle","camp-67890","electronics","Innovation in Your Hands","Discover Now","blue_white","lifestyle","2025-04-03","22000","660","26","0.03","0.04","tech_enthusiast","mobile","IAB4-3","evening","friday"
"cr-97531","product_showcase","camp-67890","electronics","Next-Gen Technology","Learn More","black_silver","product_focused","2025-04-01","20000","700","28","0.035","0.04","tech_enthusiast","desktop","IAB4-3","afternoon","wednesday"
"cr-97531","product_showcase","camp-67890","electronics","Next-Gen Technology","Learn More","black_silver","product_focused","2025-04-02","21000","735","29","0.035","0.04","tech_enthusiast","desktop","IAB4-3","afternoon","thursday"
"cr-97531","product_showcase","camp-67890","electronics","Next-Gen Technology","Learn More","black_silver","product_focused","2025-04-03","22000","770","31","0.035","0.04","tech_enthusiast","desktop","IAB4-3","afternoon","friday"
