"industry_vertical","campaign_objective","target_audience","optimal_day_of_week","optimal_hour_utc","confidence_score","historical_ctr_improvement","cost_efficiency_gain","reach_multiplier","competitive_density_score","seasonal_adjustment_factor"
"retail","conversion","deal_seeker","tuesday","14","0.87","0.23","0.18","1.45","0.72","1.12"
"retail","awareness","fashion_enthusiast","friday","19","0.91","0.31","0.12","1.62","0.85","1.08"
"retail","engagement","beauty_enthusiast","sunday","16","0.89","0.28","0.15","1.38","0.68","1.15"
"technology","lead_generation","tech_enthusiast","wednesday","15","0.92","0.35","0.22","1.28","0.59","0.98"
"technology","product_launch","tech_early_adopter","tuesday","13","0.94","0.42","0.28","1.75","0.91","1.05"
"technology","brand_awareness","gaming_enthusiast","saturday","20","0.88","0.26","0.14","1.52","0.77","1.03"
"finance","acquisition","finance_enthusiast","monday","09","0.95","0.38","0.31","1.21","0.45","0.89"
"finance","education","crypto_investor","thursday","21","0.86","0.22","0.19","1.33","0.62","1.18"
"finance","retention","luxury_lifestyle","wednesday","11","0.90","0.29","0.24","1.42","0.71","0.94"
"automotive","consideration","auto_intender","saturday","10","0.93","0.33","0.26","1.67","0.83","1.22"
"automotive","test_drive","sports_enthusiast","sunday","14","0.91","0.31","0.21","1.55","0.78","1.09"
"automotive","brand_preference","tech_enthusiast","friday","18","0.89","0.27","0.17","1.48","0.74","1.07"
"healthcare","awareness","health_enthusiast","monday","07","0.88","0.25","0.16","1.34","0.66","0.91"
"healthcare","appointment_booking","new_parent","tuesday","10","0.92","0.34","0.23","1.46","0.72","1.14"
"healthcare","education","sustainability_conscious","wednesday","16","0.87","0.24","0.18","1.39","0.69","1.06"
"travel","booking","travel_enthusiast","thursday","20","0.94","0.37","0.29","1.73","0.88","1.34"
"travel","inspiration","outdoor_enthusiast","friday","17","0.90","0.30","0.22","1.58","0.79","1.28"
"travel","deals","deal_seeker","monday","12","0.89","0.28","0.19","1.41","0.70","1.16"
"food_beverage","orders","food_enthusiast","friday","18","0.92","0.34","0.25","1.64","0.82","1.21"
"food_beverage","brand_loyalty","pet_owner","sunday","13","0.88","0.26","0.17","1.37","0.67","1.11"
"food_beverage","trial","sustainability_conscious","wednesday","12","0.85","0.21","0.14","1.29","0.63","1.03"
"entertainment","subscriptions","entertainment_seeker","saturday","21","0.93","0.36","0.27","1.69","0.85","1.19"
"entertainment","engagement","gaming_enthusiast","friday","22","0.91","0.32","0.24","1.57","0.78","1.12"
"entertainment","content_discovery","sports_enthusiast","sunday","19","0.89","0.29","0.20","1.44","0.73","1.08"
"fashion","sales","fashion_enthusiast","thursday","19","0.94","0.39","0.32","1.76","0.89","1.25"
"fashion","trend_awareness","beauty_enthusiast","friday","16","0.92","0.35","0.28","1.61","0.81","1.18"
"fashion","seasonal_promotion","deal_seeker","saturday","15","0.90","0.31","0.23","1.53","0.76","1.31"
"home_garden","purchase_intent","home_enthusiast","saturday","11","0.91","0.33","0.25","1.58","0.79","1.14"
"home_garden","inspiration","sustainability_conscious","sunday","15","0.88","0.27","0.19","1.42","0.71","1.09"
"home_garden","seasonal_prep","outdoor_enthusiast","monday","16","0.86","0.23","0.16","1.35","0.65","1.27"
"pets","product_trial","pet_owner","sunday","14","0.89","0.28","0.21","1.47","0.73","1.12"
"pets","health_awareness","health_enthusiast","tuesday","09","0.87","0.25","0.18","1.38","0.68","0.96"
"pets","loyalty_program","new_parent","wednesday","17","0.90","0.30","0.22","1.49","0.74","1.07"
"education","enrollment","tech_early_adopter","monday","15","0.93","0.36","0.28","1.32","0.60","0.88"
"education","course_completion","finance_enthusiast","thursday","13","0.91","0.32","0.24","1.26","0.55","0.92"
"education","skill_development","sustainability_conscious","tuesday","11","0.88","0.27","0.19","1.41","0.70","0.98"
"b2b_services","lead_qualification","tech_enthusiast","tuesday","14","0.94","0.38","0.31","1.24","0.52","0.91"
"b2b_services","demo_requests","finance_enthusiast","wednesday","10","0.92","0.34","0.27","1.19","0.48","0.87"
"b2b_services","thought_leadership","crypto_investor","thursday","16","0.89","0.29","0.21","1.33","0.61","0.95"
"real_estate","viewings","home_enthusiast","saturday","12","0.91","0.32","0.24","1.56","0.77","1.18"
"real_estate","market_education","finance_enthusiast","sunday","16","0.88","0.26","0.19","1.43","0.72","1.05"
"real_estate","investment_interest","luxury_lifestyle","monday","11","0.90","0.30","0.23","1.38","0.68","0.98"
"nonprofit","donations","sustainability_conscious","tuesday","18","0.86","0.23","0.16","1.34","0.64","1.08"
"nonprofit","volunteer_signup","health_enthusiast","saturday","10","0.88","0.26","0.18","1.41","0.70","1.12"
"nonprofit","awareness","new_parent","sunday","15","0.87","0.24","0.17","1.37","0.67","1.06"
"local_services","appointment_booking","home_enthusiast","monday","08","0.89","0.28","0.20","1.22","0.51","0.93"
"local_services","service_inquiry","pet_owner","tuesday","16","0.91","0.31","0.23","1.35","0.63","1.04"
"local_services","emergency_response","health_enthusiast","friday","14","0.93","0.35","0.26","1.18","0.46","0.97 "
