"channel","industry_category","cpm_benchmark","ctr_benchmark","cpc_benchmark","cpa_benchmark","roas_benchmark","reach_efficiency","frequency_optimal","viewability_rate","completion_rate","brand_lift_avg","consideration_lift_avg","purchase_intent_lift","audience_quality_score","cost_efficiency_rank","scale_potential","seasonality_variance","competitive_pressure","innovation_score","attribution_weight"
"TV","CPG","28.50","0.85","33.53","45.20","3.2","8.5","2.8","0.92","0.88","12.5","8.2","5.8","8.1","3","9.2","0.25","0.78","6.2","0.35"
"Digital Video","CPG","18.75","2.15","8.72","28.35","4.1","7.2","3.2","0.78","0.72","8.9","12.4","7.2","7.8","1","8.8","0.18","0.85","8.7","0.28"
"Social Media","CPG","12.40","1.85","6.70","22.80","3.8","6.8","4.1","0.82","0.68","6.2","15.8","9.1","7.2","2","8.5","0.22","0.92","9.1","0.25"
"Search","CPG","8.95","3.25","2.75","18.50","5.2","5.9","2.1","0.95","0.89","3.1","9.8","12.4","8.9","1","7.8","0.12","0.68","7.5","0.42"
"Display","CPG","6.80","0.95","7.16","35.60","2.1","9.1","5.2","0.68","0.58","4.8","6.2","3.9","6.5","5","9.5","0.15","0.88","6.8","0.18"
"Radio","CPG","22.30","1.20","18.58","42.15","2.8","7.8","3.5","0.88","0.85","9.2","7.1","4.6","7.4","4","6.2","0.35","0.65","5.9","0.22"
"OOH","CPG","35.60","0.65","54.77","68.90","2.3","8.9","1.8","0.95","0.92","11.8","5.9","3.2","7.8","6","5.8","0.42","0.58","6.1","0.15"
"TV","Automotive","32.80","0.78","42.05","52.30","2.9","8.8","2.5","0.91","0.86","15.2","9.8","6.4","8.3","3","9.5","0.28","0.82","6.5","0.38"
"Digital Video","Automotive","22.15","1.95","11.36","31.80","3.7","7.5","3.8","0.76","0.69","10.4","14.2","8.1","7.9","2","8.9","0.21","0.89","8.9","0.31"
"Social Media","Automotive","14.60","1.68","8.69","26.40","3.4","7.1","4.5","0.79","0.65","7.8","17.2","10.5","7.4","2","8.7","0.25","0.94","9.3","0.27"
"Search","Automotive","11.25","2.85","3.95","21.60","4.8","6.2","2.3","0.93","0.87","4.2","11.5","14.8","9.1","1","8.1","0.14","0.72","7.8","0.45"
"Display","Automotive","8.40","0.88","9.55","38.90","2.4","9.3","5.8","0.66","0.55","5.6","7.1","4.8","6.7","5","9.7","0.18","0.91","7.1","0.19"
"Radio","Automotive","26.50","1.15","23.04","46.80","2.6","8.1","3.2","0.86","0.83","10.8","8.4","5.2","7.6","4","6.5","0.38","0.68","6.2","0.24"
"OOH","Automotive","41.20","0.58","71.03","78.50","2.2","9.2","1.6","0.94","0.91","13.5","6.8","3.8","8.1","6","6.1","0.45","0.61","6.4","0.16"
"TV","Retail","26.90","0.92","29.24","38.70","3.5","8.2","3.1","0.93","0.89","10.8","7.9","6.2","8.0","3","9.0","0.22","0.75","6.0","0.33"
"Digital Video","Retail","16.80","2.35","7.15","24.50","4.3","6.9","2.9","0.81","0.75","7.6","13.8","8.9","8.1","1","8.6","0.16","0.82","8.5","0.29"
"Social Media","Retail","11.20","2.15","5.21","19.80","4.1","6.5","3.8","0.85","0.71","5.9","18.4","11.2","7.6","1","8.9","0.19","0.96","9.5","0.26"
"Search","Retail","7.60","3.85","1.97","15.20","5.8","5.6","1.9","0.96","0.91","2.8","10.9","15.6","9.3","1","7.9","0.10","0.65","7.2","0.48"
"Display","Retail","5.90","1.12","5.27","28.90","2.8","8.8","4.9","0.71","0.61","4.2","7.8","5.1","6.9","4","9.6","0.13","0.85","6.9","0.20"
"Radio","Retail","19.80","1.35","14.67","36.50","2.4","7.5","3.8","0.89","0.86","8.4","6.8","4.9","7.2","5","6.0","0.32","0.62","5.7","0.21"
"OOH","Retail","31.50","0.72","43.75","58.20","2.1","8.6","2.2","0.96","0.93","9.9","5.4","3.5","7.5","6","5.5","0.38","0.55","5.9","0.14"
"TV","Financial","30.20","0.68","44.41","58.90","3.1","8.6","2.2","0.90","0.84","13.8","10.2","5.9","8.2","4","8.8","0.31","0.79","6.3","0.36"
"Digital Video","Financial","20.40","1.78","11.46","35.20","3.9","7.3","3.5","0.74","0.67","9.8","13.6","7.8","7.7","2","8.4","0.23","0.86","8.6","0.30"
"Social Media","Financial","13.80","1.52","9.08","28.50","3.2","6.9","4.2","0.77","0.63","6.9","16.1","9.8","7.1","3","8.3","0.27","0.91","9.0","0.24"
"Search","Financial","9.85","2.95","3.34","22.80","4.9","6.0","2.5","0.94","0.88","3.8","10.7","13.2","8.8","1","7.6","0.16","0.70","7.6","0.44"
"Display","Financial","7.20","0.82","8.78","41.20","2.3","9.0","5.5","0.64","0.53","5.1","6.8","4.2","6.4","5","9.4","0.20","0.89","6.7","0.17"
"Radio","Financial","24.70","1.08","22.87","48.60","2.5","7.9","3.0","0.87","0.82","10.2","7.8","4.8","7.3","4","6.3","0.36","0.66","6.0","0.23"
"OOH","Financial","38.90","0.55","70.73","82.40","2.0","9.1","1.5","0.93","0.90","12.9","6.2","3.1","7.9","6","5.9","0.48","0.59","6.2","0.15"
