"ad_format","device_type","content_category","placement_position","ctr_percent","conversion_rate","viewability_rate","engagement_score","revenue_per_impression","cost_per_click","brand_safety_score","user_experience_score","load_time_ms","video_completion_rate"
"display_banner","mobile","IAB1-2","above_fold","2.8","0.024","0.75","7.2","0.0045","1.85","0.92","6.8","245","0.00"
"display_banner","desktop","IAB1-2","above_fold","3.2","0.028","0.82","7.8","0.0052","1.76","0.94","7.2","198","0.00"
"display_banner","tablet","IAB1-2","above_fold","3.0","0.026","0.79","7.5","0.0048","1.80","0.93","7.0","215","0.00"
"display_banner","mobile","IAB1-2","below_fold","1.9","0.018","0.68","6.5","0.0032","2.05","0.89","6.2","285","0.00"
"display_banner","desktop","IAB1-2","below_fold","2.3","0.021","0.74","6.9","0.0037","1.95","0.91","6.5","242","0.00"
"display_banner","tablet","IAB1-2","below_fold","2.1","0.019","0.71","6.7","0.0034","2.00","0.90","6.3","265","0.00"
"video_pre_roll","mobile","IAB1-2","start","8.5","0.052","0.88","9.1","0.0125","2.35","0.95","8.5","1250","0.78"
"video_pre_roll","desktop","IAB1-2","start","9.2","0.058","0.92","9.5","0.0142","2.28","0.96","8.9","985","0.82"
"video_pre_roll","tablet","IAB1-2","start","8.8","0.055","0.90","9.3","0.0133","2.31","0.95","8.7","1120","0.80"
"video_mid_roll","mobile","IAB1-2","middle","6.4","0.039","0.85","8.3","0.0095","2.58","0.93","7.8","1320","0.65"
"video_mid_roll","desktop","IAB1-2","middle","7.1","0.043","0.89","8.7","0.0108","2.48","0.94","8.2","1085","0.69"
"video_mid_roll","tablet","IAB1-2","middle","6.7","0.041","0.87","8.5","0.0101","2.53","0.93","8.0","1205","0.67"
"native_feed","mobile","IAB1-2","in_feed","4.2","0.032","0.72","7.9","0.0068","2.12","0.88","7.6","425","0.00"
"native_feed","desktop","IAB1-2","in_feed","3.8","0.029","0.76","7.5","0.0061","2.18","0.90","7.3","365","0.00"
"native_feed","tablet","IAB1-2","in_feed","4.0","0.030","0.74","7.7","0.0064","2.15","0.89","7.4","395","0.00"
"interstitial","mobile","IAB1-2","full_screen","12.5","0.078","0.95","9.8","0.0185","2.88","0.86","8.9","1850","0.00"
"interstitial","tablet","IAB1-2","full_screen","11.8","0.072","0.93","9.6","0.0172","2.95","0.87","8.7","1650","0.00"
"rewarded_video","mobile","IAB9-30","optional","18.7","0.125","0.97","9.9","0.0285","3.45","0.94","9.5","2150","0.92"
"rewarded_video","tablet","IAB9-30","optional","17.2","0.118","0.96","9.7","0.0268","3.58","0.93","9.3","1950","0.89"
"display_banner","mobile","IAB17-16","above_fold","2.5","0.021","0.72","6.8","0.0039","1.92","0.90","6.5","265","0.00"
"display_banner","desktop","IAB17-16","above_fold","2.9","0.025","0.79","7.4","0.0046","1.82","0.92","6.9","212","0.00"
