"attribute_type","attribute_name","attribute_value","description","market_relevance"
"basic_info","name","LuxeChoco & Sprüngli","Official brand name","Global recognition"
"basic_info","category","Premium Chocolate","Product category","Market positioning"
"basic_info","founded","1845","Year established","Heritage and tradition"
"basic_info","headquarters","Kilchberg Switzerland","Company location","Swiss authenticity"
"positioning","brand_positioning","Swiss luxury chocolate heritage and craftsmanship","Core positioning","Premium market differentiation"
"values","quality","Quality","Core brand value","Product excellence"
"values","tradition","Tradition","Core brand value","Heritage storytelling"
"values","innovation","Innovation","Core brand value","Product development"
"values","sustainability","Sustainability","Core brand value","Modern consumer values"
"pricing","category","Premium","Price category","Market segment"
"pricing","range","€15-45 per product","Price range","Accessible luxury"
"pricing","positioning","Accessible luxury","Price positioning","Premium but attainable"
"safety_level","brand_safety","High","Safety requirement level","Premium brand protection"
"safety_restriction","controversial_content","No controversial content","Content restriction","Brand protection"
"safety_restriction","family_friendly","Family-friendly environments only","Environment restriction","Safe brand association"
"safety_restriction","premium_publishers","Premium publisher standards","Publisher restriction","Quality association"
"safety_restriction","price_sensitive","Avoid price-sensitive contexts","Context restriction","Premium positioning"
"safety_context","lifestyle_content","Lifestyle content","Preferred context","Brand alignment"
"safety_context","cooking_shows","Cooking shows","Preferred context","Product integration"
"safety_context","premium_editorial","Premium editorial","Preferred context","Quality association"
"safety_context","cultural_programming","Cultural programming","Preferred context","Sophisticated audience"
"safety_context","travel_content","Travel content","Preferred context","Luxury lifestyle"
