delivery_id,package_id,media_buy_id,campaign_id,date,impressions_delivered,impressions_target,reach,frequency,spend_usd,cpm_actual,video_completions,completion_rate,viewable_impressions,viewability_rate,clicks,ctr,invalid_traffic_rate,brand_safety_incidents,created_at
del_001,pkg_001,mb_001,camp_001,2025-02-01,58823,58823,20000,2.94,2500.00,42.50,47058,0.80,52941,0.90,176,0.30,0.012,0,2025-02-02T06:00:00Z
del_002,pkg_001,mb_001,camp_001,2025-02-02,61764,58823,21200,2.91,2625.00,42.50,49411,0.80,55588,0.90,185,0.30,0.011,0,2025-02-03T06:00:00Z
del_003,pkg_001,mb_001,camp_001,2025-02-03,55294,58823,18800,2.94,2350.00,42.50,44235,0.80,49765,0.90,166,0.30,0.013,0,2025-02-04T06:00:00Z
del_004,pkg_002,mb_001,camp_001,2025-02-01,46296,46296,15800,2.93,2083.33,45.00,37037,0.80,41667,0.90,139,0.30,0.010,0,2025-02-02T06:00:00Z
del_005,pkg_002,mb_001,camp_001,2025-02-02,48611,46296,16600,2.93,2187.50,45.00,38889,0.80,43750,0.90,146,0.30,0.009,0,2025-02-03T06:00:00Z
del_006,pkg_002,mb_001,camp_001,2025-02-03,44444,46296,15200,2.92,2000.00,45.00,35556,0.80,40000,0.90,133,0.30,0.011,0,2025-02-04T06:00:00Z
del_007,pkg_003,mb_001,camp_001,2025-02-01,41667,41667,14600,2.85,1666.67,40.00,33333,0.80,37500,0.90,125,0.30,0.008,0,2025-02-02T06:00:00Z
del_008,pkg_003,mb_001,camp_001,2025-02-02,43750,41667,15300,2.86,1750.00,40.00,35000,0.80,39375,0.90,131,0.30,0.009,0,2025-02-03T06:00:00Z
del_009,pkg_004,mb_001,camp_001,2025-02-01,56818,56818,24200,2.35,1250.00,22.00,39773,0.70,48295,0.85,284,0.50,0.018,0,2025-02-02T06:00:00Z
del_010,pkg_004,mb_001,camp_001,2025-02-02,62500,56818,26600,2.35,1375.00,22.00,43750,0.70,53125,0.85,313,0.50,0.017,0,2025-02-03T06:00:00Z
del_011,pkg_005,mb_001,camp_001,2025-02-01,46296,46296,16300,2.84,833.33,18.00,32407,0.70,38889,0.84,231,0.50,0.022,0,2025-02-02T06:00:00Z
del_012,pkg_005,mb_001,camp_001,2025-02-02,50000,46296,17600,2.84,900.00,18.00,35000,0.70,42000,0.84,250,0.50,0.020,0,2025-02-03T06:00:00Z
del_013,pkg_006,mb_002,camp_003,2025-03-01,78431,78431,26700,2.94,3333.33,42.50,66667,0.85,70588,0.90,235,0.30,0.008,0,2025-03-02T06:00:00Z
del_014,pkg_006,mb_002,camp_003,2025-03-02,82353,78431,28000,2.94,3500.00,42.50,70000,0.85,74118,0.90,247,0.30,0.007,0,2025-03-03T06:00:00Z
del_015,pkg_007,mb_002,camp_003,2025-03-01,60764,60764,20800,2.92,2916.67,48.00,51649,0.85,54688,0.90,182,0.30,0.006,0,2025-03-02T06:00:00Z
del_016,pkg_008,mb_002,camp_003,2025-03-01,65789,65789,22500,2.92,2500.00,38.00,55921,0.85,59211,0.90,197,0.30,0.009,0,2025-03-02T06:00:00Z
del_017,pkg_009,mb_002,camp_003,2025-03-01,94697,94697,40000,2.37,2083.33,22.00,66288,0.70,80492,0.85,473,0.50,0.015,0,2025-03-02T06:00:00Z
del_018,pkg_010,mb_002,camp_003,2025-03-01,59524,59524,18300,3.25,1666.67,28.00,50595,0.85,53571,0.90,179,0.30,0.005,0,2025-03-02T06:00:00Z
