"date","ad_format","device_type","publisher_type","content_category","impressions_served","revenue_usd","cpm_usd","fill_rate","viewability_rate","completion_rate","click_through_rate","conversion_rate","advertiser_demand_tier","floor_price_usd","winning_bid_usd"
"2025-01-15","display_banner","mobile","premium_publisher","IAB1-2","125000","562.50","4.50","0.92","0.75","0.00","0.028","0.024","tier_1","3.25","4.85"
"2025-01-15","display_banner","desktop","premium_publisher","IAB1-2","98000","588.00","6.00","0.94","0.82","0.00","0.032","0.028","tier_1","4.50","6.12"
"2025-01-15","display_banner","tablet","premium_publisher","IAB1-2","67000","335.00","5.00","0.90","0.79","0.00","0.030","0.026","tier_1","3.75","5.25"
"2025-01-15","video_pre_roll","mobile","premium_publisher","IAB1-2","45000","1080.00","24.00","0.88","0.88","0.78","0.085","0.052","tier_1","18.00","25.50"
"2025-01-15","video_pre_roll","desktop","premium_publisher","IAB1-2","38000","1064.00","28.00","0.91","0.92","0.82","0.092","0.058","tier_1","22.00","29.75"
"2025-01-15","video_pre_roll","tablet","premium_publisher","IAB1-2","28000","728.00","26.00","0.89","0.90","0.80","0.088","0.055","tier_1","20.00","27.25"
"2025-01-15","native_feed","mobile","premium_publisher","IAB1-2","85000","680.00","8.00","0.86","0.72","0.00","0.042","0.032","tier_1","6.00","8.45"
"2025-01-15","native_feed","desktop","premium_publisher","IAB1-2","52000","416.00","8.00","0.88","0.76","0.00","0.038","0.029","tier_1","6.50","8.15"
"2025-01-15","native_feed","tablet","premium_publisher","IAB1-2","35000","280.00","8.00","0.87","0.74","0.00","0.040","0.030","tier_1","6.25","8.30"
"2025-01-15","display_banner","mobile","mid_tier","IAB1-2","185000","555.00","3.00","0.85","0.68","0.00","0.022","0.018","tier_2","2.25","3.15"
"2025-01-15","display_banner","desktop","mid_tier","IAB1-2","142000","568.00","4.00","0.87","0.74","0.00","0.025","0.021","tier_2","3.00","4.25"
"2025-01-15","display_banner","tablet","mid_tier","IAB1-2","95000","332.50","3.50","0.86","0.71","0.00","0.023","0.019","tier_2","2.75","3.68"
"2025-01-15","video_pre_roll","mobile","mid_tier","IAB1-2","72000","1224.00","17.00","0.82","0.82","0.72","0.068","0.041","tier_2","12.50","18.25"
"2025-01-15","video_pre_roll","desktop","mid_tier","IAB1-2","58000","1160.00","20.00","0.84","0.85","0.75","0.074","0.045","tier_2","15.00","21.50"
"2025-01-15","video_pre_roll","tablet","mid_tier","IAB1-2","41000","738.00","18.00","0.83","0.83","0.73","0.071","0.043","tier_2","13.75","19.25"
"2025-01-15","display_banner","mobile","premium_publisher","IAB4-3","92000","552.00","6.00","0.94","0.78","0.00","0.035","0.031","tier_1","4.50","6.35"
"2025-01-15","display_banner","desktop","premium_publisher","IAB4-3","75000","600.00","8.00","0.96","0.84","0.00","0.041","0.036","tier_1","6.00","8.42"
"2025-01-15","display_banner","tablet","premium_publisher","IAB4-3","48000","336.00","7.00","0.95","0.81","0.00","0.038","0.033","tier_1","5.25","7.38"
"2025-01-15","video_pre_roll","mobile","premium_publisher","IAB4-3","35000","1050.00","30.00","0.92","0.91","0.83","0.098","0.062","tier_1","24.00","31.85"
"2025-01-15","video_pre_roll","desktop","premium_publisher","IAB4-3","28000","924.00","33.00","0.94","0.94","0.87","0.106","0.068","tier_1","27.00","34.95"
"2025-01-15","video_pre_roll","tablet","premium_publisher","IAB4-3","22000","704.00","32.00","0.93","0.92","0.85","0.102","0.065","tier_1","25.50","33.75"
"2025-01-15","display_banner","mobile","premium_publisher","IAB13-6","68000","544.00","8.00","0.96","0.81","0.00","0.042","0.038","tier_1","6.00","8.55"
"2025-01-15","display_banner","desktop","premium_publisher","IAB13-6","55000","605.00","11.00","0.97","0.86","0.00","0.048","0.043","tier_1","8.50","11.75"
"2025-01-15","display_banner","tablet","premium_publisher","IAB13-6","38000","380.00","10.00","0.96","0.83","0.00","0.045","0.040","tier_1","7.75","10.85"
"2025-01-15","video_pre_roll","mobile","premium_publisher","IAB13-6","25000","875.00","35.00","0.94","0.94","0.86","0.112","0.075","tier_1","28.00","37.25"
"2025-01-15","video_pre_roll","desktop","premium_publisher","IAB13-6","22000","836.00","38.00","0.96","0.96","0.90","0.121","0.082","tier_1","31.00","40.15"
