"bid_request_id","timestamp","advertiser_id","campaign_id","audience_segment","content_category","device_type","geo_region","bid_price","win_flag","clearing_price","impression_served","click_recorded","conversion_recorded","publisher_id","brand_safety_score"
"bid-001","2025-05-01T09:15:23Z","adv-001","camp-001","sports_enthusiast","IAB17","mobile","CA","3.25","1","3.25","1","1","0","pub-12345","0.92"
"bid-002","2025-05-01T09:16:45Z","adv-001","camp-001","tech_enthusiast","IAB19","desktop","NY","4.1","1","4.1","1","0","0","pub-67890","0.88"
"bid-003","2025-05-01T09:18:12Z","adv-002","camp-002","luxury_lifestyle","IAB18","mobile","FL","5.75","1","5.75","1","1","1","pub-24680","0.95"
"bid-004","2025-05-01T09:19:33Z","adv-001","camp-001","sports_enthusiast","IAB17","tablet","TX","2.8","0","3.5","0","0","0","pub-97531","0.9"
"bid-005","2025-05-01T09:21:08Z","adv-003","camp-003","health_enthusiast","IAB7","mobile","CA","3.9","1","3.9","1","1","1","pub-45678","0.93"
"bid-006","2025-05-01T10:22:15Z","adv-004","camp-11111","food_enthusiast","IAB8","mobile","CA","2.85","1","2.85","1","1","1","pub-34567","0.96"
"bid-007","2025-05-01T10:23:42Z","adv-005","camp-22222","pet_owner","IAB16","tablet","TX","3.28","1","3.28","1","1","0","pub-90123","0.94"
"bid-008","2025-05-01T10:25:18Z","adv-006","camp-33333","deal_seeker","IAB9","mobile","NY","2.82","1","2.82","1","1","1","pub-78901","0.89"
"bid-009","2025-05-01T10:27:33Z","adv-007","camp-44444","tech_early_adopter","IAB19","desktop","WA","4.32","1","4.32","1","1","0","pub-67890","0.91"
"bid-010","2025-05-01T10:29:45Z","adv-008","camp-55555","crypto_investor","IAB13","desktop","NY","6.35","1","6.35","1","0","0","pub-67890","0.87"
"bid-011","2025-05-01T10:31:12Z","adv-009","camp-66666","entertainment_seeker","IAB1","mobile","CA","3.05","1","3.05","1","1","0","pub-78901","0.93"
"bid-012","2025-05-01T10:33:28Z","adv-010","camp-77777","sustainability_conscious","IAB14","tablet","OR","3.85","1","3.85","1","1","1","pub-01234","0.97"
"bid-013","2025-05-01T10:35:55Z","adv-011","camp-88888","luxury_consumer","IAB18","desktop","NY","8.65","1","8.65","1","1","1","pub-89012","0.98"
"bid-014","2025-05-01T10:37:18Z","adv-012","camp-99999","student","IAB5","mobile","CA","4.28","1","4.28","1","1","0","pub-12345","0.92"
"bid-015","2025-05-01T11:42:35Z","adv-001","camp-12345","sports_enthusiast","IAB17","mobile","CA","3.32","1","3.32","1","1","1","pub-12345","0.93"
"bid-016","2025-05-01T11:44:12Z","adv-002","camp-67890","tech_enthusiast","IAB4","desktop","NY","3.58","1","3.58","1","0","0","pub-67890","0.89"
"bid-017","2025-05-01T11:46:28Z","adv-003","camp-24680","fashion_enthusiast","IAB9","mobile","FL","4.15","1","4.15","1","1","0","pub-89012","0.95"
"bid-018","2025-05-01T11:48:45Z","adv-004","camp-13579","home_enthusiast","IAB6","tablet","TX","2.95","0","3.2","0","0","0","pub-45678","0.91"
"bid-019","2025-05-01T11:50:33Z","adv-005","camp-97531","travel_enthusiast","IAB20","desktop","IL","3.88","1","3.88","1","1","1","pub-78901","0.94"
"bid-020","2025-05-01T11:52:18Z","adv-006","camp-24601","finance_enthusiast","IAB13","desktop","NY","4.62","1","4.62","1","0","0","pub-67890","0.86"
"bid-021","2025-05-01T11:54:42Z","adv-007","camp-86420","gaming_enthusiast","IAB9","mobile","CA","2.68","1","2.68","1","1","0","pub-56789","0.88"
"bid-022","2025-05-01T11:56:15Z","adv-008","camp-35791","health_enthusiast","IAB7","tablet","WA","3.35","1","3.35","1","1","1","pub-45678","0.96"
"bid-023","2025-05-01T11:58:33Z","adv-009","camp-80246","auto_intender","IAB2","desktop","TX","5.28","1","5.28","1","0","0","pub-12345","0.9"
"bid-024","2025-05-01T12:00:45Z","adv-010","camp-15937","beauty_enthusiast","IAB18","mobile","FL","3.75","1","3.75","1","1","1","pub-89012","0.97"
"bid-025","2025-05-01T12:15:22Z","adv-004","camp-11111","food_enthusiast","IAB8","mobile","NY","2.9","1","2.9","1","1","0","pub-34567","0.94"
"bid-026","2025-05-01T12:17:38Z","adv-005","camp-22222","pet_owner","IAB16","desktop","CA","3.42","1","3.42","1","0","0","pub-90123","0.92"
"bid-027","2025-05-01T12:19:55Z","adv-006","camp-33333","deal_seeker","IAB9","mobile","FL","2.78","0","3.15","0","0","0","pub-78901","0.87"
"bid-028","2025-05-01T12:22:12Z","adv-007","camp-44444","tech_early_adopter","IAB19","desktop","WA","4.48","1","4.48","1","1","1","pub-67890","0.89"
"bid-029","2025-05-01T12:24:28Z","adv-008","camp-55555","crypto_investor","IAB13","mobile","NY","6.18","1","6.18","1","0","0","pub-67890","0.85"
"bid-030","2025-05-01T12:26:45Z","adv-009","camp-66666","entertainment_seeker","IAB1","tablet","CA","3.12","1","3.12","1","1","0","pub-78901","0.91"
"bid-031","2025-05-01T13:35:18Z","adv-010","camp-77777","sustainability_conscious","IAB14","mobile","OR","3.92","1","3.92","1","1","1","pub-01234","0.98"
"bid-032","2025-05-01T13:37:42Z","adv-011","camp-88888","luxury_consumer","IAB18","desktop","NY","8.75","1","8.75","1","1","0","pub-89012","0.97"
"bid-033","2025-05-01T13:39:55Z","adv-012","camp-99999","student","IAB5","mobile","MA","4.35","1","4.35","1","0","0","pub-12345","0.9"
"bid-034","2025-05-01T13:42:12Z","adv-001","camp-12345","sports_enthusiast","IAB17","tablet","TX","3.28","1","3.28","1","1","1","pub-97531","0.94"
"bid-035","2025-05-01T13:44:35Z","adv-002","camp-67890","tech_enthusiast","IAB4","desktop","NY","3.65","1","3.65","1","0","0","pub-67890","0.88"
"bid-036","2025-05-01T14:52:18Z","adv-003","camp-24680","fashion_enthusiast","IAB9","mobile","FL","4.22","1","4.22","1","1","1","pub-89012","0.96"
"bid-037","2025-05-01T14:54:42Z","adv-004","camp-13579","home_enthusiast","IAB6","desktop","TX","3.08","1","3.08","1","0","0","pub-45678","0.92"
"bid-038","2025-05-01T14:56:55Z","adv-005","camp-97531","travel_enthusiast","IAB20","mobile","IL","3.95","1","3.95","1","1","0","pub-78901","0.93"
"bid-039","2025-05-01T14:59:12Z","adv-006","camp-24601","finance_enthusiast","IAB13","desktop","NY","4.75","1","4.75","1","0","0","pub-67890","0.87"
"bid-040","2025-05-01T15:01:28Z","adv-007","camp-86420","gaming_enthusiast","IAB9","mobile","CA","2.75","1","2.75","1","1","1","pub-56789","0.9"
"bid-041","2025-05-02T09:15:45Z","adv-013","camp-11111","food_enthusiast","IAB8","tablet","TX","2.95","1","2.95","1","1","0","pub-34567","0.95"
"bid-042","2025-05-02T09:18:12Z","adv-014","camp-22222","pet_owner","IAB16","mobile","FL","3.35","1","3.35","1","0","0","pub-90123","0.93"
"bid-043","2025-05-02T09:20:33Z","adv-015","camp-33333","deal_seeker","IAB9","desktop","NY","2.85","1","2.85","1","1","1","pub-78901","0.88"
"bid-044","2025-05-02T09:22:55Z","adv-016","camp-44444","tech_early_adopter","IAB19","mobile","WA","4.25","1","4.25","1","1","0","pub-67890","0.91"
"bid-045","2025-05-02T09:25:18Z","adv-017","camp-55555","crypto_investor","IAB13","desktop","NY","6.45","1","6.45","1","0","0","pub-67890","0.86"
"bid-046","2025-05-02T09:27:42Z","adv-018","camp-66666","entertainment_seeker","IAB1","tablet","CA","3.18","1","3.18","1","1","0","pub-78901","0.92"
"bid-047","2025-05-02T09:30:05Z","adv-019","camp-77777","sustainability_conscious","IAB14","mobile","OR","3.88","1","3.88","1","1","1","pub-01234","0.97"
"bid-048","2025-05-02T09:32:28Z","adv-020","camp-88888","luxury_consumer","IAB18","desktop","NY","8.82","1","8.82","1","1","1","pub-89012","0.98"
"bid-049","2025-05-02T09:34:45Z","adv-021","camp-99999","student","IAB5","mobile","CA","4.42","1","4.42","1","0","0","pub-12345","0.91"
"bid-050","2025-05-02T09:37:12Z","adv-022","camp-12345","sports_enthusiast","IAB17","tablet","CA","3.35","1","3.35","1","1","1","pub-12345","0.95"
"bid-051","2025-05-02T10:45:33Z","adv-001","camp-67890","tech_enthusiast","IAB4","desktop","NY","3.72","1","3.72","1","0","0","pub-67890","0.89"
"bid-052","2025-05-02T10:47:55Z","adv-002","camp-24680","fashion_enthusiast","IAB9","mobile","FL","4.28","1","4.28","1","1","0","pub-89012","0.96"
"bid-053","2025-05-02T10:50:18Z","adv-003","camp-13579","home_enthusiast","IAB6","tablet","TX","3.15","1","3.15","1","0","0","pub-45678","0.93"
