"date","hour_utc","content_category","device_type","advertiser_vertical","demand_score","bid_density","average_cpm","competition_level","budget_velocity","seasonal_factor","day_of_week","geographic_region"
"1/15/25","0","IAB1-2","mobile","retail","0.45","0.32","3.25","medium","0.28","0.95","wednesday","US-CA"
"1/15/25","1","IAB1-2","mobile","retail","0.38","0.28","3.15","low","0.24","0.95","wednesday","US-CA"
"1/15/25","2","IAB1-2","mobile","retail","0.32","0.25","3.08","low","0.21","0.95","wednesday","US-CA"
"1/15/25","3","IAB1-2","mobile","retail","0.28","0.22","3.02","low","0.18","0.95","wednesday","US-CA"
"1/15/25","4","IAB1-2","mobile","retail","0.25","0.19","2.98","low","0.16","0.95","wednesday","US-CA"
"1/15/25","5","IAB1-2","mobile","retail","0.29","0.23","3.05","low","0.19","0.95","wednesday","US-CA"
"1/15/25","6","IAB1-2","mobile","retail","0.42","0.31","3.22","medium","0.26","0.95","wednesday","US-CA"
"1/15/25","7","IAB1-2","mobile","retail","0.58","0.42","3.48","medium","0.35","0.95","wednesday","US-CA"
"1/15/25","8","IAB1-2","mobile","retail","0.72","0.52","3.75","high","0.42","0.95","wednesday","US-CA"
"1/15/25","9","IAB1-2","mobile","retail","0.78","0.56","3.85","high","0.45","0.95","wednesday","US-CA"
"1/15/25","10","IAB1-2","mobile","retail","0.82","0.59","3.92","high","0.48","0.95","wednesday","US-CA"
"1/15/25","11","IAB1-2","mobile","retail","0.85","0.61","3.98","high","0.51","0.95","wednesday","US-CA"
"1/15/25","12","IAB1-2","mobile","retail","0.89","0.64","4.08","high","0.54","0.95","wednesday","US-CA"
"1/15/25","13","IAB1-2","mobile","retail","0.92","0.66","4.15","very_high","0.56","0.95","wednesday","US-CA"
"1/15/25","14","IAB1-2","mobile","retail","0.95","0.68","4.22","very_high","0.58","0.95","wednesday","US-CA"
"1/15/25","15","IAB1-2","mobile","retail","0.93","0.67","4.18","very_high","0.57","0.95","wednesday","US-CA"
"1/15/25","16","IAB1-2","mobile","retail","0.88","0.63","4.05","high","0.53","0.95","wednesday","US-CA"
"1/15/25","17","IAB1-2","mobile","retail","0.84","0.6","3.95","high","0.49","0.95","wednesday","US-CA"
"1/15/25","18","IAB1-2","mobile","retail","0.87","0.62","4.02","high","0.52","0.95","wednesday","US-CA"
"1/15/25","19","IAB1-2","mobile","retail","0.91","0.65","4.12","very_high","0.55","0.95","wednesday","US-CA"
"1/15/25","20","IAB1-2","mobile","retail","0.94","0.67","4.19","very_high","0.57","0.95","wednesday","US-CA"
"1/15/25","21","IAB1-2","mobile","retail","0.89","0.64","4.08","high","0.54","0.95","wednesday","US-CA"
"1/15/25","22","IAB1-2","mobile","retail","0.81","0.58","3.88","high","0.47","0.95","wednesday","US-CA"
"1/15/25","23","IAB1-2","mobile","retail","0.68","0.49","3.62","medium","0.39","0.95","wednesday","US-CA"
"1/15/25","9","IAB4-3","desktop","technology","0.91","0.72","8.25","very_high","0.68","0.98","wednesday","US-CA"
"1/15/25","10","IAB4-3","desktop","technology","0.94","0.75","8.45","very_high","0.71","0.98","wednesday","US-CA"
"1/15/25","11","IAB4-3","desktop","technology","0.96","0.77","8.58","very_high","0.73","0.98","wednesday","US-CA"
"1/15/25","12","IAB4-3","desktop","technology","0.89","0.71","8.12","very_high","0.66","0.98","wednesday","US-CA"
"1/15/25","13","IAB4-3","desktop","technology","0.93","0.74","8.38","very_high","0.69","0.98","wednesday","US-CA"
"1/15/25","14","IAB4-3","desktop","technology","0.97","0.78","8.65","very_high","0.74","0.98","wednesday","US-CA"
"1/15/25","15","IAB4-3","desktop","technology","0.95","0.76","8.52","very_high","0.72","0.98","wednesday","US-CA"
"1/15/25","16","IAB4-3","desktop","technology","0.92","0.73","8.32","very_high","0.68","0.98","wednesday","US-CA"
"1/15/25","17","IAB4-3","desktop","technology","0.86","0.68","7.95","high","0.63","0.98","wednesday","US-CA"
"1/15/25","18","IAB4-3","desktop","technology","0.79","0.62","7.58","high","0.56","0.98","wednesday","US-CA"
"1/15/25","8","IAB13-6","desktop","finance","0.88","0.69","11.25","very_high","0.65","0.89","wednesday","US-NY"
"1/15/25","9","IAB13-6","desktop","finance","0.95","0.76","12.15","very_high","0.72","0.89","wednesday","US-NY"
"1/15/25","10","IAB13-6","desktop","finance","0.98","0.78","12.55","very_high","0.75","0.89","wednesday","US-NY"
"1/15/25","11","IAB13-6","desktop","finance","0.96","0.77","12.32","very_high","0.73","0.89","wednesday","US-NY"
"1/15/25","12","IAB13-6","desktop","finance","0.89","0.71","11.45","very_high","0.67","0.89","wednesday","US-NY"
"1/15/25","13","IAB13-6","desktop","finance","0.92","0.73","11.78","very_high","0.69","0.89","wednesday","US-NY"
"1/15/25","14","IAB13-6","desktop","finance","0.94","0.75","12.05","very_high","0.71","0.89","wednesday","US-NY"
"1/15/25","15","IAB13-6","desktop","finance","0.91","0.72","11.65","very_high","0.68","0.89","wednesday","US-NY"
"1/15/25","16","IAB13-6","desktop","finance","0.85","0.67","10.95","high","0.62","0.89","wednesday","US-NY"
"1/15/25","17","IAB13-6","desktop","finance","0.78","0.61","10.25","high","0.55","0.89","wednesday","US-NY"
"1/15/25","18","IAB17-16","mobile","sports","0.82","0.58","4.15","high","0.51","1.12","wednesday","US-TX"
"1/15/25","19","IAB17-16","mobile","sports","0.86","0.61","4.35","high","0.54","1.12","wednesday","US-TX"
"1/15/25","20","IAB17-16","mobile","sports","0.91","0.65","4.62","very_high","0.58","1.12","wednesday","US-TX"
"1/15/25","21","IAB17-16","mobile","sports","0.94","0.67","4.78","very_high","0.61","1.12","wednesday","US-TX"
"1/15/25","22","IAB17-16","mobile","sports","0.89","0.63","4.52","high","0.56","1.12","wednesday","US-TX"
"1/15/25","23","IAB17-16","mobile","sports","0.79","0.56","4.02","high","0.48","1.12","wednesday","US-TX"
"1/15/25","16","IAB9-5","mobile","fashion","0.87","0.63","5.25","high","0.58","1.08","wednesday","US-FL"
"1/15/25","17","IAB9-5","mobile","fashion","0.91","0.66","5.48","very_high","0.61","1.08","wednesday","US-FL"
"1/15/25","18","IAB9-5","mobile","fashion","0.94","0.68","5.65","very_high","0.64","1.08","wednesday","US-FL"
"1/15/25","19","IAB9-5","mobile","fashion","0.96","0.69","5.78","very_high","0.66","1.08","wednesday","US-FL"
"1/15/25","20","IAB9-5","mobile","fashion","0.93","0.67","5.58","very_high","0.63","1.08","wednesday","US-FL"
"1/15/25","21","IAB9-5","mobile","fashion","0.88","0.64","5.32","high","0.59","1.08","wednesday","US-FL "
