"pricing_model","publisher_tier","content_category","device_type","base_cpm","dynamic_adjustment_factor","floor_price_strategy","ceiling_price_limit","performance_score","revenue_optimization","fill_rate_impact","user_experience_score","implementation_complexity"
"fixed_cpm","premium","IAB1-2","mobile","4.5","1","static","15","7.2","0.15","0.92","8.5","low"
"fixed_cpm","premium","IAB1-2","desktop","6","1","static","20","7.5","0.18","0.94","8.8","low"
"fixed_cpm","premium","IAB1-2","tablet","5.25","1","static","17.5","7.3","0.16","0.93","8.6","low"
"dynamic_cpm","premium","IAB1-2","mobile","4.5","1.25","adaptive","18.75","8.4","0.28","0.89","8.2","high"
"dynamic_cpm","premium","IAB1-2","desktop","6","1.32","adaptive","25","8.7","0.32","0.91","8.5","high"
"dynamic_cpm","premium","IAB1-2","tablet","5.25","1.28","adaptive","21.25","8.5","0.3","0.9","8.3","high"
"header_bidding","premium","IAB1-2","mobile","4.5","1.42","competitive","22.5","9.1","0.38","0.95","7.9","very_high"
"header_bidding","premium","IAB1-2","desktop","6","1.48","competitive","30","9.4","0.42","0.96","8.2","very_high"
"header_bidding","premium","IAB1-2","tablet","5.25","1.45","competitive","26.25","9.2","0.4","0.95","8","very_high"
"first_price_auction","premium","IAB1-2","mobile","4.5","1.18","market_driven","16","8","0.22","0.88","8.6","medium"
"first_price_auction","premium","IAB1-2","desktop","6","1.24","market_driven","21.5","8.3","0.26","0.9","8.9","medium"
"first_price_auction","premium","IAB1-2","tablet","5.25","1.21","market_driven","18.75","8.1","0.24","0.89","8.7","medium"
"waterfall","premium","IAB1-2","mobile","4.5","1.08","tiered","14.5","7.6","0.19","0.85","8.1","medium"
"waterfall","premium","IAB1-2","desktop","6","1.12","tiered","19.5","7.9","0.22","0.87","8.4","medium"
"waterfall","premium","IAB1-2","tablet","5.25","1.1","tiered","17","7.7","0.2","0.86","8.2","medium"
"fixed_cpm","mid_tier","IAB1-2","mobile","2.75","1","static","9","6.8","0.12","0.85","7.2","low"
"fixed_cpm","mid_tier","IAB1-2","desktop","3.5","1","static","12","7.1","0.15","0.87","7.5","low"
"fixed_cpm","mid_tier","IAB1-2","tablet","3.12","1","static","10.5","6.9","0.13","0.86","7.3","low"
"dynamic_cpm","mid_tier","IAB1-2","mobile","2.75","1.22","adaptive","11","7.9","0.24","0.82","6.9","high"
"dynamic_cpm","mid_tier","IAB1-2","desktop","3.5","1.28","adaptive","14.5","8.2","0.28","0.84","7.2","high"
"dynamic_cpm","mid_tier","IAB1-2","tablet","3.12","1.25","adaptive","12.75","8","0.26","0.83","7","high"
"header_bidding","mid_tier","IAB1-2","mobile","2.75","1.38","competitive","13.75","8.6","0.34","0.88","6.6","very_high"
"header_bidding","mid_tier","IAB1-2","desktop","3.5","1.44","competitive","17.5","8.9","0.38","0.9","6.9","very_high"
"header_bidding","mid_tier","IAB1-2","tablet","3.12","1.41","competitive","15.62","8.7","0.36","0.89","6.7","very_high"
"fixed_cpm","premium","IAB4-3","mobile","6.75","1","static","22.5","7.8","0.18","0.94","8.7","low"
"fixed_cpm","premium","IAB4-3","desktop","8.5","1","static","28","8.1","0.21","0.96","9","low"
"fixed_cpm","premium","IAB4-3","tablet","7.62","1","static","25.25","7.9","0.19","0.95","8.8","low"
"dynamic_cpm","premium","IAB4-3","mobile","6.75","1.32","adaptive","28","8.9","0.34","0.91","8.4","high"
"dynamic_cpm","premium","IAB4-3","desktop","8.5","1.38","adaptive","37","9.2","0.38","0.93","8.7","high"
"dynamic_cpm","premium","IAB4-3","tablet","7.62","1.35","adaptive","32.5","9","0.36","0.92","8.5","high"
"header_bidding","premium","IAB4-3","mobile","6.75","1.48","competitive","33.75","9.6","0.48","0.97","8.1","very_high"
"header_bidding","premium","IAB4-3","desktop","8.5","1.54","competitive","42.5","9.9","0.52","0.98","8.4","very_high"
"header_bidding","premium","IAB4-3","tablet","7.62","1.51","competitive","38.12","9.7","0.5","0.97","8.2","very_high"
"unified_auction","premium","IAB4-3","mobile","6.75","1.55","holistic","35","9.7","0.45","0.98","8.9","very_high"
"unified_auction","premium","IAB4-3","desktop","8.5","1.62","holistic","45","10","0.49","0.99","9.2","very_high"
"unified_auction","premium","IAB4-3","tablet","7.62","1.58","holistic","40","9.8","0.47","0.98","9","very_high"
"fixed_cpm","premium","IAB13-6","mobile","9.5","1","static","32","8.2","0.22","0.96","9.1","low"
"fixed_cpm","premium","IAB13-6","desktop","12","1","static","40","8.5","0.25","0.97","9.4","low"
"fixed_cpm","premium","IAB13-6","tablet","10.75","1","static","36","8.3","0.23","0.96","9.2","low"
"dynamic_cpm","premium","IAB13-6","mobile","9.5","1.38","adaptive","40","9.3","0.42","0.93","8.8","high"
"dynamic_cpm","premium","IAB13-6","desktop","12","1.44","adaptive","52","9.6","0.46","0.95","9.1","high"
"dynamic_cpm","premium","IAB13-6","tablet","10.75","1.41","adaptive","46","9.4","0.44","0.94","8.9","high"
"header_bidding","premium","IAB13-6","mobile","9.5","1.52","competitive","48","9.8","0.55","0.98","8.5","very_high"
"header_bidding","premium","IAB13-6","desktop","12","1.58","competitive","60","10","0.59","0.99","8.8","very_high"
"header_bidding","premium","IAB13-6","tablet","10.75","1.55","competitive","54","9.9","0.57","0.98","8.6","very_high"
"private_marketplace","premium","IAB13-6","mobile","9.5","1.48","premium_deals","45","9.5","0.52","0.96","9","high"
"private_marketplace","premium","IAB13-6","desktop","12","1.54","premium_deals","58","9.8","0.56","0.97","9.3","high"
"private_marketplace","premium","IAB13-6","tablet","10.75","1.51","premium_deals","51.5","9.6","0.54","0.96","9.1","high"
"time_based_pricing","premium","IAB1-2","mobile","4.5","1.65","temporal","24.75","8.8","0.35","0.87","8.3","high"
"time_based_pricing","premium","IAB1-2","desktop","6","1.72","temporal","33","9.1","0.39","0.89","8.6","high"
"time_based_pricing","premium","IAB1-2","tablet","5.25","1.68","temporal","28.87","8.9","0.37","0.88","8.4","high"
"audience_based_pricing","premium","IAB1-2","mobile","4.5","1.78","segment_optimized","28","9.2","0.42","0.86","8.1","very_high"
"audience_based_pricing","premium","IAB1-2","desktop","6","1.85","segment_optimized","37.5","9.5","0.46","0.88","8.4","very_high"
"audience_based_pricing","premium","IAB1-2","tablet","5.25","1.81","segment_optimized","32.75","9.3","0.44","0.87","8.2","very_high"
"contextual_pricing","premium","IAB1-2","mobile","4.5","1.35","content_aware","20.25","8.6","0.31","0.9","8.5","high"
