"market","week","status","planned_reach_millions","actual_reach_millions","reach_percentage","budget_spent_eur","budget_planned_eur","issue","action_taken","performance_notes"
"switzerland","1","Over-saturated","2.1","2.52","120","92000","75000","Frequency capping exceeded (6.2 avg vs 4.0 target)","Redistribute €17000 to underperforming markets","Diminishing returns on over-exposed audience"
"austria","1","Inventory unavailable","1.8","1.53","85","58000","65000","Competitor (GoldenTreats) blocking 60% of premium slots","Secure alternative placements with 94% audience similarity","15% reach shortfall"
"germany","1","On track","13.5","13.23","98","187500","187500","None","None","Exceeding engagement benchmarks by 12%"
"netherlands","1","Underperforming","6.8","6.12","90","93750","93750","Lower than expected inventory availability","Additional budget from Switzerland reallocation","Opportunity for budget reallocation"
"belgium","1","On track","4.6","4.58","99","62500","62500","None","None","Meeting targets within expected range"
"switzerland","2","Optimized","2.1","2.05","98","75000","75000","None","None","Improved efficiency after week 1 adjustments"
"austria","2","Recovered","1.8","1.69","94","63000","65000","None","Alternative inventory secured","94% audience similarity maintained"
"germany","2","Exceeding","13.5","14.1","104","187500","187500","None","Increased native content investment","Native content performing exceptionally"
"netherlands","2","Improved","6.8","6.95","102","105750","93750","None","Received additional budget allocation","Benefited from Switzerland reallocation"
"belgium","2","Stable","4.6","4.62","100","62500","62500","None","None","Consistent performance maintained"
