"content_category","device_type","session_duration_minutes","initial_ad_load_percent","optimal_ad_load_percent","viewer_retention_rate","revenue_per_session","bounce_rate","engagement_score","content_length_minutes","ad_frequency_per_hour","viewability_rate","completion_rate"
"IAB1-2","mobile","15.5","0.08","0.12","0.85","2.45","0.15","7.2","20.0","4.8","0.92","0.78"
"IAB1-2","desktop","28.2","0.10","0.15","0.88","4.20","0.12","8.1","35.0","5.2","0.94","0.82"
"IAB1-2","tablet","22.1","0.09","0.13","0.86","3.15","0.14","7.8","25.0","4.6","0.93","0.80"
"IAB17-16","mobile","12.3","0.06","0.10","0.82","1.95","0.18","6.8","15.0","4.0","0.90","0.75"
"IAB17-16","desktop","25.7","0.08","0.14","0.85","3.80","0.15","7.9","30.0","4.8","0.93","0.79"
"IAB17-16","tablet","19.4","0.07","0.12","0.83","2.85","0.17","7.3","22.0","4.4","0.91","0.77"
"IAB4-3","mobile","18.9","0.12","0.18","0.90","3.25","0.10","8.5","25.0","6.0","0.95","0.85"
"IAB4-3","desktop","32.1","0.14","0.20","0.92","5.40","0.08","9.2","40.0","6.8","0.96","0.88"
"IAB4-3","tablet","26.3","0.13","0.19","0.91","4.10","0.09","8.8","32.0","6.4","0.95","0.86"
"IAB9-5","mobile","14.2","0.10","0.16","0.87","2.75","0.13","7.6","18.0","5.6","0.93","0.81"
"IAB9-5","desktop","24.8","0.12","0.18","0.89","4.45","0.11","8.4","28.0","6.0","0.94","0.83"
"IAB9-5","tablet","20.5","0.11","0.17","0.88","3.60","0.12","8.0","24.0","5.8","0.93","0.82"
"IAB6-8","mobile","16.7","0.07","0.11","0.84","2.30","0.16","7.1","22.0","4.4","0.91","0.76"
"IAB6-8","desktop","29.3","0.09","0.13","0.86","3.95","0.14","7.7","35.0","4.8","0.92","0.78"
"IAB6-8","tablet","23.6","0.08","0.12","0.85","3.20","0.15","7.4","28.0","4.6","0.91","0.77"
"IAB20-18","mobile","13.8","0.09","0.14","0.86","2.60","0.14","7.5","17.0","5.2","0.92","0.80"
"IAB20-18","desktop","27.5","0.11","0.16","0.88","4.15","0.12","8.2","32.0","5.6","0.94","0.82"
"IAB20-18","tablet","21.9","0.10","0.15","0.87","3.40","0.13","7.9","26.0","5.4","0.93","0.81"
"IAB13-6","mobile","20.4","0.15","0.22","0.93","4.80","0.07","9.1","30.0","7.2","0.96","0.89"
"IAB13-6","desktop","35.2","0.18","0.25","0.95","7.20","0.05","9.8","45.0","8.0","0.97","0.92"
"IAB13-6","tablet","28.7","0.16","0.23","0.94","5.85","0.06","9.4","38.0","7.6","0.96","0.90"
"IAB9-30","mobile","11.9","0.05","0.08","0.80","1.75","0.20","6.5","12.0","3.6","0.89","0.72"
"IAB9-30","desktop","21.4","0.07","0.10","0.82","2.95","0.18","7.0","18.0","4.0","0.90","0.74"
"IAB9-30","tablet","17.2","0.06","0.09","0.81","2.35","0.19","6.7","15.0","3.8","0.89","0.73"
"IAB7-1","mobile","17.3","0.08","0.13","0.85","2.85","0.15","7.7","23.0","5.0","0.92","0.79"
"IAB7-1","desktop","30.1","0.10","0.15","0.87","4.60","0.13","8.3","38.0","5.4","0.94","0.81"
"IAB7-1","tablet","24.6","0.09","0.14","0.86","3.75","0.14","8.0","30.0","5.2","0.93","0.80"
"IAB2-2","mobile","19.8","0.13","0.19","0.89","3.85","0.11","8.6","28.0","6.4","0.95","0.84"
"IAB2-2","desktop","33.7","0.15","0.21","0.91","6.25","0.09","9.3","42.0","7.2","0.96","0.87"
"IAB2-2","tablet","27.4","0.14","0.20","0.90","5.05","0.10","8.9","35.0","6.8","0.95","0.85"
"IAB18-3","mobile","15.6","0.11","0.17","0.88","3.10","0.12","8.1","20.0","5.8","0.94","0.82"
"IAB18-3","desktop","26.9","0.13","0.19","0.90","4.75","0.10","8.7","32.0","6.2","0.95","0.84"
"IAB18-3","tablet","22.3","0.12","0.18","0.89","3.90","0.11","8.4","26.0","6.0","0.94","0.83"
"IAB8-5","mobile","12.7","0.06","0.09","0.81","2.05","0.19","6.9","14.0","3.8","0.90","0.74"
"IAB8-5","desktop","23.5","0.08","0.11","0.83","3.20","0.17","7.4","20.0","4.2","0.91","0.76"
"IAB8-5","tablet","19.1","0.07","0.10","0.82","2.65","0.18","7.1","17.0","4.0","0.90","0.75"
"IAB16-5","mobile","16.2","0.09","0.14","0.85","2.70","0.15","7.6","21.0","5.0","0.92","0.79"
"IAB16-5","desktop","28.6","0.11","0.16","0.87","4.35","0.13","8.2","34.0","5.4","0.93","0.81"
"IAB16-5","tablet","23.8","0.10","0.15","0.86","3.55","0.14","7.9","28.0","5.2","0.92","0.80"
"IAB9-7","mobile","13.4","0.08","0.12","0.84","2.25","0.16","7.2","16.0","4.6","0.91","0.77"
"IAB9-7","desktop","24.1","0.10","0.14","0.86","3.65","0.14","7.8","22.0","5.0","0.92","0.79"
"IAB9-7","tablet","20.7","0.09","0.13","0.85","2.95","0.15","7.5","19.0","4.8","0.91","0.78"
