"segment_id","campaign_id","month","impressions","clicks","conversions","spend","ctr","cvr","cpc","cpa","roas","average_order_value","lifetime_value"
"sports_enthusiast","camp-001","2025-04","1200000","18000","540","22500","0.015","0.03","1.25","41.67","2.88","120","345"
"tech_enthusiast","camp-001","2025-04","800000","16000","640","32000","0.02","0.04","2","50","3.2","160","485"
"luxury_lifestyle","camp-002","2025-04","500000","12500","500","62500","0.025","0.04","5","125","4.8","600","1850"
"health_enthusiast","camp-003","2025-04","1500000","22500","900","45000","0.015","0.04","2","50","2.4","120","285"
"travel_enthusiast","camp-004","2025-04","600000","9000","270","45000","0.015","0.03","5","166.67","2.7","450","1200"
"sports_enthusiast","camp-12345","2025-04","1800000","54000","2160","67500","0.03","0.04","1.25","31.25","3.5","108","425"
"tech_enthusiast","camp-67890","2025-04","950000","28500","1140","71250","0.03","0.04","2.5","62.5","2.6","160","520"
"fashion_enthusiast","camp-24680","2025-04","2200000","88000","4400","132000","0.04","0.05","1.5","30","4","120","385"
"home_enthusiast","camp-13579","2025-04","1100000","33000","1320","49500","0.03","0.04","1.5","37.5","3.2","120","390"
"travel_enthusiast","camp-97531","2025-04","1600000","64000","2560","96000","0.04","0.04","1.5","37.5","3.8","142.5","680"
"finance_enthusiast","camp-24601","2025-04","850000","21250","850","63750","0.025","0.04","3","75","2.5","187.5","895"
"gaming_enthusiast","camp-86420","2025-04","2800000","140000","5600","140000","0.05","0.04","1","25","4.5","112.5","285"
"health_enthusiast","camp-35791","2025-04","1450000","43500","2175","65250","0.03","0.05","1.5","30","3.8","114","425"
"auto_intender","camp-80246","2025-04","1250000","37500","750","112500","0.03","0.02","3","150","2","300","1850"
"beauty_enthusiast","camp-15937","2025-04","2100000","84000","3360","126000","0.04","0.04","1.5","37.5","3.2","120","385"
"food_enthusiast","camp-11111","2025-04","2400000","120000","6000","180000","0.05","0.05","1.5","30","4.2","126","365"
"pet_owner","camp-22222","2025-04","1200000","36000","2160","54000","0.03","0.06","1.5","25","4.5","112.5","525"
"deal_seeker","camp-33333","2025-04","3200000","160000","8000","240000","0.05","0.05","1.5","30","4","120","285"
"tech_early_adopter","camp-44444","2025-04","800000","24000","1200","72000","0.03","0.05","3","60","2.8","168","750"
"crypto_investor","camp-55555","2025-04","950000","28500","1140","142500","0.03","0.04","5","125","2.2","275","1425"
"entertainment_seeker","camp-66666","2025-04","1850000","92500","3700","138750","0.05","0.04","1.5","37.5","3.5","131.25","485"
"sustainability_conscious","camp-77777","2025-04","1100000","44000","1760","88000","0.04","0.04","2","50","3.2","160","680"
"luxury_consumer","camp-88888","2025-04","450000","13500","540","90000","0.03","0.04","6.67","166.67","2","333.33","2850"
"student","camp-99999","2025-04","1500000","45000","2250","135000","0.03","0.05","3","60","2.5","150","385"
"sports_enthusiast","camp-12345","2025-03","1750000","52500","2100","65625","0.03","0.04","1.25","31.25","3.45","108.75","420"
"tech_enthusiast","camp-67890","2025-03","920000","27600","1104","69000","0.03","0.04","2.5","62.5","2.55","158.4","510"
"fashion_enthusiast","camp-24680","2025-03","2150000","86000","4300","129000","0.04","0.05","1.5","30","3.95","119.25","380"
"home_enthusiast","camp-13579","2025-03","1050000","31500","1260","47250","0.03","0.04","1.5","37.5","3.15","118.5","385"
"travel_enthusiast","camp-97531","2025-03","1550000","62000","2480","93000","0.04","0.04","1.5","37.5","3.75","141","675"
"finance_enthusiast","camp-24601","2025-03","820000","20500","820","61500","0.025","0.04","3","75","2.45","185.25","880"
"gaming_enthusiast","camp-86420","2025-03","2750000","137500","5500","137500","0.05","0.04","1","25","4.45","111.25","280"
"health_enthusiast","camp-35791","2025-03","1400000","42000","2100","63000","0.03","0.05","1.5","30","3.75","112.5","420"
"auto_intender","camp-80246","2025-03","1200000","36000","720","108000","0.03","0.02","3","150","1.95","292.5","1800"
"beauty_enthusiast","camp-15937","2025-03","2050000","82000","3280","123000","0.04","0.04","1.5","37.5","3.15","118.5","380"
"food_enthusiast","camp-11111","2025-03","2350000","117500","5875","176250","0.05","0.05","1.5","30","4.15","125.25","360"
"pet_owner","camp-22222","2025-03","1150000","34500","2070","51750","0.03","0.06","1.5","25","4.45","111.25","520"
"deal_seeker","camp-33333","2025-03","3150000","157500","7875","236250","0.05","0.05","1.5","30","3.95","118.5","280"
"tech_early_adopter","camp-44444","2025-03","780000","23400","1170","70200","0.03","0.05","3","60","2.75","165.6","740"
"crypto_investor","camp-55555","2025-03","920000","27600","1104","138000","0.03","0.04","5","125","2.15","272.5","1400"
"entertainment_seeker","camp-66666","2025-03","1800000","90000","3600","135000","0.05","0.04","1.5","37.5","3.45","129.75","480"
"sustainability_conscious","camp-77777","2025-03","1050000","42000","1680","84000","0.04","0.04","2","50","3.15","157.5","675"
"luxury_consumer","camp-88888","2025-03","430000","12900","516","86000","0.03","0.04","6.67","166.67","1.95","325","2800"
"student","camp-99999","2025-03","1450000","43500","2175","130500","0.03","0.05","3","60","2.45","147.75","380"
"sports_enthusiast","camp-001","2025-03","1150000","17250","518","21563","0.015","0.03","1.25","41.67","2.85","119.25","340"
"tech_enthusiast","camp-001","2025-03","780000","15600","624","31200","0.02","0.04","2","50","3.15","158.4","480"
"luxury_lifestyle","camp-002","2025-03","480000","12000","480","60000","0.025","0.04","5","125","4.75","595","1825"
"health_enthusiast","camp-003","2025-03","1450000","21750","870","43500","0.015","0.04","2","50","2.35","118.5","280"
"travel_enthusiast","camp-004","2025-03","580000","8700","261","43500","0.015","0.03","5","166.67","2.65","446.25","1185"
"new_parent","camp-001","2025-04","850000","21250","1275","31875","0.025","0.06","1.5","25","4.8","120","485"
"outdoor_enthusiast","camp-002","2025-04","1200000","36000","1440","54000","0.03","0.04","1.5","37.5","3.6","135","680"
"senior_citizen","camp-003","2025-04","650000","16250","650","48750","0.025","0.04","3","75","2.67","200","1250"
"news_reader","camp-004","2025-04","950000","28500","855","57000","0.03","0.03","2","66.67","2.5","150","485"
