"competitor_brand","industry_vertical","campaign_start_date","campaign_end_date","estimated_budget_tier","primary_objective","target_audience_overlap","share_of_voice","cpc_impact_on_market","optimal_counter_strategy","timing_recommendation","competitive_advantage_score"
"nike","retail","1/15/25","2/14/25","high","brand_awareness","0.65","0.23","1.25","avoid_overlap","delay_2_weeks","0.72"
"adidas","retail","1/22/25","2/28/25","high","product_launch","0.58","0.19","1.18","differentiate_timing","launch_parallel","0.68"
"apple","technology","3/1/25","3/31/25","very_high","product_launch","0.72","0.35","1.45","counter_program","launch_before","0.85"
"samsung","technology","3/8/25","4/7/25","high","feature_promotion","0.69","0.28","1.32","gap_strategy","find_timing_gap","0.78"
"google","technology","2/15/25","3/15/25","very_high","ecosystem_promotion","0.61","0.31","1.38","differentiate_audience","target_different_segment","0.74"
"microsoft","technology","4/1/25","5/1/25","high","enterprise_focus","0.45","0.22","1.15","niche_timing","focus_weekends","0.66"
"jpmorgan","finance","1/1/25","3/31/25","medium","tax_season_prep","0.52","0.18","1.12","seasonal_early","launch_early_december","0.71"
"wells_fargo","finance","2/1/25","4/15/25","medium","investment_education","0.48","0.16","1.08","extend_campaign","run_through_may","0.64"
"chase","finance","3/15/25","4/30/25","high","credit_card_promotion","0.55","0.24","1.28","competitive_gap","target_late_april","0.76"
"ford","automotive","8/15/25","9/30/25","high","model_year_launch","0.71","0.29","1.35","early_positioning","launch_august_1","0.81"
"toyota","automotive","9/1/25","10/15/25","high","reliability_campaign","0.63","0.25","1.22","quality_focus","emphasize_durability","0.73"
"luxurycars","automotive","9/15/25","11/1/25","medium","luxury_positioning","0.42","0.19","1.14","premium_timing","target_weekday_evenings","0.67"
"colamax","food_beverage","5/1/25","8/31/25","very_high","summer_campaign","0.58","0.32","1.42","seasonal_early","start_april_15","0.79"
"bluecola","food_beverage","5/15/25","9/15/25","high","youth_targeting","0.61","0.27","1.31","weekend_focus","emphasize_friday_saturday","0.75"
"fastburger","food_beverage","7/1/25","8/15/25","high","value_messaging","0.49","0.21","1.17","price_positioning","lunch_hour_focus","0.69"
"streammax","entertainment","3/1/25","5/31/25","very_high","content_promotion","0.68","0.34","1.47","content_differentiation","target_different_genres","0.83"
"disney","entertainment","6/1/25","8/31/25","very_high","family_content","0.52","0.29","1.36","family_timing","target_weekend_mornings","0.77"
"hbo","entertainment","4/15/25","6/30/25","high","premium_content","0.45","0.23","1.24","adult_timing","target_late_evening","0.71"
"zara","fashion","8/1/25","10/31/25","medium","fall_collection","0.64","0.22","1.19","fast_fashion_timing","quick_response_campaigns","0.72"
"h_and_m","fashion","8/15/25","11/15/25","medium","affordable_fashion","0.59","0.19","1.13","budget_positioning","price_comparison_focus","0.68"
"gucci","fashion","9/1/25","12/15/25","high","luxury_positioning","0.35","0.18","1.11","exclusivity_timing","limited_time_offers","0.74"
"airbnb","travel","4/1/25","9/30/25","high","summer_travel","0.56","0.26","1.29","experience_focus","unique_accommodations","0.76"
"booking_com","travel","3/15/25","10/15/25","very_high","hotel_booking","0.63","0.31","1.39","early_bird_strategy","advance_booking_incentives","0.8"
"expedia","travel","4/15/25","9/15/25","high","package_deals","0.58","0.24","1.26","bundling_focus","vacation_packages","0.73"
"amazon","ecommerce","11/1/25","12/31/25","very_high","holiday_shopping","0.75","0.42","1.65","prime_timing","exclusive_member_events","0.88"
"walmart","ecommerce","11/15/25","12/24/25","high","value_positioning","0.68","0.35","1.51","price_matching","everyday_low_prices","0.82"
"target","ecommerce","10/15/25","12/31/25","high","trendy_affordable","0.61","0.28","1.33","style_positioning","designer_collaborations","0.75"
"uber","transportation","1/1/25","12/31/25","high","ride_sharing","0.72","0.38","1.58","convenience_focus","quick_pickup_times","0.84"
"lyft","transportation","1/1/25","12/31/25","medium","community_focus","0.69","0.31","1.41","social_responsibility","driver_community","0.77"
"tesla","automotive","6/1/25","8/31/25","high","electric_vehicle","0.45","0.25","1.27","innovation_timing","tech_conference_alignment","0.79"
"rivian","automotive","7/1/25","9/30/25","medium","electric_truck","0.38","0.18","1.12","outdoor_positioning","adventure_timing","0.71"
"pfizer","healthcare","1/1/25","6/30/25","medium","health_awareness","0.42","0.19","1.14","medical_timing","doctor_visit_seasons","0.68"
"johnson_johnson","healthcare","3/1/25","8/31/25","medium","consumer_health","0.48","0.22","1.21","wellness_positioning","spring_health_focus","0.72"
"moderna","healthcare","9/1/25","12/31/25","medium","vaccine_awareness","0.41","0.17","1.09","flu_season_timing","preventive_care_focus","0.66"
"starbucks","food_beverage","11/1/25","1/31/25","high","holiday_drinks","0.54","0.28","1.34","seasonal_exclusivity","limited_time_flavors","0.78"
"dunkin","food_beverage","10/15/25","2/15/25","medium","coffee_loyalty","0.51","0.23","1.22","convenience_positioning","mobile_ordering","0.71"
"home_depot","retail","3/1/25","8/31/25","high","spring_projects","0.67","0.31","1.37","diy_timing","weekend_project_focus","0.79"
"lowes","retail","3/15/25","9/15/25","high","home_improvement","0.64","0.28","1.32","professional_positioning","contractor_partnerships","0.75"
"ikea","retail","8/1/25","9/30/25","medium","college_dorm","0.43","0.21","1.18","student_timing","back_to_school_focus","0.69"
