"primary_format","secondary_format","device_type","content_category","compatibility_score","revenue_lift_percent","user_experience_impact","frequency_cap_interaction","optimal_sequence","performance_synergy_score","brand_recall_improvement","attention_overlap_risk"
"display_banner","video_pre_roll","mobile","IAB1-2","0.85","0.12","0.08","additive","video_first","0.78","0.15","0.22"
"display_banner","video_pre_roll","desktop","IAB1-2","0.88","0.15","0.06","additive","video_first","0.82","0.18","0.18"
"display_banner","video_pre_roll","tablet","IAB1-2","0.86","0.13","0.07","additive","video_first","0.80","0.16","0.20"
"display_banner","native_feed","mobile","IAB1-2","0.79","0.08","0.12","competitive","banner_first","0.72","0.09","0.35"
"display_banner","native_feed","desktop","IAB1-2","0.82","0.10","0.09","competitive","banner_first","0.75","0.11","0.28"
"display_banner","native_feed","tablet","IAB1-2","0.80","0.09","0.11","competitive","banner_first","0.73","0.10","0.32"
"video_pre_roll","video_mid_roll","mobile","IAB1-2","0.72","0.05","0.18","highly_competitive","pre_roll_only","0.65","0.03","0.62"
"video_pre_roll","video_mid_roll","desktop","IAB1-2","0.75","0.07","0.15","highly_competitive","pre_roll_only","0.68","0.05","0.58"
"video_pre_roll","video_mid_roll","tablet","IAB1-2","0.73","0.06","0.17","highly_competitive","pre_roll_only","0.66","0.04","0.60"
"video_pre_roll","native_feed","mobile","IAB1-2","0.91","0.18","0.04","complementary","video_first","0.87","0.22","0.08"
"video_pre_roll","native_feed","desktop","IAB1-2","0.93","0.21","0.02","complementary","video_first","0.89","0.25","0.05"
"video_pre_roll","native_feed","tablet","IAB1-2","0.92","0.19","0.03","complementary","video_first","0.88","0.23","0.06"
"native_feed","interstitial","mobile","IAB1-2","0.68","0.02","0.25","highly_competitive","native_only","0.58","0.01","0.75"
"native_feed","interstitial","tablet","IAB1-2","0.71","0.04","0.22","highly_competitive","native_only","0.61","0.02","0.68"
"display_banner","audio_podcast","mobile","IAB1-2","0.94","0.22","0.01","independent","simultaneous","0.91","0.28","0.02"
"display_banner","audio_podcast","desktop","IAB1-2","0.96","0.25","0.00","independent","simultaneous","0.93","0.31","0.01"
"video_pre_roll","audio_podcast","mobile","IAB1-2","0.89","0.16","0.05","complementary","audio_background","0.84","0.19","0.12"
"video_pre_roll","audio_podcast","desktop","IAB1-2","0.91","0.19","0.03","complementary","audio_background","0.86","0.22","0.08"
"display_banner","rewarded_video","mobile","IAB9-30","0.83","0.14","0.09","additive","reward_first","0.79","0.17","0.25"
"display_banner","rewarded_video","tablet","IAB9-30","0.85","0.16","0.07","additive","reward_first","0.81","0.19","0.21"
"native_feed","rewarded_video","mobile","IAB9-30","0.88","0.20","0.05","complementary","reward_first","0.84","0.24","0.15"
"native_feed","rewarded_video","tablet","IAB9-30","0.90","0.22","0.03","complementary","reward_first","0.86","0.26","0.12"
"display_banner","ctv_video","mobile","IAB1-2","0.76","0.06","0.15","competitive","ctv_first","0.69","0.08","0.42"
"display_banner","ctv_video","tablet","IAB1-2","0.78","0.08","0.13","competitive","ctv_first","0.71","0.10","0.38"
"video_pre_roll","ctv_video","mobile","IAB1-2","0.81","0.11","0.10","additive","sequential","0.75","0.14","0.28"
"video_pre_roll","ctv_video","tablet","IAB1-2","0.83","0.13","0.08","additive","sequential","0.77","0.16","0.24"
"display_banner","video_pre_roll","mobile","IAB4-3","0.87","0.14","0.07","additive","video_first","0.81","0.17","0.19"
"display_banner","video_pre_roll","desktop","IAB4-3","0.90","0.17","0.05","additive","video_first","0.84","0.20","0.15"
"display_banner","video_pre_roll","tablet","IAB4-3","0.88","0.15","0.06","additive","video_first","0.82","0.18","0.17"
"video_pre_roll","native_feed","mobile","IAB4-3","0.93","0.20","0.03","complementary","video_first","0.89","0.24","0.06"
"video_pre_roll","native_feed","desktop","IAB4-3","0.95","0.23","0.01","complementary","video_first","0.91","0.27","0.03"
"video_pre_roll","native_feed","tablet","IAB4-3","0.94","0.21","0.02","complementary","video_first","0.90","0.25","0.04"
"display_banner","video_pre_roll","mobile","IAB13-6","0.89","0.16","0.06","additive","video_first","0.83","0.19","0.17"
"display_banner","video_pre_roll","desktop","IAB13-6","0.92","0.19","0.04","additive","video_first","0.86","0.22","0.13"
"display_banner","video_pre_roll","tablet","IAB13-6","0.90","0.17","0.05","additive","video_first","0.84","0.20","0.15"
"video_pre_roll","native_feed","mobile","IAB13-6","0.95","0.22","0.02","complementary","video_first","0.91","0.26","0.04"
"video_pre_roll","native_feed","desktop","IAB13-6","0.97","0.25","0.01","complementary","video_first","0.93","0.29","0.02"
"video_pre_roll","native_feed","tablet","IAB13-6","0.96","0.23","0.01","complementary","video_first","0.92","0.27","0.03"
"display_banner","video_pre_roll","mobile","IAB17-16","0.84","0.11","0.09","additive","video_first","0.77","0.14","0.23"
"display_banner","video_pre_roll","desktop","IAB17-16","0.86","0.13","0.07","additive","video_first","0.79","0.16","0.19"
"display_banner","video_pre_roll","tablet","IAB17-16","0.85","0.12","0.08","additive","video_first","0.78","0.15","0.21"
"display_banner","native_feed","mobile","IAB17-16","0.77","0.07","0.13","competitive","banner_first","0.70","0.08","0.37"
"display_banner","native_feed","desktop","IAB17-16","0.80","0.09","0.10","competitive","banner_first","0.73","0.10","0.30"
"display_banner","native_feed","tablet","IAB17-16","0.78","0.08","0.12","competitive","banner_first","0.71","0.09","0.34"
"interstitial","rewarded_video","mobile","IAB9-30","0.65","0.01","0.28","highly_competitive","reward_only","0.55","0.00","0.78"
"interstitial","rewarded_video","tablet","IAB9-30","0.68","0.02","0.25","highly_competitive","reward_only","0.58","0.01","0.72"
"audio_podcast","native_feed","mobile","IAB1-2","0.92","0.18","0.02","independent","simultaneous","0.88","0.21","0.05"
"audio_podcast","native_feed","desktop","IAB1-2","0.94","0.21","0.01","independent","simultaneous","0.90","0.24","0.03"
