package_id,media_buy_id,campaign_id,buyer_ref,product_id,publisher_name,channel,budget_usd,pacing,pricing_option_id,cpm_usd,format_ids,targeting_overlay_geo,targeting_overlay_signals,frequency_cap_impressions,frequency_cap_minutes,status,estimated_impressions,estimated_reach,start_date,end_date,created_at
pkg_001,mb_001,camp_001,acme_ctv_espn,prod_espn_ctv_001,ESPN,ctv,150000,even,cpm_fixed_premium,42.50,"video_standard_30s,video_standard_15s","US:CA,US:OR,US:WA","sig_lr_004,sig_p39_001",5,1440,active,3529412,1200000,2025-02-01,2025-03-31,2025-01-15T12:00:00Z
pkg_002,mb_001,camp_001,acme_ctv_fox,prod_fox_ctv_001,Fox Sports,ctv,125000,even,cpm_fixed_premium,45.00,"video_standard_30s,video_standard_15s","US:CA,US:OR,US:WA","sig_lr_004,sig_p39_001",5,1440,active,2777778,950000,2025-02-01,2025-03-31,2025-01-15T12:00:00Z
pkg_003,mb_001,camp_001,acme_ctv_paramount,prod_paramount_ctv_001,Paramount,ctv,100000,even,cpm_fixed_premium,40.00,"video_standard_30s,video_standard_15s","US:CA,US:OR,US:WA","sig_lr_004,sig_p39_001",5,1440,active,2500000,875000,2025-02-01,2025-03-31,2025-01-15T12:00:00Z
pkg_004,mb_001,camp_001,acme_olv_youtube,prod_youtube_olv_001,Google,online_video,75000,even,cpm_auction,22.00,"video_standard_30s,video_standard_15s,video_standard_6s","US:CA,US:OR,US:WA","sig_lr_004,sig_p39_001",6,1440,active,3409091,1450000,2025-02-01,2025-03-31,2025-01-15T12:00:00Z
pkg_005,mb_001,camp_001,acme_olv_twitch,prod_twitch_olv_001,Amazon,online_video,50000,even,cpm_fixed_standard,18.00,"video_standard_30s,video_standard_15s","US:CA,US:OR,US:WA","sig_lr_004,sig_p39_001",6,1440,active,2777778,980000,2025-02-01,2025-03-31,2025-01-15T12:00:00Z
pkg_006,mb_002,camp_003,premier_ctv_espn,prod_espn_ctv_001,ESPN,ctv,200000,front_loaded,cpm_fixed_premium,42.50,"video_standard_30s,video_standard_60s","US:CA,US:OR,US:WA","sig_lr_001,sig_lr_003,sig_p39_003",3,1440,active,4705882,1600000,2025-03-01,2025-05-31,2025-01-18T14:00:00Z
pkg_007,mb_002,camp_003,premier_ctv_fubo,prod_fubo_ctv_001,FuboTV,ctv,175000,even,cpm_fixed_premium,48.00,"video_standard_30s,video_standard_60s","US:CA,US:OR,US:WA","sig_lr_001,sig_lr_003,sig_p39_003",3,1440,active,3645833,1250000,2025-03-01,2025-05-31,2025-01-18T14:00:00Z
pkg_008,mb_002,camp_003,premier_ctv_nbc,prod_nbc_ctv_001,NBCUniversal,ctv,150000,even,cpm_fixed_premium,38.00,"video_standard_30s,video_standard_15s","US:CA,US:OR,US:WA","sig_lr_001,sig_lr_003,sig_p39_003",3,1440,active,3947368,1350000,2025-03-01,2025-05-31,2025-01-18T14:00:00Z
pkg_009,mb_002,camp_003,premier_olv_youtube,prod_youtube_olv_001,Google,online_video,125000,even,cpm_auction,22.00,"video_standard_30s,video_standard_15s","US:CA,US:OR,US:WA","sig_lr_001,sig_lr_003,sig_p39_003",4,1440,active,5681818,2400000,2025-03-01,2025-05-31,2025-01-18T14:00:00Z
pkg_010,mb_002,camp_003,premier_olv_athletic,prod_athletic_olv_001,New York Times,online_video,100000,even,cpm_fixed_premium,28.00,"video_standard_30s,video_standard_15s","US:CA,US:OR,US:WA","sig_lr_001,sig_lr_003,sig_p39_003",4,1440,active,3571429,1100000,2025-03-01,2025-05-31,2025-01-18T14:00:00Z
