"segment_id","segment_name","size_millions","demographic_profile","psychographic_profile","media_consumption_hours_daily","primary_device","secondary_device","social_platform_preference","content_preference","shopping_behavior","brand_loyalty_score","price_sensitivity","digital_adoption_score","influence_susceptibility","seasonal_behavior","geographic_concentration","income_bracket","education_level","lifestyle_category","purchase_decision_timeline_days","media_trust_score","ad_tolerance_score","privacy_concern_level","engagement_preference","conversion_likelihood"
"SEG001","Digital Native Professionals","8.5","25-35, Urban, College+, $75K+","Tech-savvy, Career-focused, Efficiency-driven","6.8","Mobile","Desktop","LinkedIn","Professional Content","Research-driven","6.2","Medium","9.1","7.3","Consistent","Urban Centers","High","$75K+","Professional","14","7.8","6.5","High","Interactive","0.34"
"SEG002","Suburban Family Planners","12.3","30-45, Suburban, Some College, $50-75K","Family-first, Value-conscious, Community-oriented","5.2","Desktop","Mobile","Facebook","Family Content","Deal-seeking","7.8","High","6.4","8.1","Holiday-driven","Suburban","Middle","$50-75K","Family","21","8.2","7.9","Medium","Educational","0.28"
"SEG003","Gen Z Trendsetters","6.7","18-25, Mixed Location, High School+, <$50K","Trend-conscious, Social-first, Authentic-seeking","8.9","Mobile","Mobile","TikTok","Entertainment","Impulse-driven","4.3","High","9.8","9.2","Trend-driven","Urban/Suburban","Low","<$50K","Social","3","5.9","4.2","Low","Visual","0.42"
"SEG004","Affluent Empty Nesters","4.2","50-65, Suburban/Rural, College+, $100K+","Quality-focused, Experience-driven, Established","4.1","Desktop","Tablet","Facebook","Lifestyle Content","Premium-seeking","8.9","Low","5.7","6.8","Travel-seasonal","Suburban/Rural","High","$100K+","Luxury","28","8.7","8.1","High","Informational","0.31"
"SEG005","Budget-Conscious Millennials","9.8","25-35, Urban/Suburban, College, $35-60K","Value-driven, Socially-conscious, Experience-seeking","7.3","Mobile","Desktop","Instagram","Lifestyle Content","Comparison-heavy","5.6","Very High","8.2","7.9","Event-driven","Urban/Suburban","Lower-Middle","$35-60K","Conscious","18","6.8","5.7","Medium","Authentic","0.26"
"SEG006","Traditional Seniors","7.1","65+, Rural/Suburban, High School+, $40-70K","Tradition-focused, Relationship-driven, Cautious","3.2","TV","Desktop","Facebook","News Content","Loyalty-driven","9.1","Medium","3.8","5.4","Routine-based","Rural/Suburban","Middle","$40-70K","Traditional","35","9.2","8.8","Very High","Personal","0.19"
"SEG007","Tech Enthusiast Early Adopters","3.9","22-40, Urban, College+, $60-100K","Innovation-focused, Tech-forward, Performance-driven","9.1","Mobile","Desktop","Twitter","Tech Content","Feature-driven","4.8","Medium","9.7","6.2","Product-cycle","Urban Centers","Upper-Middle","$60-100K","Tech","7","7.1","5.3","Low","Interactive","0.38"
"SEG008","Health-Conscious Actives","5.6","28-50, Suburban, College, $55-85K","Wellness-focused, Active-lifestyle, Quality-conscious","6.4","Mobile","Wearable","Instagram","Health Content","Research-driven","7.2","Medium","7.8","7.6","Seasonal-active","Suburban","Middle-Upper","$55-85K","Wellness","16","7.9","6.8","Medium","Educational","0.33"
"SEG009","Small Business Owners","2.8","35-55, Mixed Location, Some College+, $45-120K","Entrepreneurial, Time-pressed, ROI-focused","5.8","Mobile","Desktop","LinkedIn","Business Content","Efficiency-driven","6.9","Medium","7.3","5.8","Business-cycle","Mixed","Varied","$45-120K","Business","12","8.1","7.2","Medium","Results-focused","0.29"
"SEG010","Creative Professionals","4.1","25-45, Urban, College+, $40-80K","Creative-driven, Aesthetic-focused, Trend-aware","7.6","Desktop","Mobile","Instagram","Creative Content","Inspiration-driven","5.4","Medium","8.6","8.4","Project-based","Urban Centers","Middle-Upper","$40-80K","Creative","11","6.7","5.9","Low","Visual","0.35"
"SEG011","Rural Traditionalists","3.7","40-70, Rural, High School, $30-55K","Community-focused, Value-driven, Practical","4.3","TV","Radio","Facebook","Local Content","Brand-loyal","8.7","High","4.2","6.9","Agricultural-seasonal","Rural","Lower-Middle","$30-55K","Rural","42","8.9","8.5","High","Traditional","0.22"
"SEG012","Urban Young Professionals","7.2","22-32, Urban, College+, $45-75K","Career-focused, Social-active, Convenience-driven","7.8","Mobile","Desktop","Instagram","Lifestyle Content","Convenience-seeking","5.1","Medium","8.9","7.7","Work-cycle","Urban Centers","Middle-Upper","$45-75K","Urban","9","6.4","5.8","Low","Mobile-first","0.36"
"SEG013","Luxury Lifestyle Aspirants","2.9","30-50, Urban/Suburban, College+, $80-150K","Status-conscious, Quality-focused, Brand-aware","5.9","Mobile","Desktop","Instagram","Luxury Content","Premium-seeking","7.6","Low","7.4","8.8","Luxury-seasonal","Urban/Suburban","High","$80-150K","Luxury","25","7.8","7.1","Medium","Exclusive","0.32"
"SEG014","Practical Parents","8.9","28-42, Suburban, Some College, $45-70K","Child-focused, Budget-conscious, Time-pressed","5.1","Mobile","Desktop","Facebook","Parenting Content","Need-based","8.2","High","6.8","7.4","School-seasonal","Suburban","Middle","$45-70K","Family","19","8.4","7.6","High","Practical","0.27"
"SEG015","Retirement Planners","6.3","50-62, Suburban, College, $60-100K","Security-focused, Planning-oriented, Conservative","4.7","Desktop","Tablet","Facebook","Financial Content","Research-heavy","8.5","Medium","6.1","6.2","Financial-cycle","Suburban","Upper-Middle","$60-100K","Conservative","45","8.8","8.3","Very High","Informational","0.24"
