"framework_name","campaign_objective","primary_kpi","secondary_kpi_1","secondary_kpi_2","tertiary_kpi_1","tertiary_kpi_2","measurement_method","attribution_model","lookback_window_days","data_sources","reporting_frequency","dashboard_type","stakeholder_audience","success_threshold_primary","success_threshold_secondary","benchmark_comparison","statistical_significance_required","sample_size_minimum","confidence_level","test_duration_minimum_days","incrementality_testing","brand_lift_study","survey_methodology","offline_integration","cross_device_tracking","privacy_compliance_level","cost_per_measurement","automation_level","real_time_monitoring"
"Brand Awareness Framework","Brand Awareness","Brand Lift %","Reach","Frequency","Video Completion Rate","Share of Voice","Brand Lift Study","Even Credit","7","Survey + Platform Analytics","Weekly","Executive Dashboard","C-Suite","15","80","Industry Benchmark","Yes","2000","95","14","Yes","Yes","Random Sampling","Store Visits","Probabilistic","High","5000","Medium","Yes"
"Performance Conversion Framework","Conversions","ROAS","CPA","Conversion Rate","AOV","LTV","Attribution Modeling","Data-Driven","30","GA4 + CRM + Platforms","Daily","Performance Dashboard","Marketing Team","4.0","50","Historical Performance","Yes","1000","90","7","Yes","No","N/A","POS Integration","Deterministic","High","2000","High","Yes"
"Lead Generation Framework","Lead Generation","Cost per Lead","Lead Quality Score","Conversion Rate","MQL to SQL Rate","Sales Velocity","CRM Integration","First-Touch + Last-Touch","45","CRM + Marketing Automation","Weekly","Sales Dashboard","Sales + Marketing","25","70","Industry Benchmark","Yes","500","95","21","Yes","No","Lead Surveys","Sales Integration","Email-based","Medium","3000","Medium","Yes"
"Engagement Framework","Engagement","Engagement Rate","Time on Site","Pages per Session","Social Shares","Video Views","Platform Analytics","Linear","14","Platform Analytics + Social","Daily","Social Dashboard","Social Team","8.5","180","Platform Benchmarks","No","N/A","N/A","N/A","No","No","N/A","N/A","Platform-based","Low","500","High","Yes"
"Reach & Frequency Framework","Reach","Unique Reach","Effective Reach (3+)","Average Frequency","GRP","CPM","Media Planning Tools","Reach Curves","N/A","Platform + Third-party","Weekly","Media Dashboard","Media Team","85","65","Media Plan","No","N/A","N/A","N/A","No","No","N/A","N/A","Cross-platform","Medium","1500","Low","No"
"E-commerce Framework","Sales","Revenue","ROAS","Conversion Rate","Cart Abandonment","Product Views","E-commerce Analytics","Last-Click + View-through","30","E-commerce Platform + Ads","Daily","E-commerce Dashboard","E-commerce Team","1000000","3.5","Previous Period","Yes","2000","90","14","Yes","No","N/A","In-store Integration","Customer ID","High","2500","High","Yes"
"B2B Pipeline Framework","Pipeline Generation","Pipeline Value","Lead Volume","Lead Quality","Opportunity Rate","Sales Cycle","CRM + Marketing Automation","Multi-Touch","60","CRM + MAP + Ads","Weekly","Pipeline Dashboard","Sales + Marketing","500000","100","Quarterly Target","Yes","200","95","30","Yes","No","Account Surveys","Sales Integration","Account-based","High","4000","Medium","Yes"
"Mobile App Framework","App Installs","Install Rate","Cost per Install","Day 1 Retention","Day 7 Retention","In-App Purchases","Mobile Attribution","Install Attribution","7","MMP + App Analytics","Daily","App Dashboard","Product Team","12","2.50","App Store Category","Yes","5000","90","7","Yes","No","N/A","N/A","Device ID","Medium","1800","High","Yes"
"Video Campaign Framework","Video Views","Video Completion Rate","View-through Rate","Cost per View","Brand Recall","Purchase Intent","Video Analytics","Video Attribution","14","Video Platform + Survey","Weekly","Video Dashboard","Creative Team","75","65","Video Benchmarks","Yes","1500","90","14","Yes","Yes","Video Recall Survey","N/A","Cross-device","Medium","3500","Medium","Yes"
"Omnichannel Framework","Unified Customer Experience","Customer Lifetime Value","Cross-Channel Attribution","Unified Reach","Channel Synergy","Customer Journey Completion","Customer Data Platform","Unified Attribution","90","CDP + All Channels","Weekly","Unified Dashboard","CMO Office","500","85","Customer Segments","Yes","1000","95","30","Yes","Yes","Customer Journey Survey","All Touchpoints","Unified ID","Very High","8000","Low","Yes"
"Local Campaign Framework","Local Awareness","Store Visits","Local Reach","Foot Traffic Lift","Local Search Volume","Store Sales","Location Analytics","Geo-Attribution","14","Location Data + POS","Weekly","Local Dashboard","Local Marketing","25","75","Local Market","Yes","500","90","14","Yes","No","N/A","Store Integration","Location-based","Medium","2000","Medium","Yes"
"Retention Framework","Customer Retention","Retention Rate","Churn Rate","Repeat Purchase Rate","Customer Satisfaction","Net Promoter Score","Customer Analytics","Customer Journey","60","CRM + Survey + Analytics","Monthly","Retention Dashboard","Customer Success","85","5","Industry Benchmark","Yes","800","95","30","No","No","Customer Survey","Customer Service","Customer ID","High","3000","Low","No"
