"placement_type","ad_format","device_type","content_category","iab_standard_viewability","custom_viewability_threshold","measured_viewability_rate","viewport_visibility_percent","time_in_view_seconds","scroll_depth_when_visible","interaction_overlap_rate","brand_safety_score","fraud_score","attention_score"
"banner","display","mobile","IAB1-2","0.50","0.65","0.72","75.3","2.8","0.45","0.08","0.92","0.05","7.8"
"banner","display","desktop","IAB1-2","0.50","0.65","0.78","82.1","3.4","0.38","0.06","0.94","0.03","8.2"
"banner","display","tablet","IAB1-2","0.50","0.65","0.75","78.9","3.1","0.42","0.07","0.93","0.04","8.0"
"video","pre-roll","mobile","IAB1-2","0.50","0.70","0.85","88.6","8.7","0.15","0.12","0.95","0.02","9.1"
"video","pre-roll","desktop","IAB1-2","0.50","0.70","0.89","92.3","9.8","0.12","0.10","0.96","0.01","9.5"
"video","pre-roll","tablet","IAB1-2","0.50","0.70","0.87","90.1","9.2","0.14","0.11","0.95","0.02","9.3"
"native","in-feed","mobile","IAB1-2","0.50","0.60","0.68","71.4","2.3","0.58","0.15","0.89","0.08","7.2"
"native","in-feed","desktop","IAB1-2","0.50","0.60","0.74","76.8","2.9","0.52","0.12","0.91","0.06","7.6"
"native","in-feed","tablet","IAB1-2","0.50","0.60","0.71","73.9","2.6","0.55","0.13","0.90","0.07","7.4"
"banner","display","mobile","IAB17-16","0.50","0.65","0.70","73.2","2.6","0.47","0.09","0.90","0.06","7.5"
"banner","display","desktop","IAB17-16","0.50","0.65","0.76","80.5","3.2","0.39","0.07","0.92","0.04","7.9"
"banner","display","tablet","IAB17-16","0.50","0.65","0.73","77.1","2.9","0.43","0.08","0.91","0.05","7.7"
"video","pre-roll","mobile","IAB17-16","0.50","0.70","0.83","86.8","8.3","0.16","0.13","0.93","0.03","8.8"
"video","pre-roll","desktop","IAB17-16","0.50","0.70","0.87","90.2","9.4","0.13","0.11","0.94","0.02","9.2"
"video","pre-roll","tablet","IAB17-16","0.50","0.70","0.85","88.7","8.9","0.15","0.12","0.93","0.03","9.0"
"native","in-feed","mobile","IAB17-16","0.50","0.60","0.66","69.8","2.1","0.59","0.16","0.87","0.09","6.9"
"native","in-feed","desktop","IAB17-16","0.50","0.60","0.72","75.3","2.7","0.53","0.13","0.89","0.07","7.3"
"native","in-feed","tablet","IAB17-16","0.50","0.60","0.69","72.4","2.4","0.56","0.14","0.88","0.08","7.1"
"banner","display","mobile","IAB4-3","0.50","0.65","0.76","81.2","3.3","0.41","0.06","0.94","0.03","8.1"
"banner","display","desktop","IAB4-3","0.50","0.65","0.82","86.9","3.9","0.34","0.04","0.96","0.02","8.6"
"banner","display","tablet","IAB4-3","0.50","0.65","0.79","84.1","3.6","0.37","0.05","0.95","0.02","8.4"
