signal_id,signal_agent,signal_agent_type,data_provider,signal_name,signal_description,signal_type,coverage_percentage,size_individuals,size_households,unit_type,cpm_usd,revenue_share_pct,pricing_model,decisioning_platforms_available,is_live_ttd,is_live_dv360,is_live_xandr,ttd_segment_id,dv360_segment_id,xandr_segment_id,refresh_frequency,accuracy_score,created_at
sig_lr_001,LiveRamp,marketplace,Polk,Auto Intenders - Luxury SUV,In-market for luxury SUV purchase within 90 days,audience,12.5,18500000,7200000,individuals,2.50,0,cpm,"ttd,dv360,xandr",true,true,true,lr_polk_luxury_suv_001,dv_lr_auto_lux_suv,xn_auto_intend_luxsuv,daily,0.89,2024-01-01
sig_lr_002,LiveRamp,marketplace,Polk,Auto Intenders - Sports Cars,In-market for sports car purchase within 90 days,audience,8.2,12100000,4800000,individuals,2.75,0,cpm,"ttd,dv360,xandr",true,true,false,lr_polk_sports_car_001,dv_lr_auto_sports,pending_activation,daily,0.87,2024-01-01
sig_lr_003,LiveRamp,marketplace,Experian,High Income HH $150K+,Households with annual income exceeding $150000,audience,18.5,42000000,16800000,households,1.85,0,cpm,"ttd,dv360,xandr",true,true,true,lr_exp_hhi_150k,dv_lr_income_150k,xn_hhi_150k_plus,monthly,0.92,2024-01-15
sig_lr_004,LiveRamp,marketplace,Experian,Sports Enthusiasts - Active Lifestyle,Active sports participants and fitness enthusiasts,audience,22.3,51000000,19500000,individuals,1.50,0,cpm,"ttd,dv360,xandr",true,true,true,lr_exp_sports_active,dv_lr_sports_active,xn_sports_enthus,weekly,0.85,2024-02-01
sig_exp_001,Experian,marketplace,Experian,Mosaic Segment - Affluent Sports Fans,Affluent households with high sports engagement,audience,15.8,36000000,14200000,households,2.25,0,cpm,"ttd,dv360",true,true,false,exp_mosaic_aff_sports,dv_exp_mosaic_sports,pending,monthly,0.91,2024-01-20
sig_exp_002,Experian,marketplace,Experian,Purchase Intent - Athletic Footwear,Recent searches and engagement with athletic footwear,audience,9.4,21500000,8500000,individuals,2.80,0,cpm,"ttd,dv360,xandr",true,true,true,exp_intent_ath_foot,dv_exp_ath_footwear,xn_ath_footwear,daily,0.88,2024-02-10
sig_p39_001,Peer39,marketplace,Peer39,Contextual - Sports News,Pages containing sports news and analysis content,contextual,45.2,0,0,impressions,0.75,0,cpm,"ttd,dv360,xandr,pubmatic,index",true,true,true,p39_ctx_sports_news,dv_p39_sports,xn_p39_sports_ctx,realtime,0.94,2024-01-01
sig_p39_002,Peer39,marketplace,Peer39,Contextual - Fitness & Wellness,Pages about fitness workouts nutrition and wellness,contextual,38.6,0,0,impressions,0.65,0,cpm,"ttd,dv360,xandr,pubmatic,index",true,true,true,p39_ctx_fitness,dv_p39_fitness,xn_p39_fit_ctx,realtime,0.93,2024-01-01
sig_p39_003,Peer39,marketplace,Peer39,Brand Safety - Sports Verified,Verified brand-safe sports content environments,contextual,52.1,0,0,impressions,0.50,0,cpm,"ttd,dv360,xandr,pubmatic,index",true,true,true,p39_bs_sports_ver,dv_p39_bs_sports,xn_p39_safe_sports,realtime,0.96,2024-01-15
sig_ora_001,Oracle Data Cloud,marketplace,Oracle,BlueKai - Sports Fans Composite,Multi-source composite of verified sports fans,audience,28.4,65000000,25000000,individuals,1.95,0,cpm,"ttd,dv360",true,true,false,ora_bk_sports_comp,dv_ora_sports_fans,pending,weekly,0.86,2024-02-01
sig_ora_002,Oracle Data Cloud,marketplace,AddThis,Content Consumption - ESPN Heavy,Users with high ESPN content consumption,audience,11.2,25500000,10200000,individuals,2.15,0,cpm,"ttd,dv360",true,false,false,ora_add_espn_heavy,pending,pending,daily,0.84,2024-02-15
sig_ncs_001,NCS (Nielsen),marketplace,Nielsen,Purchase Based - Athletic Apparel Buyers,Verified purchasers of athletic apparel past 12 months,audience,14.6,33500000,13400000,households,3.25,0,cpm,"ttd,dv360",true,true,false,ncs_pb_ath_apparel,dv_ncs_ath_apparel,pending,weekly,0.93,2024-01-25
sig_ncs_002,NCS (Nielsen),marketplace,Nielsen,Purchase Based - Sports Equipment,Verified purchasers of sports equipment past 6 months,audience,8.9,20400000,8100000,households,3.50,0,cpm,"ttd,dv360",true,true,false,ncs_pb_sports_equip,dv_ncs_sports_equip,pending,weekly,0.94,2024-02-01
sig_ias_001,IAS,marketplace,IAS,Viewability Optimized - Video,High viewability video inventory prediction,contextual,62.5,0,0,impressions,0.45,0,cpm,"ttd,dv360,xandr,pubmatic,index,magnite",true,true,true,ias_view_video_opt,dv_ias_viewability,xn_ias_view_vid,realtime,0.91,2024-01-01
sig_dv_001,DoubleVerify,marketplace,DoubleVerify,Authentic Impressions - Sports,Fraud-free verified sports content impressions,contextual,58.3,0,0,impressions,0.55,0,cpm,"ttd,dv360,xandr,pubmatic,index,magnite",true,true,true,dv_auth_sports,dv360_dv_auth_sports,xn_dv_authentic,realtime,0.95,2024-01-01
