study_id,campaign_id,provider_id,provider_name,study_type,study_name,status,start_date,end_date,control_group_size,exposed_group_size,baseline_metric,exposed_metric,lift_percentage,lift_confidence,statistical_significance,cost_usd,methodology_notes,created_at,completed_at
study_001,camp_001,meas_luc_001,Lucid,brand_lift,Acme Energy Brand Awareness Q1,completed,2025-02-01,2025-03-15,4500,12500,0.32,0.41,28.1,0.95,true,8000,Survey-based brand awareness measurement with control/exposed methodology,2025-01-20T10:00:00Z,2025-03-20T14:00:00Z
study_002,camp_001,meas_luc_001,Lucid,brand_lift,Acme Energy Ad Recall Q1,completed,2025-02-01,2025-03-15,4500,12500,0.18,0.34,88.9,0.99,true,0,Included with brand awareness study - ad recall metric,2025-01-20T10:00:00Z,2025-03-20T14:00:00Z
study_003,camp_001,meas_luc_001,Lucid,brand_lift,Acme Energy Purchase Intent Q1,completed,2025-02-01,2025-03-15,4500,12500,0.15,0.19,26.7,0.92,true,0,Included with brand awareness study - purchase intent metric,2025-01-20T10:00:00Z,2025-03-20T14:00:00Z
study_004,camp_001,meas_fsq_001,Foursquare,foot_traffic,Acme Energy Store Visit Attribution Q1,completed,2025-02-01,2025-03-31,0,485000,0.0042,0.0058,38.1,0.94,true,10000,Mobile location panel matched to exposed device IDs,2025-01-22T09:00:00Z,2025-04-05T11:00:00Z
study_005,camp_001,meas_fsq_001,Foursquare,foot_traffic,Acme Energy Convenience Store Visits,completed,2025-02-01,2025-03-31,0,485000,0.0089,0.0124,39.3,0.96,true,0,Subset analysis - convenience store category only,2025-01-22T09:00:00Z,2025-04-05T11:00:00Z
study_006,camp_003,meas_kan_001,Kantar,brand_lift,Premier SUV Brand Consideration,in_progress,2025-03-01,2025-05-15,6000,18000,0.28,0,0,0,false,12000,Survey-based brand consideration with dealer intent,2025-02-20T14:00:00Z,
study_007,camp_003,meas_kan_001,Kantar,brand_lift,Premier SUV Purchase Intent,in_progress,2025-03-01,2025-05-15,6000,18000,0.12,0,0,0,false,0,Included with brand consideration study,2025-02-20T14:00:00Z,
study_008,camp_003,meas_iri_002,IRI,foot_traffic,Premier SUV Dealer Visit Lift,in_progress,2025-03-01,2025-05-31,0,0,0,0,0,0,false,14000,Dealer location visit attribution via mobile panel,2025-02-22T10:00:00Z,
study_009,camp_005,meas_ttd_001,The Trade Desk,attribution,SecureBank KOA Attribution,active,2025-02-01,2025-04-30,0,0,0,0,0,0,false,0,Koa cross-device attribution for application tracking,2025-01-28T08:00:00Z,
study_010,camp_005,meas_dyn_001,Dynata,brand_lift,SecureBank Brand Trust Study,in_progress,2025-02-15,2025-04-15,5000,15000,0.45,0,0,0,false,6000,Brand trust and consideration survey,2025-02-10T11:00:00Z,
