"Timecode_SMPTE","Timestamp_Millis","Frame_Index","Type","Text","Confidence","Left","Top","Width","Height","Event_Name","City","Country","Event_Date"
"00:00:01:25","1500","75","LOGOS","qatar airways","0.86982673","0.75746906","0.64823395","0.03707838","0.016801748","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:00:01:25","1500","75","LOGOS","qatar airways","0.84295803","0.71763504","0.6561455","0.03671379","0.014642673","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:00:07:00","7000","350","LOGOS","max f1","0.81674665","0.07202322","0.04940151","0.06876178","0.034800187","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:00:26:25","26980","1350","LOGOS","lenovo","0.95248604","0.61954755","0.060170762","0.12597728","0.05182448","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:00:26:25","26980","1350","LOGOS","lenovo","0.9470069","0.786141","0.059860907","0.12643114","0.050924335","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:00:26:25","26980","1350","LOGOS","max f1","0.783476","0.07181959","0.049296644","0.069031246","0.03477927","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:00:26:25","26980","1350","LOGOS","lenovo","0.9553012","0.4536491","0.058920033","0.12523937","0.054203384","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:00:26:25","26980","1350","LOGOS","lenovo","0.8898055","0.6665187","0.2285844","0.095877215","0.042953238","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:00:34:25","34980","1750","LOGOS","lenovo","0.9537008","0.82294595","0.44515988","0.0827239","0.03482984","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:00:34:25","34980","1750","LOGOS","max f1","0.7889036","0.07188992","0.0495161","0.06870812","0.034486786","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:00:46:25","46980","2350","LOGOS","max f1","0.78639966","0.072022274","0.049542263","0.06877597","0.034591038","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:00:46:25","46980","2350","LOGOS","petronas","0.8778336","0.09199613","0.5847733","0.054603778","0.018823327","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:00:59:00","59220","2962","LOGOS","max f1","0.7736816","0.07151373","0.049369022","0.0692665","0.034679208","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:00:59:00","59220","2962","LOGOS","vertiv holdings","0.91228914","0.4411827","0.4407489","0.024266815","0.035599433","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:14:25","74660","3734","LOGOS","lenovo","0.943132","0.32989445","0.9144331","0.03327763","0.041017998","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:14:25","74660","3734","LOGOS","lenovo","0.94908535","0.27496475","0.9522861","0.03602264","0.04197871","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:14:25","74660","3734","LOGOS","lenovo","0.9089632","0.37946442","0.87794036","0.021784902","0.04011044","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:24:00","84160","4209","LOGOS","oracle","0.91113794","0.6199985","0.59379953","0.04437103","0.019460212","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:24:00","84160","4209","LOGOS","visa","0.8901541","0.31027943","0.5510121","0.027314806","0.030186504","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:35:25","95660","4784","LOGOS","max f1","0.76845306","0.071663275","0.049532503","0.06913124","0.03443181","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:35:25","95660","4784","LOGOS","oracle","0.9339937","0.29664385","0.49612758","0.12465956","0.042886987","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:35:25","95660","4784","LOGOS","honda","0.83742225","0.20238407","0.47464874","0.059280206","0.01774025","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:35:25","95660","4784","LOGOS","at&t","0.7905023","0.7121211","0.5289716","0.03301687","0.021233665","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:42:25","102800","5141","LOGOS","msc cruises","0.907229","0.3926507","0.1776853","0.10762534","0.06848478","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:42:25","102800","5141","LOGOS","lenovo","0.9506123","0.43522334","0.03137336","0.23981094","0.09192991","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:42:25","102800","5141","LOGOS","msc cruises","0.9155832","0.37075073","0.39326194","0.0800966","0.052368462","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:42:25","102800","5141","LOGOS","msc cruises","0.9314482","0.46979564","0.3903168","0.08032026","0.053726155","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:42:25","102800","5141","LOGOS","lenovo","0.915992","0.84008694","0.48773935","0.06875553","0.04472724","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:42:25","102800","5141","LOGOS","lenovo","0.9467045","0.7526475","0.49038556","0.066543244","0.04539867","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:42:25","102800","5141","LOGOS","lenovo","0.92468786","0.70382917","0.3891541","0.097059295","0.039503478","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:42:25","102800","5141","LOGOS","lenovo","0.93597037","0.75623244","0.021186136","0.24265404","0.092878334","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
"00:01:42:25","102800","5141","LOGOS","lenovo","0.92982525","0.93084633","0.48578516","0.06915369","0.044450548","F1 Hungarian Grand Prix","Budapest","Hungary","3-Aug-25"
