"metric_type","time_period","inventory_category","baseline_value","optimized_value","improvement_percentage","revenue_impact_eur","optimization_strategy","confidence_level"
"fill_rate","Q1_2024","premium_video","78.5","89.2","13.6","125000","Dynamic floor pricing","High"
"fill_rate","Q1_2024","display_premium","85.2","92.1","8.1","89000","Header bidding optimization","High"
"fill_rate","Q1_2024","native_content","91.3","95.7","4.8","67000","Format mix optimization","Medium"
"cpm_average","Q1_2024","premium_video","12.5","15.8","26.4","180000","Premium packaging","High"
"cpm_average","Q1_2024","display_premium","4.85","6.2","27.8","145000","Audience segmentation","High"
"cpm_average","Q1_2024","native_content","19.75","24.3","23","98000","Content alignment","Medium"
"revenue_per_visitor","Q1_2024","premium_video","0.089","0.125","40.4","220000","Yield optimization","High"
"revenue_per_visitor","Q1_2024","display_premium","0.034","0.048","41.2","165000","Inventory packaging","High"
"revenue_per_visitor","Q1_2024","native_content","0.156","0.198","26.9","112000","Format optimization","Medium"
"inventory_utilization","Q1_2024","premium_video","82.1","94.3","14.9","135000","Demand forecasting","High"
"inventory_utilization","Q1_2024","display_premium","89.7","96.2","7.2","78000","Supply optimization","Medium"
"inventory_utilization","Q1_2024","native_content","93.4","97.8","4.7","45000","Content scheduling","Medium"
"yield_per_impression","Q1_2024","premium_video","0.0125","0.0158","26.4","180000","Premium positioning","High"
"yield_per_impression","Q1_2024","display_premium","0.0049","0.0062","26.5","145000","Competitive pricing","High"
"yield_per_impression","Q1_2024","native_content","0.0198","0.0243","22.7","98000","Quality enhancement","Medium"
