"session_id","content_category","device_type","user_segment","session_start_time","total_session_minutes","videos_watched","ad_breaks_encountered","ad_skip_rate","engagement_drop_points","fatigue_score","optimal_session_length","user_return_probability","content_diversity_score"
"sess_001","IAB1-2","mobile","entertainment_seeker","2025-01-15T19:30:00Z","45.2","3","8","0.35","2","0.25","50","0.78","0.85"
"sess_002","IAB1-2","desktop","entertainment_seeker","2025-01-15T20:15:00Z","62.8","4","12","0.28","1","0.18","65","0.82","0.92"
"sess_003","IAB1-2","tablet","entertainment_seeker","2025-01-15T18:45:00Z","38.6","2","6","0.42","3","0.31","45","0.74","0.78"
"sess_004","IAB17-16","mobile","sports_enthusiast","2025-01-15T17:20:00Z","32.4","2","5","0.25","1","0.22","35","0.85","0.68"
"sess_005","IAB17-16","desktop","sports_enthusiast","2025-01-15T18:00:00Z","48.7","3","7","0.18","0","0.15","55","0.88","0.82"
"sess_006","IAB17-16","tablet","sports_enthusiast","2025-01-15T16:30:00Z","41.3","3","6","0.32","2","0.28","45","0.81","0.75"
"sess_007","IAB4-3","desktop","tech_enthusiast","2025-01-15T14:15:00Z","58.9","4","9","0.22","1","0.16","60","0.89","0.94"
"sess_008","IAB4-3","mobile","tech_enthusiast","2025-01-15T15:30:00Z","42.1","3","7","0.29","2","0.24","45","0.84","0.87"
"sess_009","IAB4-3","tablet","tech_enthusiast","2025-01-15T13:45:00Z","51.6","3","8","0.26","1","0.19","55","0.86","0.9"
"sess_010","IAB9-5","mobile","fashion_enthusiast","2025-01-15T19:00:00Z","35.8","3","7","0.38","2","0.29","40","0.76","0.83"
"sess_011","IAB9-5","desktop","fashion_enthusiast","2025-01-15T20:30:00Z","47.2","4","9","0.31","1","0.21","50","0.8","0.88"
"sess_012","IAB9-5","tablet","fashion_enthusiast","2025-01-15T18:15:00Z","39.4","3","6","0.35","2","0.26","42","0.77","0.85"
"sess_013","IAB6-8","tablet","home_enthusiast","2025-01-15T10:30:00Z","44.6","3","7","0.27","1","0.2","48","0.83","0.79"
"sess_014","IAB6-8","desktop","home_enthusiast","2025-01-15T11:45:00Z","52.3","4","8","0.24","0","0.17","55","0.86","0.82"
"sess_015","IAB6-8","mobile","home_enthusiast","2025-01-15T09:20:00Z","29.7","2","5","0.41","3","0.33","35","0.72","0.76"
"sess_016","IAB20-18","desktop","travel_enthusiast","2025-01-15T21:00:00Z","56.4","4","10","0.26","1","0.18","60","0.87","0.91"
"sess_017","IAB20-18","mobile","travel_enthusiast","2025-01-15T19:45:00Z","41.8","3","8","0.33","2","0.25","45","0.79","0.86"
"sess_018","IAB20-18","tablet","travel_enthusiast","2025-01-15T20:20:00Z","49.1","3","9","0.29","1","0.21","52","0.84","0.89"
"sess_019","IAB13-6","desktop","finance_enthusiast","2025-01-15T09:00:00Z","67.2","5","11","0.19","0","0.12","70","0.92","0.95"
"sess_020","IAB13-6","tablet","finance_enthusiast","2025-01-15T08:30:00Z","54.8","4","9","0.23","1","0.16","58","0.89","0.91"
"sess_021","IAB13-6","mobile","finance_enthusiast","2025-01-15T07:45:00Z","43.2","3","7","0.31","2","0.24","48","0.83","0.87"
"sess_022","IAB9-30","mobile","gaming_enthusiast","2025-01-15T22:30:00Z","28.4","2","4","0.45","3","0.38","30","0.68","0.72"
"sess_023","IAB9-30","desktop","gaming_enthusiast","2025-01-15T23:15:00Z","37.6","3","6","0.38","2","0.32","40","0.73","0.78"
"sess_024","IAB9-30","tablet","gaming_enthusiast","2025-01-15T21:45:00Z","33.1","2","5","0.42","2","0.35","35","0.7","0.75"
"sess_025","IAB7-1","mobile","health_enthusiast","2025-01-15T06:30:00Z","36.9","3","6","0.33","2","0.26","40","0.79","0.81"
"sess_026","IAB7-1","desktop","health_enthusiast","2025-01-15T07:15:00Z","48.5","4","8","0.26","1","0.19","52","0.84","0.86"
"sess_027","IAB7-1","tablet","health_enthusiast","2025-01-15T06:00:00Z","42.7","3","7","0.29","1","0.22","45","0.82","0.84"
"sess_028","IAB2-2","desktop","auto_intender","2025-01-15T18:30:00Z","59.3","4","10","0.21","0","0.14","62","0.9","0.88"
"sess_029","IAB2-2","mobile","auto_intender","2025-01-15T19:15:00Z","45.7","3","8","0.27","1","0.21","48","0.85","0.84"
"sess_030","IAB2-2","tablet","auto_intender","2025-01-15T17:45:00Z","52.1","3","9","0.24","1","0.17","55","0.87","0.86"
"sess_031","IAB18-3","mobile","beauty_enthusiast","2025-01-15T19:30:00Z","34.2","3","7","0.36","2","0.28","38","0.77","0.82"
"sess_032","IAB18-3","desktop","beauty_enthusiast","2025-01-15T20:00:00Z","46.8","4","9","0.3","1","0.22","50","0.81","0.87"
"sess_033","IAB18-3","tablet","beauty_enthusiast","2025-01-15T18:45:00Z","40.5","3","8","0.33","2","0.25","43","0.78","0.84"
"sess_034","IAB8-5","mobile","food_enthusiast","2025-01-15T19:00:00Z","31.6","2","6","0.39","2","0.3","35","0.74","0.79"
"sess_035","IAB8-5","desktop","food_enthusiast","2025-01-15T20:30:00Z","43.9","3","8","0.32","1","0.24","47","0.79","0.83"
"sess_036","IAB8-5","tablet","food_enthusiast","2025-01-15T19:45:00Z","37.2","3","7","0.35","2","0.27","40","0.76","0.81"
"sess_037","IAB16-5","tablet","pet_owner","2025-01-15T15:30:00Z","40.8","3","7","0.31","1","0.23","43","0.81","0.8"
"sess_038","IAB16-5","desktop","pet_owner","2025-01-15T16:15:00Z","49.3","4","8","0.27","1","0.19","52","0.84","0.83"
"sess_039","IAB16-5","mobile","pet_owner","2025-01-15T14:45:00Z","33.7","2","6","0.37","2","0.29","37","0.76","0.78"
"sess_040","IAB9-7","mobile","deal_seeker","2025-01-15T21:00:00Z","27.8","2","5","0.43","3","0.36","30","0.69","0.74"
"sess_041","IAB9-7","desktop","deal_seeker","2025-01-15T20:15:00Z","38.4","3","7","0.36","2","0.3","42","0.75","0.79"
"sess_042","IAB9-7","tablet","deal_seeker","2025-01-15T19:30:00Z","33.9","2","6","0.4","2","0.33","36","0.72","0.76"
"sess_043","IAB19-6","desktop","tech_early_adopter","2025-01-15T14:00:00Z","61.7","5","10","0.2","0","0.13","65","0.91","0.96"
"sess_044","IAB19-6","mobile","tech_early_adopter","2025-01-15T15:15:00Z","47.3","3","8","0.26","1","0.19","50","0.86","0.92"
"sess_045","IAB19-6","tablet","tech_early_adopter","2025-01-15T13:30:00Z","54.2","4","9","0.23","0","0.16","58","0.88","0.94"
"sess_046","IAB13-3","mobile","crypto_investor","2025-01-15T22:00:00Z","44.6","3","8","0.28","1","0.21","48","0.84","0.89"
"sess_047","IAB13-3","desktop","crypto_investor","2025-01-15T21:30:00Z","58.1","4","10","0.22","0","0.15","62","0.89","0.93"
"sess_048","IAB13-3","tablet","crypto_investor","2025-01-15T23:00:00Z","51.4","3","9","0.25","1","0.18","55","0.87","0.91"
"sess_049","IAB14-1","mobile","sustainability_conscious","2025-01-15T16:00:00Z","39.2","3","7","0.32","2","0.25","42","0.78","0.82"
"sess_050","IAB14-1","desktop","sustainability_conscious","2025-01-15T15:30:00Z","50.7","4","8","0.25","1","0.18","53","0.83","0.85"
