"segment_id","segment_name","household_size","primary_viewer_age","secondary_viewer_age","subscription_tier","monthly_viewing_hours","peak_viewing_times","content_preferences","device_preferences","ad_tolerance","brand_safety_requirements","spending_power","geographic_distribution","seasonal_viewing_patterns","content_discovery_method","social_sharing_behavior","multi_generational_viewing","educational_content_preference","international_content_openness","live_event_engagement","binge_watching_tendency","parental_control_usage","content_rating_preferences","advertising_receptivity_score","premium_content_willingness_to_pay"
"FAM001","Premium Family Streamers","4.2","35-45","8-16","Premium","89.5","7-9 PM Weekdays, 2-8 PM Weekends","Original Series (40%), Family Movies (25%), Educational (20%), Live Sports (15%)","Smart TV (70%), Tablet (20%), Mobile (10%)","Low","G, PG, PG-13 only","High","Suburban (60%), Urban (30%), Rural (10%)","Holiday spikes, Summer increase","Platform Recommendations (45%), Social Media (30%), Word of Mouth (25%)","High","Very High","High","Medium","High","Low","High","G, PG, PG-13","8.9","High"
"FAM002","Multi-Generational Households","5.8","42-55","12-18, 65+","Standard","124.3","6-10 PM Daily, All Day Weekends","Family Content (35%), News (20%), Sports (20%), Classics (15%), Kids (10%)","Smart TV (80%), Desktop (15%), Mobile (5%)","Medium","All ratings with parental controls","Medium-High","Suburban (50%), Urban (25%), Rural (25%)","Consistent year-round with holiday peaks","TV Guide (40%), Recommendations (35%), Family Suggestions (25%)","Medium","Very High","Medium","High","Very High","Medium","High","G to PG-13 primary","7.8","Medium"
"FAM003","Tech-Savvy Young Families","3.4","28-38","5-12","Premium","76.2","8-10 PM Weekdays, Flexible Weekends","Educational Kids (30%), Original Series (25%), Documentaries (20%), Interactive (15%), Movies (10%)","Mobile (40%), Smart TV (35%), Tablet (25%)","Low","G, PG with educational focus","High","Urban (70%), Suburban (25%), Tech Hubs (5%)","Consistent with educational calendar alignment","App Discovery (50%), Social Recommendations (30%), Reviews (20%)","Very High","High","Very High","High","Medium","High","Very High","G, PG, Educational","9.2","Very High"
"FAM004","Budget-Conscious Families","4.6","32-42","6-14","Basic","98.7","7-9 PM Weekdays, Afternoon Weekends","Family Movies (35%), Kids Shows (25%), Reality TV (20%), Educational (15%), Sports (5%)","Smart TV (50%), Mobile (30%), Tablet (20%)","High","G, PG preferred, some PG-13","Low-Medium","Suburban (45%), Urban (35%), Rural (20%)","Summer and holiday increases","Free Content (40%), Recommendations (35%), Kids' Requests (25%)","Low","High","High","Low","Medium","Medium","High","G, PG primary","6.5","Low"
"FAM005","Single Parent Households","2.8","35-45","8-16","Standard","67.4","8-10 PM Weekdays, Weekend Mornings","Educational (30%), Family Series (25%), Movies (20%), Kids Content (15%), News (10%)","Mobile (45%), Smart TV (35%), Tablet (20%)","Medium","Strict G, PG only","Medium","Urban (55%), Suburban (35%), Rural (10%)","School calendar aligned","Platform Suggestions (45%), Parent Reviews (30%), Educational Recommendations (25%)","Medium","Medium","Very High","Medium","Low","Very High","Very High","G, PG only","7.6","Medium"
"FAM006","Affluent Empty Nesters","2.1","50-65","Adult Children Visits","Premium","45.8","7-11 PM Daily, Flexible Schedule","Documentaries (30%), Drama Series (25%), News (20%), International (15%), Sports (10%)","Smart TV (60%), Desktop (25%), Tablet (15%)","Low","All ratings, prefer mature content","Very High","Suburban (50%), Urban (40%), Rural (10%)","Travel-adjusted, consistent baseline","Reviews (40%), Recommendations (35%), Genre Browsing (25%)","Low","Low","Low","Very High","High","Very Low","Low","All ratings","8.4","Very High"
"FAM007","Blended Family Dynamics","5.2","38-48","8-18 (multiple age groups)","Standard","112.6","6-10 PM Daily, Staggered Weekend Viewing","Mixed Content (25%), Family Movies (20%), Teen Shows (20%), Kids Content (15%), Adult Series (20%)","Smart TV (55%), Multiple Devices (30%), Mobile (15%)","Medium","Complex - multiple age-appropriate streams","Medium-High","Suburban (60%), Urban (30%), Rural (10%)","Complex - multiple seasonal patterns","Family Negotiation (40%), Individual Discovery (35%), Recommendations (25%)","Medium","Very High","Medium","Medium","Medium","High","Very High","G to PG-13 primarily","7.2","Medium"
"FAM008","International Families","4.1","30-45","6-16","Standard","95.3","7-9 PM Weekdays, Cultural Event Viewing","International Content (40%), Educational (25%), Family Series (20%), Cultural (10%), News (5%)","Smart TV (50%), Mobile (30%), Tablet (20%)","Medium","Cultural sensitivity, G-PG-13","Medium","Urban Diverse Areas (70%), Suburban (25%), International Communities (5%)","Cultural calendar driven","Cultural Recommendations (45%), Community Suggestions (30%), Platform Discovery (25%)","High","High","High","Very High","Medium","Medium","High","G, PG, Cultural Content","8.1","Medium"
"FAM009","Homeschooling Families","4.8","35-45","6-18","Premium","134.7","Flexible Daily, Educational Scheduling","Educational (50%), Documentaries (20%), Family Series (15%), Science (10%), History (5%)","Multiple Devices (40%), Smart TV (35%), Tablet (25%)","Low","Strict educational and moral standards","Medium-High","Rural (40%), Suburban (35%), Urban (25%)","Academic calendar aligned","Educational Reviews (50%), Homeschool Networks (30%), Platform Educational Sections (20%)","Medium","High","Very High","Very High","Low","Very High","Very High","G, PG, Educational Focus","8.7","High"
"FAM010","Weekend Warriors","3.7","40-50","10-18","Standard","56.9","Friday-Sunday Heavy, Minimal Weekday","Adventure (25%), Sports (25%), Family Movies (20%), Reality (15%), Documentaries (15%)","Smart TV (65%), Mobile (25%), Tablet (10%)","Medium","G to PG-13, some R for adults","High","Suburban (50%), Rural (30%), Urban (20%)","Seasonal outdoor activity inverse","Sports Schedules (35%), Family Planning (30%), Adventure Recommendations (35%)","Medium","High","Medium","Low","Very High","Low","Medium","G to PG-13","7.9","Medium"
