"influencer_id","influencer_name","platform_primary","follower_count","engagement_rate","audience_demographics","content_categories","brand_safety_score","family_friendly_rating","educational_content_score","streaming_content_affinity","magicstream_mentions","sentiment_toward_platform","collaboration_history","audience_overlap_with_segments","geographic_reach","language_primary","content_posting_frequency","brand_partnership_rate","exclusivity_availability","seasonal_activity_patterns","cultural_influence_score","authenticity_score","commercial_integration_success","family_co_viewing_influence","educational_impact_potential"
"INF001","@FamilyAdventuresMom","Instagram","2400000","0.087","Parents 25-45 (65%), Kids 8-16 (25%), Families (10%)","Family Travel, Adventure, Educational","9.8","9.9","8.7","9.2","47","Very Positive","3 successful campaigns","Premium Family Streamers (78%), Multi-Gen Households (65%)","North America (70%), International (30%)","English","4.2","$15000-25000","Medium","Summer peak, Holiday spikes","9.1","9.4","8.9","9.6","9.2"
"INF002","@EcoKidsEducator","TikTok","1800000","0.124","Parents 28-45 (55%), Kids 6-14 (30%), Educators (15%)","Environmental Education, Kids Learning, Sustainability","9.9","9.8","9.6","8.8","23","Positive","2 educational partnerships","Eco-Conscious Families (89%), Tech-Savvy Young Families (72%)","Global (40%), North America (35%), Europe (25%)","English","5.8","$8000-15000","High","Earth Day peak, Back-to-school","9.5","9.7","8.6","8.9","9.8"
"INF003","@TechDadReviews","YouTube","3200000","0.065","Tech Parents 30-50 (60%), Tech Enthusiasts (25%), Families (15%)","Technology Reviews, Family Tech, Educational Tech","9.2","8.9","9.1","8.7","31","Positive","1 tech documentary feature","Tech-Savvy Young Families (81%), Premium Family Streamers (58%)","Tech Hubs (50%), Urban Centers (35%), International (15%)","English","2.1","$20000-35000","Low","CES peak, Back-to-school tech","8.8","9.1","9.3","8.4","8.9"
"INF004","@CreativeKidsCorner","Instagram","1200000","0.156","Parents 25-40 (70%), Kids 5-12 (20%), Educators (10%)","Arts & Crafts, Creative Learning, Family Activities","9.7","9.9","9.4","9.0","19","Very Positive","4 creative content collaborations","Creative Arts Families (92%), Premium Family Streamers (67%)","Urban Creative Areas (45%), Suburban (40%), International (15%)","English","6.4","$5000-12000","High","Summer crafts, Holiday projects","8.9","9.6","8.7","9.2","9.1"
"INF005","@SportsFamily365","TikTok","2800000","0.098","Sports Families (55%), Parents 30-50 (30%), Young Athletes (15%)","Family Sports, Youth Athletics, Healthy Living","9.1","9.3","7.8","8.9","52","Positive","2 sports content partnerships","Sports-Focused Families (87%), Multi-Gen Households (54%)","Sports Regions (60%), Suburban (25%), International (15%)","English","4.7","$12000-22000","Medium","Sports seasons, Summer activities","8.7","8.9","9.1","8.8","7.9"
"INF006","@WellnessMomLife","Instagram","1900000","0.112","Health-Conscious Parents (65%), Wellness Enthusiasts (25%), Families (10%)","Wellness, Healthy Family Living, Mindfulness","9.4","9.6","8.9","8.6","28","Positive","3 wellness content features","Wellness-focused segments (78%), Eco-Conscious Families (69%)","Health-Conscious Areas (50%), Urban (30%), Suburban (20%)","English","3.8","$10000-18000","Medium","New Year wellness, Spring health","9.2","9.3","8.8","8.7","9.0"
"INF007","@CulturalFamilyStories","YouTube","950000","0.134","Multicultural Families (70%), Cultural Enthusiasts (20%), Educators (10%)","Cultural Education, Family Heritage, Diversity","9.8","9.7","9.5","9.1","15","Very Positive","2 cultural content collaborations","Cultural Heritage Families (94%), International Families (83%)","Diverse Urban Areas (60%), Cultural Communities (25%), International (15%)","Multilingual","3.2","$6000-14000","High","Cultural holidays, Heritage months","9.6","9.8","8.5","9.4","9.7"
"INF008","@OutdoorFamilyFun","Instagram","2100000","0.089","Outdoor Families (60%), Adventure Parents (25%), Nature Lovers (15%)","Outdoor Adventures, Family Camping, Nature Education","9.0","9.2","8.4","8.8","34","Positive","3 outdoor content partnerships","Weekend Warriors (76%), Adventure-focused segments (68%)","Outdoor Recreation Areas (45%), Suburban (35%), Rural (20%)","English","3.6","$11000-20000","Medium","Spring/Summer peak, Fall activities","8.8","9.0","8.9","8.6","8.5"
"INF009","@STEMEducatorMom","TikTok","1400000","0.145","STEM Parents (55%), Educators (30%), Students (15%)","STEM Education, Science Experiments, Learning Fun","9.6","9.4","9.8","8.9","21","Positive","2 educational science partnerships","Homeschooling Families (85%), Tech-Savvy Young Families (74%)","STEM Cities (50%), Educational Communities (30%), International (20%)","English","5.1","$7000-16000","High","Science Fair season, STEM weeks","9.3","9.5","8.7","8.8","9.9"
"INF010","@HistoryFamilyTime","YouTube","1100000","0.078","History-Interested Families (65%), Educators (25%), Students (10%)","History Education, Family Learning, Cultural Heritage","9.5","9.6","9.3","8.7","18","Positive","1 historical documentary feature","Multi-Gen Households (71%), Cultural Heritage Families (68%)","History-Rich Areas (40%), Educational Communities (35%), International (25%)","English","2.8","$8000-15000","Medium","History months, Educational calendar","9.1","9.2","8.6","8.9","9.4"
