"campaign_id","advertiser_name","campaign_name","date","impressions","clicks","conversions","spend","ctr","cvr","cpc","cpa","roas","audience_segment","device_type","inventory_type","content_category","geo_region","time_of_day","day_of_week","average_bid_price","win_rate"
"camp-12345","SportingGear Inc.","Summer Sale 2025","4/1/25","125000","3750","150","5000","0.03","0.04","1.33","33.33","3.5","sports_enthusiast","mobile","premium_publisher","IAB17-16","US-CA","afternoon","wednesday","3.25","0.22"
"camp-12345","SportingGear Inc.","Summer Sale 2025","4/2/25","130000","3900","156","5200","0.03","0.04","1.33","33.33","3.6","sports_enthusiast","mobile","premium_publisher","IAB17-16","US-CA","afternoon","thursday","3.3","0.23"
"camp-12345","SportingGear Inc.","Summer Sale 2025","4/3/25","115000","3450","138","4600","0.03","0.04","1.33","33.33","3.4","sports_enthusiast","mobile","premium_publisher","IAB17-16","US-CA","afternoon","friday","3.2","0.21"
"camp-12345","SportingGear Inc.","Summer Sale 2025","4/4/25","95000","2850","114","3800","0.03","0.04","1.33","33.33","3.2","sports_enthusiast","mobile","premium_publisher","IAB17-16","US-CA","morning","saturday","3.15","0.2"
"camp-12345","SportingGear Inc.","Summer Sale 2025","4/5/25","90000","2700","108","3600","0.03","0.04","1.33","33.33","3.1","sports_enthusiast","mobile","premium_publisher","IAB17-16","US-CA","morning","sunday","3.1","0.19"
"camp-12345","SportingGear Inc.","Summer Sale 2025","4/6/25","128000","3840","154","5120","0.03","0.04","1.33","33.33","3.5","sports_enthusiast","mobile","premium_publisher","IAB17-16","US-CA","afternoon","monday","3.28","0.22"
"camp-12345","SportingGear Inc.","Summer Sale 2025","4/7/25","132000","3960","158","5280","0.03","0.04","1.33","33.33","3.6","sports_enthusiast","mobile","premium_publisher","IAB17-16","US-CA","afternoon","tuesday","3.32","0.23"
"camp-67890","TechGadgets Pro","Innovation Launch","4/1/25","95000","2850","114","4275","0.03","0.04","1.5","37.5","2.8","tech_enthusiast","desktop","premium_publisher","IAB4-3","US-NY","evening","wednesday","3.5","0.25"
"camp-67890","TechGadgets Pro","Innovation Launch","4/2/25","98000","2940","118","4410","0.03","0.04","1.5","37.5","2.9","tech_enthusiast","desktop","premium_publisher","IAB4-3","US-NY","evening","thursday","3.55","0.26"
"camp-67890","TechGadgets Pro","Innovation Launch","4/3/25","92000","2760","110","4140","0.03","0.04","1.5","37.5","2.7","tech_enthusiast","desktop","premium_publisher","IAB4-3","US-NY","evening","friday","3.45","0.24"
"camp-67890","TechGadgets Pro","Innovation Launch","4/4/25","75000","2250","90","3375","0.03","0.04","1.5","37.5","2.5","tech_enthusiast","desktop","premium_publisher","IAB4-3","US-NY","afternoon","saturday","3.3","0.22"
"camp-67890","TechGadgets Pro","Innovation Launch","4/5/25","70000","2100","84","3150","0.03","0.04","1.5","37.5","2.4","tech_enthusiast","desktop","premium_publisher","IAB4-3","US-NY","afternoon","sunday","3.25","0.21"
"camp-67890","TechGadgets Pro","Innovation Launch","4/6/25","97000","2910","116","4365","0.03","0.04","1.5","37.5","2.8","tech_enthusiast","desktop","premium_publisher","IAB4-3","US-NY","evening","monday","3.52","0.25"
"camp-67890","TechGadgets Pro","Innovation Launch","4/7/25","99000","2970","119","4455","0.03","0.04","1.5","37.5","2.9","tech_enthusiast","desktop","premium_publisher","IAB4-3","US-NY","evening","tuesday","3.58","0.26"
"camp-24680","FashionForward","Spring Collection","4/1/25","150000","6000","300","9000","0.04","0.05","1.5","30","4","fashion_enthusiast","mobile","premium_publisher","IAB9-5","US-FL","evening","wednesday","4","0.3"
"camp-24680","FashionForward","Spring Collection","4/2/25","155000","6200","310","9300","0.04","0.05","1.5","30","4.1","fashion_enthusiast","mobile","premium_publisher","IAB9-5","US-FL","evening","thursday","4.05","0.31"
"camp-24680","FashionForward","Spring Collection","4/3/25","160000","6400","320","9600","0.04","0.05","1.5","30","4.2","fashion_enthusiast","mobile","premium_publisher","IAB9-5","US-FL","evening","friday","4.1","0.32"
"camp-24680","FashionForward","Spring Collection","4/4/25","180000","7200","360","10800","0.04","0.05","1.5","30","4.5","fashion_enthusiast","mobile","premium_publisher","IAB9-5","US-FL","afternoon","saturday","4.2","0.33"
