"season","month","inventory_category","demand_level","cpm_multiplier","fill_rate_percentage","yield_index","optimization_strategy","market_conditions"
"valentine","january","premium_video","High","1.4","92.5","140","Premium packaging seasonal content","High competition chocolate brands"
"valentine","february","premium_video","Very High","1.6","95.2","152","Exclusive inventory reservation","Peak seasonal demand"
"easter","march","premium_video","High","1.25","89.7","125","Family content alignment","Moderate competition"
"easter","april","premium_video","Medium","1.15","85.3","115","Gift messaging optimization","Declining seasonal interest"
"summer","june","premium_video","Low","0.85","78.2","85","Inventory bundling discounts","Low seasonal relevance"
"summer","july","premium_video","Low","0.82","76.8","82","Cross-format packaging","Vacation period low engagement"
"summer","august","premium_video","Medium","0.95","81.4","95","Back-to-school positioning","Gradual demand recovery"
"christmas","november","premium_video","Very High","1.8","97.1","171","Ultra-premium positioning","Highest competition period"
"christmas","december","premium_video","Extreme","2.2","98.5","217","Exclusive holiday packages","Peak demand all categories"
"regular","may","premium_video","Medium","1.0","83.5","100","Standard optimization","Baseline market conditions"
"regular","september","premium_video","Medium","1.05","84.2","105","Autumn content alignment","Moderate seasonal lift"
"regular","october","premium_video","Medium","1.1","86.1","110","Halloween positioning","Growing seasonal interest"
"valentine","january","display_premium","Medium","1.2","88.5","120","Romantic content targeting","Moderate seasonal lift"
"valentine","february","display_premium","High","1.35","91.8","135","Gift guide placements","Strong seasonal performance"
"easter","march","display_premium","Medium","1.15","86.2","115","Spring content alignment","Moderate seasonal interest"
"christmas","november","display_premium","High","1.5","94.3","150","Holiday shopping focus","High seasonal demand"
"christmas","december","display_premium","Very High","1.7","96.8","170","Gift messaging premium","Peak holiday performance"
