"optimization_strategy","publisher_tier","content_category","device_type","inventory_size","floor_price_usd","average_bid_usd","fill_rate","revenue_improvement_percent","latency_impact_ms","user_experience_score","implementation_complexity","a_b_test_confidence"
"dynamic_pricing","premium","IAB1-2","mobile","250000","3.50","5.25","0.92","0.18","15","8.2","medium","0.95"
"dynamic_pricing","premium","IAB1-2","desktop","180000","4.75","7.15","0.94","0.22","18","8.5","medium","0.97"
"dynamic_pricing","premium","IAB1-2","tablet","120000","4.00","6.20","0.93","0.20","16","8.3","medium","0.96"
"header_bidding","premium","IAB1-2","mobile","250000","3.50","5.85","0.95","0.32","45","7.8","high","0.98"
"header_bidding","premium","IAB1-2","desktop","180000","4.75","8.25","0.96","0.38","52","8.1","high","0.99"
"header_bidding","premium","IAB1-2","tablet","120000","4.00","7.05","0.95","0.35","48","7.9","high","0.98"
"unified_auction","premium","IAB1-2","mobile","250000","3.50","6.15","0.97","0.28","25","8.7","high","0.96"
"unified_auction","premium","IAB1-2","desktop","180000","4.75","8.65","0.98","0.34","28","8.9","high","0.98"
"unified_auction","premium","IAB1-2","tablet","120000","4.00","7.45","0.97","0.31","26","8.8","high","0.97"
"refresh_optimization","premium","IAB1-2","mobile","250000","3.50","5.05","0.89","0.12","8","7.5","low","0.92"
"refresh_optimization","premium","IAB1-2","desktop","180000","4.75","6.85","0.91","0.15","10","7.8","low","0.94"
"refresh_optimization","premium","IAB1-2","tablet","120000","4.00","5.95","0.90","0.13","9","7.6","low","0.93"
"demand_shaping","premium","IAB1-2","mobile","250000","3.50","5.45","0.93","0.24","20","8.4","medium","0.95"
"demand_shaping","premium","IAB1-2","desktop","180000","4.75","7.45","0.95","0.28","22","8.6","medium","0.97"
"demand_shaping","premium","IAB1-2","tablet","120000","4.00","6.35","0.94","0.26","21","8.5","medium","0.96"
"audience_targeting","premium","IAB1-2","mobile","250000","3.50","6.45","0.88","0.35","35","8.1","high","0.98"
"audience_targeting","premium","IAB1-2","desktop","180000","4.75","9.15","0.90","0.42","38","8.4","high","0.99"
"audience_targeting","premium","IAB1-2","tablet","120000","4.00","7.85","0.89","0.38","36","8.2","high","0.98"
"contextual_targeting","premium","IAB1-2","mobile","250000","3.50","5.75","0.91","0.29","12","8.6","medium","0.96"
"contextual_targeting","premium","IAB1-2","desktop","180000","4.75","7.75","0.93","0.33","14","8.8","medium","0.98"
"contextual_targeting","premium","IAB1-2","tablet","120000","4.00","6.65","0.92","0.31","13","8.7","medium","0.97"
