"content_id","content_title","content_type","release_date","platform_mentions","sentiment_score","positive_mentions","negative_mentions","neutral_mentions","trending_hashtags","audience_demographics","engagement_rate","share_rate","comment_sentiment","brand_safety_score","viral_potential","cultural_impact_score","seasonal_relevance","geographic_hotspots","influencer_mentions","user_generated_content_volume","cross_platform_reach","sentiment_trend_7d","sentiment_trend_30d","predicted_longevity_days"
"CONT001","Enchanted Kingdoms S3","Original Series","2025-01-15","245680","8.7","189420","28140","28120","#EnchantedKingdoms #MagicStream #FamilyTime","Families 25-45 (68%), Kids 8-16 (22%), Adults 18-34 (10%)","0.094","0.067","8.2","9.8","0.89","9.1","High","North America, Europe, Australia","1247","45680","8900000","+0.8","+1.2","180"
"CONT002","Winter Championship Live","Live Sports","2025-02-01","892340","9.2","756890","67230","68220","#WinterChampionship #LiveSports #MagicStream","Sports Fans 18-54 (78%), Families (15%), General (7%)","0.156","0.123","9.1","9.9","0.95","8.8","Very High","Global, Peak: North America, Europe","2890","128900","15600000","+1.4","+2.1","45"
"CONT003","Ocean Guardians Documentary","Documentary","2025-01-08","156780","8.9","134560","11120","11100","#OceanGuardians #ClimateAction #Documentary","Environmentally Conscious 25-55 (72%), Educators (18%), General (10%)","0.087","0.078","8.6","9.7","0.76","9.4","Medium","Coastal Regions, Urban Centers","890","23450","4200000","+0.6","+0.9","120"
"CONT004","Galactic Adventures Kids","Kids Series","2025-01-22","98450","9.1","87230","5610","5610","#GalacticAdventures #KidsShow #FamilyFun","Kids 6-12 (45%), Parents 28-42 (40%), Grandparents (15%)","0.112","0.089","8.8","9.9","0.82","8.2","High","Family-dense Suburbs, International","567","18900","3400000","+0.7","+1.1","90"
"CONT005","Tech Innovators Series","Documentary","2025-01-29","67890","8.4","54320","8120","5450","#TechInnovators #Innovation #Future","Tech Professionals 22-45 (65%), Students (20%), General (15%)","0.076","0.054","8.1","9.5","0.68","8.7","Medium","Tech Hubs: SF, Seattle, Austin, London","445","12300","2100000","+0.4","+0.6","75"
"CONT006","Royal Heritage Drama","Original Series","2025-02-05","178920","8.6","145670","16630","16620","#RoyalHeritage #PeriodDrama #MagicStream","Adults 35-65 (58%), History Enthusiasts (25%), International (17%)","0.083","0.061","8.3","9.6","0.74","8.9","Medium","UK, Commonwealth Countries, US","723","28900","5600000","+0.5","+0.8","150"
"CONT007","Cooking Masters Challenge","Reality Competition","2025-01-12","134560","8.8","112340","11110","11110","#CookingMasters #FoodNetwork #Competition","Food Enthusiasts 25-55 (62%), Families (28%), Professionals (10%)","0.091","0.072","8.5","9.8","0.79","8.4","High","Urban Areas, International Markets","612","21700","4800000","+0.6","+1.0","60"
"CONT008","Space Exploration Documentary","Documentary","2025-02-12","89670","9.0","76540","6560","6570","#SpaceExploration #Science #Discovery","Science Enthusiasts 18-50 (55%), Educators (25%), Students (20%)","0.088","0.069","8.7","9.7","0.77","9.2","Medium","STEM-focused Cities, Universities","398","15600","3200000","+0.7","+0.9","100"
"CONT009","Friendship Chronicles Kids","Kids Series","2025-01-19","76540","9.2","68890","3830","3820","#FriendshipChronicles #KidsContent #Values","Kids 8-14 (50%), Parents 30-45 (35%), Educators (15%)","0.108","0.085","9.0","9.9","0.81","8.6","High","Family Markets Globally","423","16800","2900000","+0.8","+1.2","85"
"CONT010","Urban Wildlife Series","Nature Documentary","2025-02-08","45670","8.7","38900","3380","3390","#UrbanWildlife #Nature #Conservation","Nature Lovers 25-60 (68%), Families (22%), Educators (10%)","0.079","0.058","8.4","9.8","0.71","8.8","Medium","Urban Centers with Parks, Zoos","289","11200","1800000","+0.5","+0.7","110"
"CONT011","Musical Theater Showcase","Performance Special","2025-01-26","112340","8.9","96780","7780","7780","#MusicalTheater #Broadway #Performance","Theater Enthusiasts 25-65 (55%), Families (30%), Students (15%)","0.095","0.076","8.6","9.6","0.78","8.7","Medium","Theater Markets: NYC, London, Toronto","534","19800","3700000","+0.6","+0.9","30"
"CONT012","Adventure Seekers Reality","Reality Adventure","2025-02-15","198760","8.5","164890","16930","16940","#AdventureSeekers #Reality #Extreme","Adventure Enthusiasts 18-45 (72%), Young Adults (20%), General (8%)","0.102","0.089","8.2","9.4","0.83","8.3","High","Adventure Tourism Regions","756","32100","6200000","+0.7","+1.1","45"
"CONT013","Historical Mysteries Series","Documentary Series","2025-01-31","87650","8.8","73420","7110","7120","#HistoricalMysteries #History #Mystery","History Buffs 30-65 (65%), Mystery Fans (25%), General (10%)","0.081","0.063","8.5","9.7","0.73","9.0","Medium","History-rich Regions, Museums","412","17300","3100000","+0.5","+0.8","130"
"CONT014","Future Cities Documentary","Science Documentary","2025-02-19","65430","8.6","54670","5380","5380","#FutureCities #Urban #Technology","Urban Planners 25-55 (45%), Tech Workers (30%), Students (25%)","0.077","0.055","8.3","9.6","0.69","8.9","Medium","Major Cities, Tech Centers","334","13400","2400000","+0.4","+0.6","95"
"CONT015","Family Game Night Show","Game Show","2025-01-16","123450","9.0","106780","8330","8340","#FamilyGameNight #GameShow #Family","Families with Kids (78%), Multi-generational (15%), General (7%)","0.098","0.081","8.8","9.9","0.84","8.5","High","Family-oriented Markets","589","24600","4500000","+0.8","+1.3","40"
