"trend_id","trend_name","trend_category","emergence_date","peak_date","decline_date","total_mentions","peak_daily_mentions","platforms_active","primary_demographics","sentiment_score","brand_alignment_score","advertising_opportunity_score","geographic_concentration","related_content_types","hashtag_variations","influencer_adoption_rate","user_generated_content_volume","commercial_potential","seasonal_pattern","cultural_significance","brand_safety_level","advertiser_categories","trend_longevity_days","cross_platform_virality"
"TREND001","#EcoFriendlyFamily","Environmental","2025-01-10","2025-01-18","2025-02-15","1245680","89450","TikTok, Instagram, Twitter","Parents 28-45 (65%), Gen Z (25%), Millennials (10%)","8.9","9.2","8.7","North America, Europe, Australia","Environmental Docs, Family Content","#SustainableParenting #GreenFamily #EcoKids","0.78","234560","High","Year-round with Earth Day spike","High","9.8","Sustainable Brands, Family Products, Education","36","0.89"
"TREND002","#StreamingTogether","Entertainment","2025-01-05","2025-01-12","2025-02-28","2890340","156780","All Platforms","Families (45%), Young Adults 18-34 (35%), Teens (20%)","9.1","9.5","9.3","Global, Peak in Family Markets","Original Series, Live Events, Family Shows","#FamilyTime #WatchParty #StreamingNight","0.85","456780","Very High","Weekend and Holiday peaks","High","9.9","Streaming Services, Family Brands, Food & Beverage","54","0.94"
"TREND003","#TechForGood","Technology","2025-01-15","2025-01-25","2025-03-10","567890","45670","LinkedIn, Twitter, Instagram","Tech Workers 22-45 (55%), Students (25%), Professionals (20%)","8.6","8.8","8.4","Tech Hubs: SF, Seattle, Austin, London","Tech Documentaries, Innovation Content","#Innovation #TechImpact #DigitalGood","0.72","123450","Medium","Consistent with conference spikes","Medium","9.6","Tech Companies, Educational Platforms, B2B","54","0.76"
"TREND004","#WinterSportsVibes","Sports","2025-01-20","2025-02-05","2025-03-01","1890450","234560","Instagram, TikTok, Twitter","Sports Fans 18-54 (70%), Families (20%), General (10%)","9.0","9.1","9.2","Winter Sports Regions, Mountain Areas","Live Sports, Adventure Content, Documentaries","#WinterChampionship #SnowSports #LiveAction","0.81","345670","Very High","Winter seasonal peak","Medium","9.7","Sports Brands, Outdoor Gear, Tourism","40","0.87"
"TREND005","#CreativeKids","Education","2025-01-08","2025-01-20","2025-02-25","789450","67890","Instagram, TikTok, YouTube","Parents 25-45 (60%), Educators (25%), Kids 8-16 (15%)","9.2","9.4","8.9","Urban Centers, Suburban Family Areas","Kids Content, Educational Shows, Creative Series","#KidsCreativity #LearningFun #ArtForKids","0.79","189450","High","Back-to-school and summer spikes","High","9.9","Educational Toys, Art Supplies, Kids Brands","48","0.83"
"TREND006","#HealthyLifestyle2025","Health & Wellness","2025-01-01","2025-01-15","2025-03-15","1456780","123450","Instagram, TikTok, Facebook","Health Enthusiasts 25-55 (65%), Fitness Fans (25%), General (10%)","8.8","8.9","8.6","Health-conscious Urban Areas","Wellness Content, Fitness Shows, Health Docs","#Wellness2025 #HealthyLiving #FitnessGoals","0.77","267890","High","New Year peak with sustained interest","Medium","9.5","Health Brands, Fitness Equipment, Wellness Services","74","0.81"
"TREND007","#RetroRevival","Entertainment","2025-01-12","2025-01-28","2025-03-05","678910","56780","TikTok, Instagram, Twitter","Gen Z 18-25 (45%), Millennials 26-40 (35%), Gen X (20%)","8.7","8.5","8.3","Urban Centers, Pop Culture Hubs","Nostalgic Content, Music Shows, Period Dramas","#ThrowbackVibes #RetroStyle #NostalgiaTrip","0.74","145670","Medium","Cyclical with pop culture events","Medium","9.4","Fashion Brands, Music Platforms, Lifestyle","52","0.78"
"TREND008","#FamilyTraditions","Lifestyle","2025-01-18","2025-02-02","2025-03-20","934560","78910","Facebook, Instagram, TikTok","Families (55%), Multi-generational (30%), Traditional (15%)","9.0","9.3","8.8","Traditional Family Markets, Rural/Suburban","Family Content, Holiday Specials, Cultural Shows","#FamilyValues #Traditions #GenerationalLove","0.76","198760","High","Holiday and cultural event spikes","High","9.8","Family Brands, Traditional Products, Cultural Organizations","61","0.82"
"TREND009","#AdventureAwaits","Travel & Adventure","2025-01-22","2025-02-08","2025-04-01","1123450","89670","Instagram, TikTok, YouTube","Adventure Seekers 18-45 (60%), Travel Enthusiasts (30%), General (10%)","8.9","8.7","9.0","Adventure Tourism Regions, Urban Centers","Adventure Reality, Travel Docs, Outdoor Content","#ExploreMore #AdventureTime #WildernessLife","0.80","234560","Very High","Spring/Summer travel planning peak","Medium","9.3","Travel Brands, Outdoor Gear, Adventure Tourism","70","0.86"
"TREND010","#MindfulParenting","Parenting","2025-01-14","2025-01-30","2025-03-12","567890","45670","Instagram, Facebook, TikTok","Parents 28-50 (70%), Expecting Parents (20%), Grandparents (10%)","9.1","9.2","8.7","Educated Urban/Suburban Areas","Parenting Content, Educational Shows, Family Docs","#ConsciousParenting #MindfulFamily #ParentingTips","0.75","123450","Medium","Consistent with parenting milestone spikes","High","9.7","Parenting Products, Educational Services, Child Development","57","0.79"
