product_id,publisher_name,property_name,property_url,product_name,product_description,channel,format_types,avg_cpm_usd,min_spend_usd,estimated_daily_impressions,estimated_daily_reach,audience_composition,brand_safety_tier,geo_available,content_categories,sustainability_score,created_at
prod_espn_ctv_001,ESPN,ESPN+,espn.com,Premium Sports CTV - Live Events,Live sporting events including NFL NBA MLB NHL on connected TV devices,ctv,"video_standard_30s,video_standard_15s,video_standard_60s",42.50,10000,2500000,850000,"male_25_54:0.68,sports_enthusiasts:0.92,hhi_100k_plus:0.45",tier_1,"US,CA,MX","sports,entertainment",87,2024-01-15
prod_espn_ctv_002,ESPN,ESPN+,espn.com,Premium Sports CTV - Shoulder Programming,Pre-game and post-game analysis shows on connected TV,ctv,"video_standard_30s,video_standard_15s",35.00,5000,1800000,620000,"male_25_54:0.62,sports_enthusiasts:0.88,hhi_100k_plus:0.41",tier_1,"US,CA","sports,entertainment",85,2024-01-15
prod_fox_ctv_001,Fox Sports,Fox Sports App,foxsports.com,Fox Sports CTV - Premium Live,Live NFL MLB NASCAR events on CTV,ctv,"video_standard_30s,video_standard_15s,video_standard_60s",45.00,15000,3200000,1100000,"male_25_54:0.71,sports_enthusiasts:0.89,hhi_75k_plus:0.52",tier_1,"US","sports,entertainment",82,2024-02-01
prod_nbc_ctv_001,NBCUniversal,Peacock,peacocktv.com,Peacock Sports CTV - Premier League,English Premier League and other soccer content,ctv,"video_standard_30s,video_standard_15s",38.00,8000,1500000,520000,"male_18_49:0.58,sports_enthusiasts:0.85,soccer_fans:0.94",tier_1,"US,CA,UK","sports,soccer",89,2024-01-20
prod_paramount_ctv_001,Paramount,Paramount+,paramountplus.com,Paramount+ Sports CTV - NFL AFC,NFL AFC games and UEFA Champions League,ctv,"video_standard_30s,video_standard_15s",40.00,10000,2000000,720000,"male_25_54:0.65,sports_enthusiasts:0.87,hhi_100k_plus:0.48",tier_1,"US","sports,entertainment",84,2024-02-10
prod_youtube_olv_001,Google,YouTube,youtube.com,YouTube Sports Content - Premium,Premium sports content creators and highlights,online_video,"video_standard_30s,video_standard_15s,video_standard_6s",22.00,5000,8500000,3200000,"male_18_49:0.55,sports_enthusiasts:0.72,gen_z:0.35",tier_1,"US,CA,MX,UK,DE,FR","sports,entertainment,lifestyle",78,2024-01-01
prod_youtube_olv_002,Google,YouTube,youtube.com,YouTube Sports Shorts,Short-form sports content and highlights,online_video,"video_standard_6s,video_vertical_15s",12.00,2000,15000000,5500000,"male_18_34:0.48,sports_enthusiasts:0.65,mobile_heavy:0.82",tier_2,"US,CA,MX,UK,DE,FR,JP,BR","sports,entertainment",75,2024-03-01
prod_hulu_ctv_001,Disney,Hulu,hulu.com,Hulu Live Sports CTV,Live sports through Hulu Live TV subscription,ctv,"video_standard_30s,video_standard_15s",36.00,7500,1200000,450000,"adults_25_54:0.61,sports_enthusiasts:0.78,cord_cutters:0.88",tier_1,"US","sports,entertainment",86,2024-01-25
prod_twitch_olv_001,Amazon,Twitch,twitch.tv,Twitch Sports & Esports,Live sports commentary and esports tournaments,online_video,"video_standard_30s,video_standard_15s,video_mid_roll",18.00,3000,4200000,1800000,"male_18_34:0.72,gamers:0.85,sports_enthusiasts:0.58",tier_2,"US,CA,UK,DE,FR,KR,JP","sports,gaming,esports",72,2024-02-15
prod_fubo_ctv_001,FuboTV,FuboTV,fubo.tv,FuboTV Premium Sports Bundle,Comprehensive live sports package across all major leagues,ctv,"video_standard_30s,video_standard_15s,video_standard_60s",48.00,12000,1800000,650000,"male_25_54:0.69,sports_enthusiasts:0.95,hhi_100k_plus:0.52",tier_1,"US","sports",91,2024-01-10
prod_dazn_ctv_001,DAZN,DAZN,dazn.com,DAZN Boxing & MMA Premium,Premium combat sports content,ctv,"video_standard_30s,video_standard_15s",32.00,5000,800000,320000,"male_25_44:0.74,combat_sports:0.92,sports_enthusiasts:0.81",tier_1,"US,CA,UK,DE,IT,ES","sports,boxing,mma",83,2024-02-20
prod_bleacher_olv_001,Warner Bros Discovery,Bleacher Report,bleacherreport.com,Bleacher Report Digital Video,Sports news and highlights across digital platforms,online_video,"video_standard_30s,video_standard_15s,video_outstream",15.00,2500,6500000,2800000,"male_18_44:0.63,sports_enthusiasts:0.82,mobile_first:0.75",tier_1,"US,CA,UK","sports,entertainment",79,2024-01-30
prod_athletic_olv_001,New York Times,The Athletic,theathletic.com,The Athletic Premium Video,In-depth sports journalism and analysis video content,online_video,"video_standard_30s,video_standard_15s",28.00,4000,950000,420000,"male_25_54:0.58,sports_enthusiasts:0.88,high_income:0.62",tier_1,"US,CA,UK","sports,news",88,2024-02-05
