provider_id,provider_name,measurement_type,study_types_supported,channels_supported,min_budget_usd,min_impressions,study_duration_days,avg_setup_time_hours,methodology,privacy_approach,geographic_coverage,pricing_model,base_cost_usd,cpm_adder,integration_partners,api_endpoint,mrc_accredited,created_at
meas_ncs_001,Nielsen Catalina Solutions,sales_lift,"cpg_sales_lift,retail_sales_lift,category_lift",ctv|online_video|display|audio,75000,5000000,28,48,purchase_panel_match,clean_room,"US",flat_plus_cpm,15000,0.35,"ttd,dv360,xandr,liveramp",https://api.ncsolutions.com/v2,true,2024-01-01
meas_ncs_002,Nielsen Catalina Solutions,attribution,"multi_touch_attribution,last_touch,incrementality",ctv|online_video|display,50000,3000000,14,24,deterministic_match,clean_room,"US",flat_plus_cpm,12000,0.25,"ttd,dv360,xandr",https://api.ncsolutions.com/v2/attribution,true,2024-01-15
meas_iri_001,IRI (Circana),sales_lift,"cpg_sales_lift,shopper_lift,basket_analysis",ctv|online_video|display|audio,80000,6000000,28,72,panel_projection,clean_room,"US",flat_plus_cpm,18000,0.40,"ttd,dv360,liveramp",https://api.iriworldwide.com/v1,true,2024-01-01
meas_iri_002,IRI (Circana),foot_traffic,"store_visit_lift,location_attribution",ctv|online_video|display,60000,4000000,21,48,mobile_location,privacy_safe_signals,"US",flat_plus_cpm,14000,0.30,"ttd,dv360,foursquare",https://api.iriworldwide.com/v1/location,false,2024-02-01
meas_luc_001,Lucid (Cint),brand_lift,"brand_awareness,ad_recall,favorability,purchase_intent",ctv|online_video|display|audio,25000,1000000,14,12,survey_based,respondent_panel,"US,CA,UK,DE,FR,AU",flat_fee,8000,0,"ttd,dv360,xandr",https://api.luc.id/v3,false,2024-01-01
meas_kan_001,Kantar,brand_lift,"brand_awareness,ad_recall,brand_favorability,nps_impact",ctv|online_video|display,35000,2000000,21,24,survey_plus_passive,panel_respondents,"US,UK,EU,AU",flat_fee,12000,0,"ttd,dv360",https://api.kantar.com/brandlift,false,2024-01-20
meas_dyn_001,Dynata,brand_lift,"brand_awareness,message_association,purchase_intent",ctv|online_video|display|audio,20000,800000,14,8,survey_intercept,first_party_panel,"US,CA,UK,DE,FR,AU,JP",flat_fee,6000,0,"ttd,dv360,xandr",https://api.dynata.com/v2,false,2024-01-10
meas_fsq_001,Foursquare,foot_traffic,"store_visit_attribution,foot_traffic_lift,competitor_conquest",ctv|online_video|display,40000,2500000,21,24,mobile_location_panel,differential_privacy,"US,CA,UK",flat_plus_cpm,10000,0.22,"ttd,dv360,xandr,liveramp",https://api.foursquare.com/attribution,false,2024-01-15
meas_pla_001,Placer.ai,foot_traffic,"foot_traffic_analytics,visit_attribution,trade_area",online_video|display,30000,2000000,14,12,mobile_location_sdk,aggregated_anonymous,"US",flat_fee,8500,0,"ttd,dv360",https://api.placer.ai/v1,false,2024-02-10
meas_cur_001,Cuebiq,foot_traffic,"store_visit_lift,offline_attribution,path_to_purchase",ctv|online_video|display,35000,2000000,21,18,mobile_sdk_panel,privacy_by_design,"US,UK,IT",flat_plus_cpm,9000,0.18,"ttd,dv360,xandr",https://api.cuebiq.com/v2,false,2024-01-25
meas_ttd_001,The Trade Desk,attribution,"koa_attribution,conversion_tracking,cross_device",ctv|online_video|display|audio,10000,500000,7,2,deterministic_graph,first_party,"US,CA,UK,EU,AU,JP",included,0,0,"ttd",https://api.thetradedesk.com/v3/measurement,false,2024-01-01
meas_dv360_001,Google DV360,attribution,"cm360_attribution,conversion_lift,brand_lift_google",ctv|online_video|display|audio,15000,1000000,14,4,google_signals,aggregated,"US,CA,UK,EU,AU,JP",included,0,0,"dv360",https://displayvideo.googleapis.com/v2,false,2024-01-01
meas_edl_001,EDO,creative_effectiveness,"search_lift,engagement_lift,creative_attribution",ctv|online_video,50000,3000000,14,24,search_correlation,aggregated_signals,"US",flat_fee,15000,0,"ttd,dv360",https://api.edo.com/v1,false,2024-02-15
meas_tvs_001,TVSquared (Innovid),attribution,"ctv_attribution,linear_attribution,cross_screen",ctv|linear,45000,3000000,21,36,acr_data,aggregated,"US,UK,DE",flat_plus_cpm,12000,0.28,"ttd,dv360,innovid",https://api.tvsquared.com/v2,false,2024-01-30
