"event_id","event_name","camera_angle","placement_type","brand_name","visibility_frequency","average_duration_seconds","prominence_score","audience_engagement_level","cost_effectiveness_score","optimal_timing_windows","technical_quality_score","recommendation"
"UCL_FINAL_2025","UEFA Champions League Final","Player Close-up","Jersey Logo","Premium Automotive Brand","95","8.2","92","Peak","9.1","Goal celebrations","98","Prioritize"
"UCL_FINAL_2025","UEFA Champions League Final","Wide Stadium Shot","Stadium Signage","Premium Automotive Brand","78","12.1","85","High","8.7","Corner kicks","94","Maintain"
"UCL_FINAL_2025","UEFA Champions League Final","Sideline Tracking","LED Boards","Premium Automotive Brand","34","4.3","62","Medium","5.2","Player substitutions","76","Renegotiate"
"F1_MONACO_2025","Formula 1 Monaco Grand Prix","Cockpit Camera","Helmet Logo","Premium Automotive Brand","89","6.7","94","Peak","9.4","Overtaking moments","97","Prioritize"
"F1_MONACO_2025","Formula 1 Monaco Grand Prix","Track Overview","Car Livery","Premium Automotive Brand","92","15.3","88","High","8.9","Race start","95","Maintain"
"F1_MONACO_2025","Formula 1 Monaco Grand Prix","Pit Lane","Team Uniforms","Premium Automotive Brand","67","8.9","79","Medium","7.3","Pit stops","89","Maintain"
"WIMBLEDON_2025","Wimbledon Championships","Court Level","Net Sponsor","Premium Automotive Brand","45","6.8","58","Low","4.8","Changeover periods","82","Terminate"
"WIMBLEDON_2025","Wimbledon Championships","Player Bench","Towel Branding","Luxury Fashion Brand","78","9.2","84","High","8.1","Break periods","91","Prioritize"
"WIMBLEDON_2025","Wimbledon Championships","Crowd Shots","Hospitality Signage","Luxury Fashion Brand","56","11.4","72","Medium","6.9","Match points","85","Maintain"
"PREMIER_LEAGUE_2025","Manchester United vs Arsenal","Action Replay","Jersey Close-up","Global Sports Apparel","94","5.8","91","Peak","9.2","Goal replays","96","Prioritize"
"PREMIER_LEAGUE_2025","Manchester United vs Arsenal","Celebration Shots","Kit Visibility","Global Sports Apparel","88","7.4","89","Peak","8.8","Victory moments","94","Prioritize"
"PREMIER_LEAGUE_2025","Manchester United vs Arsenal","Tactical Camera","Dugout Branding","Global Sports Apparel","42","8.1","65","Low","5.7","Manager reactions","79","Renegotiate"
"OLYMPICS_2024","Paris Olympics Opening","Athlete Parade","Uniform Branding","Technology Innovation","87","4.2","86","High","8.4","National entrances","93","Maintain"
"OLYMPICS_2024","Paris Olympics Opening","Ceremony Overview","Stadium Integration","Technology Innovation","73","18.7","82","High","7.9","Opening sequence","88","Maintain"
"SUPER_BOWL_2025","Super Bowl LIX","End Zone Camera","Field Logo","Premium Automotive Brand","91","12.3","94","Peak","9.3","Touchdown celebrations","97","Prioritize"
"SUPER_BOWL_2025","Super Bowl LIX","Sideline Shots","Coach Apparel","Premium Automotive Brand","65","8.9","76","Medium","7.1","Timeout discussions","84","Maintain"
"WORLD_CUP_2026","FIFA World Cup Final","Victory Ceremony","Trophy Presentation","Global Sports Apparel","96","15.8","96","Peak","9.6","Medal ceremony","99","Prioritize"
"WORLD_CUP_2026","FIFA World Cup Final","Player Interviews","Kit Close-up","Global Sports Apparel","89","6.3","92","High","9.1","Post-match interviews","95","Prioritize"
"TENNIS_OPEN_2025","French Open Final","Trophy Ceremony","Winner Presentation","Luxury Watch Brand","85","14.2","89","Peak","8.6","Championship moment","92","Prioritize"
"NBA_FINALS_2025","NBA Finals Game 7","Free Throw Line","Court Branding","Sports Drink Brand","76","5.1","81","High","7.8","Critical moments","87","Maintain"
