"channel","coefficient","saturation_point_spend","roi","adstock_rate","base_contribution","incremental_contribution","confidence_interval_lower","confidence_interval_upper","seasonality_factor","interaction_effect_tv","interaction_effect_digital","optimal_spend_range_min","optimal_spend_range_max","diminishing_returns_threshold","category","time_period"
"TV","2.34","850000","3.2","0.65","0.15","0.42","2.1","2.58","1.15","1.0","1.23","500000","850000","750000","CPG","2024-Q1"
"Digital Video","1.87","650000","4.1","0.45","0.08","0.38","1.62","2.12","1.08","1.23","1.0","400000","650000","580000","CPG","2024-Q1"
"Social Media","1.45","400000","3.8","0.35","0.05","0.28","1.21","1.69","0.95","1.15","1.18","250000","400000","350000","CPG","2024-Q1"
"Search","2.89","300000","5.2","0.25","0.12","0.45","2.45","3.33","1.02","1.08","1.35","180000","300000","280000","CPG","2024-Q1"
"Display","0.98","500000","2.1","0.55","0.03","0.18","0.76","1.2","0.88","1.05","1.12","200000","500000","450000","CPG","2024-Q1"
"Radio","1.23","200000","2.8","0.75","0.08","0.22","0.95","1.51","1.25","1.18","0.95","100000","200000","180000","CPG","2024-Q1"
"OOH","0.87","150000","2.3","0.85","0.04","0.15","0.65","1.09","1.35","1.12","0.88","80000","150000","130000","CPG","2024-Q1"
"TV","2.78","1200000","2.9","0.68","0.18","0.48","2.34","3.22","1.22","1.0","1.28","700000","1200000","1050000","Automotive","2024-Q1"
"Digital Video","2.12","900000","3.7","0.42","0.11","0.41","1.85","2.39","1.12","1.28","1.0","550000","900000","800000","Automotive","2024-Q1"
"Social Media","1.67","600000","3.4","0.38","0.07","0.32","1.38","1.96","0.98","1.22","1.15","350000","600000","520000","Automotive","2024-Q1"
"Search","3.45","450000","4.8","0.28","0.15","0.52","2.89","4.01","1.05","1.15","1.42","280000","450000","420000","Automotive","2024-Q1"
"Display","1.15","750000","2.4","0.52","0.04","0.21","0.89","1.41","0.92","1.08","1.18","300000","750000","650000","Automotive","2024-Q1"
"Radio","1.45","300000","2.6","0.72","0.09","0.26","1.12","1.78","1.18","1.25","0.92","150000","300000","270000","Automotive","2024-Q1"
"OOH","1.08","250000","2.2","0.82","0.05","0.18","0.82","1.34","1.28","1.18","0.85","120000","250000","220000","Automotive","2024-Q1"
"TV","1.89","600000","3.5","0.62","0.12","0.35","1.58","2.2","1.08","1.0","1.18","350000","600000","520000","Retail","2024-Q1"
"Digital Video","1.56","450000","4.3","0.48","0.06","0.32","1.28","1.84","1.05","1.18","1.0","280000","450000","400000","Retail","2024-Q1"
"Social Media","1.78","350000","4.1","0.32","0.08","0.35","1.48","2.08","0.92","1.12","1.22","200000","350000","310000","Retail","2024-Q1"
"Search","3.12","250000","5.8","0.22","0.18","0.58","2.65","3.59","1.08","1.05","1.48","150000","250000","230000","Retail","2024-Q1"
"Display","1.23","400000","2.8","0.58","0.04","0.24","0.95","1.51","0.85","1.02","1.15","180000","400000","350000","Retail","2024-Q1"
"Radio","0.98","180000","2.4","0.78","0.06","0.18","0.75","1.21","1.15","1.22","0.88","90000","180000","160000","Retail","2024-Q1"
"OOH","0.76","120000","2.1","0.88","0.03","0.12","0.58","0.94","1.32","1.15","0.82","60000","120000","100000","Retail","2024-Q1"
"TV","2.56","950000","3.1","0.66","0.16","0.44","2.18","2.94","1.18","1.0","1.25","550000","950000","850000","Financial","2024-Q1"
"Digital Video","1.98","700000","3.9","0.44","0.09","0.38","1.68","2.28","1.1","1.25","1.0","420000","700000","620000","Financial","2024-Q1"
"Social Media","1.34","500000","3.2","0.36","0.05","0.26","1.12","1.56","0.96","1.18","1.12","300000","500000","450000","Financial","2024-Q1"
"Search","2.67","350000","4.9","0.26","0.14","0.48","2.25","3.09","1.04","1.1","1.38","210000","350000","320000","Financial","2024-Q1"
"Display","1.05","600000","2.3","0.54","0.03","0.19","0.82","1.28","0.89","1.04","1.14","250000","600000","520000","Financial","2024-Q1"
"Radio","1.12","220000","2.5","0.74","0.07","0.21","0.88","1.36","1.2","1.2","0.9","110000","220000","200000","Financial","2024-Q1"
"OOH","0.89","180000","2.0","0.84","0.04","0.14","0.68","1.1","1.3","1.16","0.84","90000","180000","160000","Financial","2024-Q1"
