"content_id","content_title","content_type","genre","target_demographic","release_date","total_views","unique_viewers","completion_rate","average_watch_time_minutes","peak_concurrent_viewers","social_mentions","sentiment_score","brand_safety_incidents","advertiser_demand_score","cpm_premium_multiplier","geographic_performance_top3","device_breakdown_tv_mobile_tablet","age_group_breakdown","gender_breakdown_mf","subscription_tier_breakdown","binge_completion_rate","repeat_viewing_rate","social_sharing_rate","cultural_impact_score","educational_value_score","family_co_viewing_rate","international_appeal_score","seasonal_performance_variance","advertising_integration_success","brand_partnership_opportunities"
"CONT001","Enchanted Kingdoms S3E1","Original Series","Fantasy Family","Families with Children 6-16","2025-01-15","12500000","8900000","0.94","47.2","2100000","245680","8.7","0","9.2","1.4","North America (45%), Europe (30%), Australia (15%)","65% / 25% / 10%","6-12: 35%, 13-17: 25%, 25-45: 30%, 45+: 10%","48% / 52%","Premium: 60%, Standard: 35%, Basic: 5%","0.89","0.67","0.078","9.1","7.8","0.82","8.4","0.15","8.9","9.3"
"CONT002","Winter Championship Opening","Live Sports","Sports","Sports Fans 18-54","2025-02-01","28000000","18500000","0.97","142.8","8900000","892340","9.2","0","9.8","2.1","North America (40%), Europe (35%), Asia (15%)","78% / 18% / 4%","18-34: 35%, 35-54: 45%, 55+: 20%","62% / 38%","Premium: 45%, Standard: 40%, Basic: 15%","0.95","0.23","0.123","8.8","4.2","0.71","9.1","0.05","9.5","9.7"
"CONT003","Ocean Guardians","Documentary","Environmental","Environmentally Conscious Adults","2025-01-08","4200000","3800000","0.87","52.3","450000","156780","8.9","0","8.6","1.2","Coastal Regions (50%), Urban Centers (35%), International (15%)","55% / 30% / 15%","25-45: 45%, 45-65: 40%, 18-34: 15%","45% / 55%","Premium: 70%, Standard: 25%, Basic: 5%","0.76","0.45","0.089","9.4","9.6","0.34","8.7","0.12","8.2","8.9"
"CONT004","Galactic Adventures","Kids Series","Sci-Fi Kids","Children 6-12 and Families","2025-01-22","3400000","2100000","0.91","22.1","380000","98450","9.1","0","8.8","1.3","Family Markets Global (40%), North America (35%), Europe (25%)","45% / 35% / 20%","6-12: 55%, 25-45: 35%, 13-17: 10%","51% / 49%","Premium: 55%, Standard: 40%, Basic: 5%","0.82","0.78","0.112","8.2","8.9","0.89","8.6","0.08","8.7","8.4"
"CONT005","Tech Innovators","Documentary","Technology","Tech Professionals 22-45","2025-01-29","2100000","1800000","0.84","38.7","280000","67890","8.4","0","8.1","1.1","Tech Hubs (60%), Urban Centers (30%), International (10%)","40% / 45% / 15%","22-35: 50%, 35-50: 35%, 18-34: 15%","58% / 42%","Premium: 75%, Standard: 20%, Basic: 5%","0.68","0.34","0.054","8.7","9.2","0.23","7.8","0.18","7.9","8.3"
"CONT006","Royal Heritage","Original Series","Period Drama","Adults 35-65","2025-02-05","5600000","4200000","0.88","51.4","620000","178920","8.6","0","8.9","1.3","UK/Commonwealth (45%), North America (35%), Europe (20%)","70% / 20% / 10%","35-55: 45%, 55+: 35%, 25-45: 20%","42% / 58%","Premium: 65%, Standard: 30%, Basic: 5%","0.74","0.52","0.061","8.9","7.1","0.41","9.2","0.14","8.5","8.7"
"CONT007","Cooking Masters Challenge","Reality Competition","Food Competition","Food Enthusiasts 25-55","2025-01-12","4800000","3600000","0.86","43.2","580000","134560","8.8","0","8.7","1.2","Urban Areas (50%), Suburban (35%), International (15%)","60% / 30% / 10%","25-45: 50%, 45-65: 35%, 18-34: 15%","45% / 55%","Premium: 50%, Standard: 45%, Basic: 5%","0.79","0.41","0.072","8.4","6.8","0.56","8.1","0.22","8.6","8.5"
"CONT008","Space Exploration","Documentary","Science","Science Enthusiasts 18-50","2025-02-12","3200000","2700000","0.89","46.8","390000","89670","9.0","0","8.4","1.2","STEM Cities (45%), Universities (30%), International (25%)","50% / 35% / 15%","18-35: 40%, 35-50: 35%, 13-25: 25%","62% / 38%","Premium: 70%, Standard: 25%, Basic: 5%","0.77","0.38","0.069","9.2","9.7","0.28","8.9","0.11","8.1","8.6"
"CONT009","Friendship Chronicles","Kids Series","Social Learning","Children 8-14 and Parents","2025-01-19","2900000","1900000","0.93","24.6","340000","76540","9.2","0","9.0","1.4","Family Markets (50%), Educational Communities (30%), International (20%)","50% / 30% / 20%","8-14: 50%, 25-45: 40%, 15-24: 10%","49% / 51%","Premium: 60%, Standard: 35%, Basic: 5%","0.81","0.72","0.108","8.6","9.4","0.85","8.3","0.09","8.8","8.9"
"CONT010","Urban Wildlife","Nature Documentary","Wildlife","Nature Lovers 25-60","2025-02-08","1800000","1500000","0.85","41.2","220000","45670","8.7","0","8.2","1.1","Urban Centers (60%), Suburban (25%), Rural (15%)","55% / 30% / 15%","25-50: 55%, 50+: 30%, 18-34: 15%","47% / 53%","Premium: 65%, Standard: 30%, Basic: 5%","0.71","0.43","0.058","8.8","8.9","0.39","7.9","0.16","7.8","8.1"
