"template_name","campaign_type","phase","week_number","activity_type","deliverable","owner_role","dependencies","duration_days","effort_hours","risk_level","success_criteria","budget_required","resource_requirements","quality_gates","approval_required","category","complexity_score"
"Brand Awareness Launch","Awareness","Planning","1","Strategy Development","Media Strategy Document","Media Planner","Campaign Brief","5","40","Low","Strategy Approved","0","Senior Planner","Strategy Review","Yes","CPG","3"
"Brand Awareness Launch","Awareness","Planning","1","Audience Research","Audience Segmentation","Audience Strategist","Market Research","3","24","Low","Segments Defined","5000","Research Tools","Segment Validation","No","CPG","2"
"Brand Awareness Launch","Awareness","Planning","2","Channel Planning","Channel Mix Recommendation","Channel Strategist","Media Strategy","4","32","Medium","Mix Optimized","0","MMM Tools","Performance Modeling","Yes","CPG","4"
"Brand Awareness Launch","Awareness","Planning","2","Budget Allocation","Budget Distribution Plan","Campaign Manager","Channel Mix","2","16","Low","Budget Allocated","0","Planning Tools","Budget Review","Yes","CPG","2"
"Brand Awareness Launch","Awareness","Setup","3","Campaign Architecture","Campaign Structure","Campaign Architect","Budget Plan","3","24","Medium","Structure Built","0","Platform Access","Structure Review","No","CPG","3"
"Brand Awareness Launch","Awareness","Setup","3","Creative Development","Creative Assets","Creative Team","Brand Guidelines","7","80","High","Assets Approved","50000","Creative Resources","Creative Review","Yes","CPG","5"
"Brand Awareness Launch","Awareness","Setup","4","Platform Setup","Campaign Configuration","Media Buyer","Campaign Structure","5","40","Medium","Campaigns Live","0","Platform Training","QA Testing","No","CPG","4"
"Brand Awareness Launch","Awareness","Setup","4","Tracking Implementation","Measurement Setup","Analytics Specialist","Platform Setup","3","24","High","Tracking Verified","2000","Analytics Tools","Tracking Test","Yes","CPG","4"
"Brand Awareness Launch","Awareness","Launch","5","Soft Launch","Limited Campaign Launch","Campaign Manager","All Setup Complete","2","16","Medium","Launch Successful","100000","Monitoring Tools","Performance Check","No","CPG","3"
"Brand Awareness Launch","Awareness","Launch","6","Full Launch","Complete Campaign Launch","Campaign Manager","Soft Launch Success","1","8","Low","Full Launch Live","400000","Full Team","Launch Review","Yes","CPG","2"
"Brand Awareness Launch","Awareness","Optimization","7","Performance Analysis","Weekly Performance Report","Analyst","Campaign Data","2","16","Low","Insights Generated","0","Analytics Platform","Data Quality","No","CPG","2"
"Brand Awareness Launch","Awareness","Optimization","8","Campaign Optimization","Optimization Recommendations","Optimizer","Performance Analysis","3","24","Medium","Optimizations Applied","0","Optimization Tools","Performance Lift","No","CPG","3"
"Performance Conversion","Conversion","Planning","1","Conversion Strategy","Conversion Funnel Strategy","Performance Planner","Business Objectives","4","32","Medium","Strategy Defined","0","Funnel Analysis","Strategy Approval","Yes","Retail","4"
"Performance Conversion","Conversion","Planning","1","Audience Targeting","High-Intent Segments","Targeting Specialist","Customer Data","3","24","Low","Segments Identified","3000","Data Platform","Segment Quality","No","Retail","3"
"Performance Conversion","Conversion","Planning","2","Channel Selection","Performance Channel Mix","Performance Strategist","Conversion Strategy","3","24","Low","Channels Selected","0","Performance Data","Channel Validation","Yes","Retail","2"
"Performance Conversion","Conversion","Planning","2","Budget Optimization","Performance Budget Plan","Budget Optimizer","Channel Selection","2","16","Low","Budget Optimized","0","Optimization Tools","Budget Efficiency","No","Retail","3"
"Performance Conversion","Conversion","Setup","3","Campaign Structure","Performance Campaign Setup","Campaign Builder","Budget Plan","4","32","Medium","Structure Complete","0","Platform Access","Structure Test","No","Retail","3"
"Performance Conversion","Conversion","Setup","3","Landing Page Optimization","Conversion Landing Pages","UX Designer","Campaign Structure","5","40","High","Pages Optimized","15000","Design Tools","Conversion Test","Yes","Retail","4"
"Performance Conversion","Conversion","Setup","4","Tracking Setup","Conversion Tracking","Tracking Specialist","Landing Pages","3","24","High","Tracking Active","1500","Tracking Tools","Attribution Test","Yes","Retail","4"
"Performance Conversion","Conversion","Setup","4","Creative Production","Performance Creative","Creative Producer","Brand Assets","4","32","Medium","Creative Ready","25000","Creative Tools","Creative Test","No","Retail","3"
"Performance Conversion","Conversion","Launch","5","Testing Launch","A/B Test Launch","Test Manager","All Setup Complete","3","24","Medium","Tests Running","50000","Testing Platform","Test Validity","No","Retail","3"
"Performance Conversion","Conversion","Launch","6","Scale Launch","Full Scale Launch","Campaign Manager","Test Results","2","16","Low","Campaign Scaled","200000","Full Platform","Scale Success","Yes","Retail","2"
"Performance Conversion","Conversion","Optimization","7","Performance Monitoring","Daily Performance Review","Performance Analyst","Campaign Data","1","8","Low","Monitoring Active","0","Dashboard Access","Data Accuracy","No","Retail","1"
"Performance Conversion","Conversion","Optimization","8","Bid Optimization","Automated Bid Management","Bid Manager","Performance Data","2","16","Medium","Bids Optimized","0","Bid Tools","Performance Lift","No","Retail","3"
"B2B Lead Generation","Lead Generation","Planning","1","Lead Strategy","Lead Generation Strategy","B2B Strategist","Sales Objectives","5","40","Medium","Strategy Approved","0","CRM Integration","Strategy Review","Yes","B2B","4"
"B2B Lead Generation","Lead Generation","Planning","1","Account Targeting","Target Account List","ABM Specialist","Sales Data","4","32","High","Accounts Identified","5000","ABM Platform","Account Quality","Yes","B2B","4"
"B2B Lead Generation","Lead Generation","Planning","2","Content Strategy","Content Marketing Plan","Content Strategist","Lead Strategy","4","32","Medium","Content Plan Ready","0","Content Tools","Content Review","No","B2B","3"
"B2B Lead Generation","Lead Generation","Planning","2","Channel Strategy","B2B Channel Mix","B2B Planner","Account Targeting","3","24","Low","Channels Defined","0","Channel Data","Channel Validation","Yes","B2B","2"
"B2B Lead Generation","Lead Generation","Setup","3","Campaign Development","B2B Campaign Setup","B2B Campaign Manager","Channel Strategy","5","40","Medium","Campaigns Built","0","Platform Access","Campaign Review","No","B2B","3"
"B2B Lead Generation","Lead Generation","Setup","3","Content Creation","Lead Magnets & Content","Content Creator","Content Strategy","7","56","High","Content Complete","30000","Content Resources","Content Approval","Yes","B2B","5"
"B2B Lead Generation","Lead Generation","Setup","4","Lead Scoring","Lead Scoring Model","Marketing Ops","CRM Setup","3","24","High","Scoring Active","2000","Marketing Automation","Scoring Test","Yes","B2B","4"
"B2B Lead Generation","Lead Generation","Setup","4","Sales Alignment","Sales Process Integration","Sales Ops","Lead Scoring","2","16","Medium","Process Aligned","0","Sales Tools","Process Test","No","B2B","3"
"B2B Lead Generation","Lead Generation","Launch","5","Pilot Launch","Limited Account Launch","Campaign Manager","All Setup Complete","3","24","Medium","Pilot Running","25000","Monitoring Tools","Lead Quality","No","B2B","3"
"B2B Lead Generation","Lead Generation","Launch","6","Full Launch","Complete Launch","Campaign Manager","Pilot Success","2","16","Low","Full Launch Live","100000","Full Team","Launch Success","Yes","B2B","2"
"B2B Lead Generation","Lead Generation","Optimization","7","Lead Analysis","Lead Quality Analysis","Lead Analyst","Lead Data","2","16","Low","Analysis Complete","0","Analytics Tools","Data Quality","No","B2B","2"
"B2B Lead Generation","Lead Generation","Optimization","8","Campaign Optimization","Lead Gen Optimization","Optimizer","Lead Analysis","3","24","Medium","Optimization Applied","0","Optimization Platform","Lead Improvement","No","B2B","3"
