"event_id","event_name","event_date","brand_name","sponsor_type","contracted_visibility_minutes","actual_visibility_minutes","total_detections","average_detection_duration_seconds","prominence_score","cost_per_impression_euros","roi_score","camera_angle_effectiveness","peak_visibility_moments","competitor_share_percent","audience_engagement_correlation","brand_safety_score","renewal_recommendation"
"UCL_FINAL_2025","UEFA Champions League Final","2025-05-31","Premium Automotive Brand","Title Sponsor","45.0","42.3","351","7.2","87","0.78","87","High","Goal celebrations","34","0.89","98.2","Renegotiate"
"UCL_FINAL_2025","UEFA Champions League Final","2025-05-31","Global Sports Apparel","Kit Sponsor","35.0","38.7","428","5.4","82","0.52","94","Very High","Player close-ups","29","0.91","97.8","Renew"
"UCL_FINAL_2025","UEFA Champions League Final","2025-05-31","International Banking","Stadium Signage","25.0","22.1","156","8.9","75","0.95","73","Medium","Wide stadium shots","18","0.76","99.1","Renegotiate"
"F1_MONACO_2025","Formula 1 Monaco Grand Prix","2025-05-25","Premium Automotive Brand","Title Sponsor","65.0","71.2","892","4.8","91","0.65","94","Very High","Podium ceremony","42","0.94","97.5","Renew"
"F1_MONACO_2025","Formula 1 Monaco Grand Prix","2025-05-25","Luxury Watch Brand","Timing Partner","30.0","28.9","234","7.4","89","1.12","86","High","Driver interviews","15","0.82","98.9","Renew"
"WIMBLEDON_2025","Wimbledon Championships","2025-07-06","Premium Automotive Brand","Court Sponsor","25.0","18.7","127","8.8","68","1.34","62","Low","Changeover periods","22","0.71","96.4","Terminate"
"WIMBLEDON_2025","Wimbledon Championships","2025-07-06","Luxury Fashion Brand","Official Outfitter","20.0","24.3","189","7.7","84","0.89","91","High","Victory celebrations","31","0.88","98.7","Renew"
"PREMIER_LEAGUE_2025","Manchester United vs Arsenal","2025-03-15","Global Sports Apparel","Kit Sponsor","40.0","43.2","567","4.6","85","0.43","96","Very High","Goal scoring","38","0.93","97.2","Renew"
"PREMIER_LEAGUE_2025","Manchester United vs Arsenal","2025-03-15","Cryptocurrency Exchange","Shirt Sponsor","35.0","31.8","445","4.3","79","0.67","81","High","Celebration moments","25","0.85","95.8","Renegotiate"
"OLYMPICS_2024","Paris Olympics Opening","2024-07-26","Technology Innovation","Official Partner","50.0","47.8","678","4.2","88","0.72","89","High","Athlete parade","33","0.87","99.3","Renew"
"SUPER_BOWL_2025","Super Bowl LIX","2025-02-09","Premium Automotive Brand","Commercial Sponsor","8.0","9.2","45","12.3","92","2.15","85","Very High","Touchdown celebrations","28","0.96","98.8","Renew"
"WORLD_CUP_2026","FIFA World Cup Final","2026-07-19","Global Sports Apparel","Official Kit","60.0","58.9","1247","2.8","94","0.38","97","Very High","Victory ceremony","45","0.98","99.1","Renew"
"TENNIS_OPEN_2025","French Open Final","2025-06-08","Luxury Watch Brand","Timekeeping Partner","22.0","19.4","167","7.0","81","1.08","76","Medium","Trophy presentation","19","0.79","97.6","Renegotiate"
"NBA_FINALS_2025","NBA Finals Game 7","2025-06-15","Sports Drink Brand","Court Sponsor","30.0","32.7","389","5.1","86","0.58","92","High","Timeout breaks","35","0.89","96.9","Renew"
"GOLF_MASTERS_2025","The Masters Tournament","2025-04-13","Luxury Car Brand","Tournament Sponsor","35.0","29.8","234","7.6","77","0.98","74","Medium","Winner interview","24","0.73","98.4","Renegotiate"
