"content_id","content_category","content_duration_minutes","viewer_age_group","device_type","engagement_score","watch_time_percentage","interaction_rate","scroll_depth","ad_tolerance_level","session_frequency","return_viewer_rate","social_sharing_rate","time_of_day","day_of_week","geographic_region"
"video_001","IAB1-2","25.5","18-24","mobile","8.2","0.78","0.12","0.85","0.75","2.3","0.65","0.08","evening","friday","US-CA"
"video_002","IAB1-2","32.1","25-34","desktop","8.9","0.85","0.15","0.9","0.82","3.1","0.72","0.12","evening","saturday","US-NY"
"video_003","IAB1-2","18.7","35-44","tablet","7.6","0.72","0.09","0.78","0.68","1.8","0.58","0.05","afternoon","sunday","US-TX"
"video_004","IAB17-16","15.3","18-24","mobile","7.8","0.75","0.14","0.82","0.72","2.5","0.62","0.09","afternoon","wednesday","US-FL"
"video_005","IAB17-16","28.9","25-34","desktop","8.5","0.82","0.16","0.88","0.79","3.4","0.69","0.13","evening","thursday","US-WA"
"video_006","IAB17-16","22.4","35-44","tablet","7.3","0.69","0.11","0.75","0.65","2.1","0.55","0.06","morning","saturday","US-OR"
"video_007","IAB4-3","35.2","25-34","desktop","9.1","0.88","0.18","0.92","0.85","4.2","0.78","0.15","evening","tuesday","US-CA"
"video_008","IAB4-3","26.8","18-24","mobile","8.7","0.84","0.16","0.89","0.81","3.8","0.74","0.14","night","friday","US-NY"
"video_009","IAB4-3","30.1","35-44","tablet","8.3","0.8","0.13","0.86","0.77","3.2","0.7","0.11","afternoon","monday","US-TX"
"video_010","IAB9-5","19.6","18-24","mobile","8","0.76","0.15","0.83","0.73","2.7","0.63","0.1","evening","saturday","US-FL"
"video_011","IAB9-5","24.3","25-34","desktop","8.6","0.83","0.17","0.87","0.8","3.5","0.71","0.13","afternoon","sunday","US-WA"
"video_012","IAB9-5","21.9","35-44","tablet","7.7","0.73","0.12","0.79","0.69","2.4","0.59","0.07","morning","wednesday","US-OR"
"video_013","IAB6-8","27.4","25-34","desktop","8.2","0.79","0.14","0.85","0.76","3.1","0.67","0.09","afternoon","thursday","US-CA"
"video_014","IAB6-8","20.8","35-44","tablet","7.5","0.71","0.1","0.77","0.66","2","0.56","0.05","morning","saturday","US-NY"
"video_015","IAB6-8","23.1","45-54","mobile","7.9","0.74","0.11","0.81","0.7","2.6","0.61","0.06","afternoon","tuesday","US-TX"
"video_016","IAB20-18","16.9","18-24","mobile","8.4","0.81","0.17","0.86","0.78","3","0.66","0.12","evening","friday","US-FL"
"video_017","IAB20-18","29.7","25-34","desktop","8.8","0.86","0.19","0.9","0.83","3.9","0.75","0.16","evening","saturday","US-WA"
"video_018","IAB20-18","25.2","35-44","tablet","8.1","0.77","0.14","0.84","0.74","2.8","0.64","0.1","afternoon","sunday","US-OR"
"video_019","IAB13-6","38.5","35-44","desktop","9.3","0.91","0.2","0.94","0.88","4.7","0.82","0.18","morning","monday","US-CA"
"video_020","IAB13-6","31.6","45-54","tablet","8.9","0.87","0.17","0.91","0.84","4.1","0.77","0.15","morning","tuesday","US-NY"
"video_021","IAB13-6","28.3","25-34","mobile","8.6","0.83","0.15","0.88","0.79","3.6","0.72","0.13","afternoon","wednesday","US-TX"
"video_022","IAB9-30","12.4","18-24","mobile","7.2","0.68","0.13","0.74","0.61","2.1","0.52","0.07","night","friday","US-FL"
"video_023","IAB9-30","18.7","18-24","desktop","7.8","0.75","0.15","0.81","0.68","2.8","0.58","0.09","night","saturday","US-WA"
"video_024","IAB9-30","15.3","25-34","tablet","7.5","0.71","0.12","0.78","0.64","2.4","0.55","0.06","evening","sunday","US-OR"
"video_025","IAB7-1","22.8","25-34","mobile","8.3","0.8","0.16","0.85","0.75","3.2","0.68","0.11","morning","monday","US-CA"
"video_026","IAB7-1","31.2","35-44","desktop","8.7","0.84","0.18","0.89","0.82","3.8","0.73","0.14","morning","tuesday","US-NY"
"video_027","IAB7-1","26.9","45-54","tablet","8.1","0.78","0.14","0.83","0.73","2.9","0.65","0.09","afternoon","wednesday","US-TX"
"video_028","IAB2-2","34.6","35-44","desktop","8.8","0.85","0.19","0.91","0.84","4","0.76","0.16","evening","thursday","US-FL"
"video_029","IAB2-2","27.1","25-34","mobile","8.4","0.81","0.16","0.87","0.78","3.4","0.7","0.12","evening","friday","US-WA"
"video_030","IAB2-2","30.5","45-54","tablet","8.6","0.83","0.17","0.89","0.8","3.7","0.74","0.14","afternoon","saturday","US-OR"
"video_031","IAB18-3","21.3","18-24","mobile","8.5","0.82","0.18","0.87","0.79","3.3","0.69","0.13","evening","sunday","US-CA"
"video_032","IAB18-3","26.7","25-34","desktop","8.9","0.86","0.2","0.91","0.85","4.1","0.77","0.17","afternoon","monday","US-NY"
"video_033","IAB18-3","23.8","35-44","tablet","8.2","0.79","0.15","0.84","0.76","3","0.66","0.11","evening","tuesday","US-TX"
"video_034","IAB8-5","14.9","18-24","mobile","7.6","0.73","0.14","0.79","0.67","2.5","0.57","0.08","evening","wednesday","US-FL"
"video_035","IAB8-5","20.4","25-34","desktop","8.1","0.78","0.16","0.83","0.73","3.1","0.63","0.1","evening","thursday","US-WA"
"video_036","IAB8-5","17.6","35-44","tablet","7.8","0.74","0.13","0.81","0.69","2.7","0.6","0.07","night","friday","US-OR"
"video_037","IAB16-5","24.1","25-34","mobile","8","0.77","0.15","0.82","0.72","2.9","0.64","0.09","afternoon","saturday","US-CA"
"video_038","IAB16-5","29.8","35-44","desktop","8.4","0.81","0.17","0.86","0.78","3.5","0.69","0.12","afternoon","sunday","US-NY"
"video_039","IAB16-5","26.2","45-54","tablet","8.1","0.78","0.14","0.84","0.74","3.1","0.66","0.1","morning","monday","US-TX"
"video_040","IAB9-7","16.7","18-24","mobile","7.7","0.74","0.14","0.8","0.68","2.6","0.58","0.08","evening","tuesday","US-FL"
"video_041","IAB9-7","22.5","25-34","desktop","8.2","0.79","0.16","0.85","0.75","3.2","0.65","0.11","evening","wednesday","US-WA"
"video_042","IAB9-7","19.3","35-44","tablet","7.9","0.76","0.13","0.82","0.71","2.8","0.61","0.09","afternoon","thursday","US-OR"
"video_043","IAB19-6","33.4","25-34","desktop","9","0.87","0.19","0.92","0.86","4.3","0.79","0.17","morning","friday","US-CA"
"video_044","IAB19-6","28.9","35-44","mobile","8.7","0.84","0.17","0.89","0.81","3.9","0.75","0.15","afternoon","saturday","US-NY"
"video_045","IAB19-6","31.1","45-54","tablet","8.8","0.85","0.18","0.9","0.83","4.1","0.77","0.16","morning","sunday","US-TX"
"video_046","IAB13-3","26.8","25-34","mobile","8.3","0.8","0.16","0.86","0.76","3.3","0.68","0.12","evening","monday","US-FL"
