container_id,service_provider,service_name,intent_type,description,host_platforms,avg_latency_ms,p99_latency_ms,throughput_qps,status,version,deployment_region,pricing_model,cpm_usd,monthly_minimum_usd,data_access_level,created_at,last_health_check
artf_001,LiveRamp,LiveRamp Identity Enrichment,audienceSegmentation,Enriches bid requests with RampID and cross-device identity tokens,"index_exchange,magnite,pubmatic,openx",8,22,850000,active,2.1.0,"us-east-1,us-west-2,eu-west-1",cpm,0.08,5000,bid_request_read_write,2025-01-01T00:00:00Z,2025-01-20T12:00:00Z
artf_002,UID2,UID2 Token Resolution,audienceSegmentation,Resolves UID2 tokens and enriches with audience cohorts,"index_exchange,magnite,pubmatic,openx,xandr",6,18,1200000,active,1.5.2,"us-east-1,us-west-2,eu-west-1,ap-northeast-1",free,0,0,bid_request_read_write,2025-01-01T00:00:00Z,2025-01-20T12:01:00Z
artf_003,ID5,ID5 Identity Graph,audienceSegmentation,Cross-device identity resolution via ID5 universal ID,"index_exchange,pubmatic,openx",9,25,650000,active,3.0.1,"us-east-1,eu-west-1",cpm,0.05,2500,bid_request_read_write,2025-01-15T00:00:00Z,2025-01-20T12:02:00Z
artf_004,IAS,IAS Pre-Bid Safety,metadataEnhancement,Pre-bid brand safety scoring and fraud detection signals,"index_exchange,magnite,pubmatic,openx,xandr,google",5,15,2000000,active,4.2.0,"us-east-1,us-west-2,eu-west-1,ap-northeast-1",cpm,0.06,3000,bid_request_read,2025-01-01T00:00:00Z,2025-01-20T12:03:00Z
artf_005,DoubleVerify,DV Authentic Pre-Bid,metadataEnhancement,Pre-bid fraud detection viewability prediction and brand safety,"index_exchange,magnite,pubmatic,openx,xandr",6,16,1800000,active,5.1.0,"us-east-1,us-west-2,eu-west-1",cpm,0.07,3500,bid_request_read,2025-01-01T00:00:00Z,2025-01-20T12:04:00Z
artf_006,Human Security,HUMAN Bot Detection,metadataEnhancement,Sophisticated invalid traffic detection and bot filtering,"index_exchange,magnite,pubmatic",4,12,2500000,active,2.8.0,"us-east-1,us-west-2",cpm,0.05,4000,bid_request_read,2025-01-10T00:00:00Z,2025-01-20T12:05:00Z
artf_007,Peer39,Peer39 Contextual,metadataEnhancement,Contextual classification and brand safety signals,"index_exchange,magnite,pubmatic,openx,xandr",4,14,2200000,active,6.0.0,"us-east-1,us-west-2,eu-west-1",cpm,0.04,2000,bid_request_read,2025-01-01T00:00:00Z,2025-01-20T12:06:00Z
artf_008,Scope3,Scope3 Sustainability,metadataEnhancement,Carbon emissions data and sustainability scoring for impressions,"index_exchange,magnite,pubmatic",7,20,500000,active,1.2.0,"us-east-1,eu-west-1",cpm,0.03,1500,bid_request_read,2025-02-01T00:00:00Z,2025-01-20T12:07:00Z
artf_009,Chalice,Chalice Custom Bidding,bidValuation,Custom bid valuation algorithms for advertiser-specific optimization,"index_exchange",12,35,300000,active,1.0.0,us-east-1,revenue_share,0,10000,bid_request_read_write,2025-01-15T00:00:00Z,2025-01-20T12:08:00Z
artf_010,Oracle Data Cloud,Oracle Audience Activation,audienceSegmentation,Activate Oracle/BlueKai audience segments at bid time,"index_exchange,magnite",10,28,450000,active,2.3.0,"us-east-1,us-west-2",cpm,0.09,4000,bid_request_read_write,2025-01-01T00:00:00Z,2025-01-20T12:09:00Z
artf_011,Index Exchange,Index Header Bidding Optimizer,auctionOrchestration,Optimizes bid request routing and auction dynamics,"index_exchange",3,10,5000000,active,8.0.0,"us-east-1,us-west-2,eu-west-1,ap-northeast-1",included,0,0,bid_request_read_write,2025-01-01T00:00:00Z,2025-01-20T12:10:00Z
artf_012,Magnite,Magnite Deal Curator,dynamicDealCuration,Real-time deal curation and margin optimization,"magnite",5,18,1500000,active,3.5.0,"us-east-1,us-west-2,eu-west-1",included,0,0,bid_request_read_write,2025-01-01T00:00:00Z,2025-01-20T12:11:00Z
