"campaign_id","campaign_name","brand_name","event_type","start_date","end_date","total_investment_euros","contracted_impressions","actual_impressions","logo_visibility_minutes","cost_per_impression","roi_percentage","brand_lift_percentage","audience_reach_millions","engagement_rate","competitor_share","renewal_status"
"CAMP_AUTO_UCL_2025","Champions League Sponsorship","Premium Automotive Brand","Football","2025-02-01","2025-06-15","2000000","85000000","78500000","42.3","0.025","187","12.4","400","0.089","34","Under Review"
"CAMP_APPAREL_UCL_2025","Kit Partnership","Global Sports Apparel","Football","2025-08-01","2026-05-31","1200000","65000000","71200000","38.7","0.017","294","18.7","380","0.124","29","Renewed"
"CAMP_AUTO_F1_2025","Monaco GP Title Sponsor","Premium Automotive Brand","Formula 1","2025-05-20","2025-05-30","3500000","120000000","128400000","71.2","0.027","276","22.1","180","0.156","42","Renewed"
"CAMP_WATCH_F1_2025","Timing Partnership","Luxury Watch Brand","Formula 1","2025-03-01","2025-11-30","800000","25000000","23400000","28.9","0.034","186","8.9","95","0.078","15","Renewed"
"CAMP_AUTO_WIM_2025","Court Sponsorship","Premium Automotive Brand","Tennis","2025-06-28","2025-07-11","1200000","35000000","28700000","18.7","0.042","124","5.2","85","0.045","22","Terminated"
"CAMP_FASHION_WIM_2025","Official Outfitter","Luxury Fashion Brand","Tennis","2025-06-28","2025-07-11","900000","30000000","34200000","24.3","0.026","291","15.8","78","0.098","31","Renewed"
"CAMP_APPAREL_PL_2025","Manchester United Kit","Global Sports Apparel","Football","2025-08-01","2026-05-31","2800000","95000000","102300000","43.2","0.027","265","19.3","285","0.134","38","Renewed"
"CAMP_CRYPTO_PL_2025","Shirt Sponsorship","Cryptocurrency Exchange","Football","2025-08-01","2026-05-31","1500000","55000000","48900000","31.8","0.031","163","7.8","245","0.067","25","Under Review"
"CAMP_TECH_OLY_2024","Olympic Partnership","Technology Innovation","Olympics","2024-07-01","2024-08-15","4200000","200000000","195600000","47.8","0.021","366","28.4","850","0.187","33","Renewed"
"CAMP_AUTO_SB_2025","Super Bowl Commercial","Premium Automotive Brand","American Football","2025-02-01","2025-02-15","5000000","115000000","118500000","9.2","0.042","237","31.7","125","0.234","28","Renewed"
"CAMP_APPAREL_WC_2026","World Cup Kit Partner","Global Sports Apparel","Football","2026-06-01","2026-07-31","8500000","450000000","467800000","58.9","0.018","451","35.2","1200","0.298","45","Renewed"
"CAMP_WATCH_FO_2025","French Open Timing","Luxury Watch Brand","Tennis","2025-05-26","2025-06-09","650000","18000000","15800000","19.4","0.041","176","6.7","42","0.058","19","Under Review"
"CAMP_DRINK_NBA_2025","Court Sponsorship","Sports Drink Brand","Basketball","2025-06-01","2025-06-20","1800000","65000000","69550000","32.7","0.026","286","21.5","95","0.145","35","Renewed"
"CAMP_CAR_GOLF_2025","Masters Tournament","Luxury Car Brand","Golf","2025-04-10","2025-04-13","1100000","22000000","18700000","29.8","0.059","149","8.1","35","0.072","24","Under Review"
"CAMP_BANK_UCL_2025","Stadium Signage","International Banking","Football","2025-02-01","2025-06-15","750000","28000000","24600000","22.1","0.030","228","11.2","320","0.076","18","Renewed"
