"campaign_id","advertiser_name","campaign_name","date","impressions","clicks","conversions","spend","ctr","cvr","cpc","cpa","roas","audience_segment","device_type","inventory_type","content_category","geo_region","time_of_day","day_of_week","average_bid_price","win_rate"
"camp-12345","SportingGear Inc.","Summer Sale 2025","2025-04-01","125000","3750","150","5000.00","0.03","0.04","1.33","33.33","3.5","sports_enthusiast","mobile","premium_publisher","IAB17-16","US-CA","afternoon","wednesday","3.25","0.22"
"camp-12345","SportingGear Inc.","Summer Sale 2025","2025-04-02","130000","3900","156","5200.00","0.03","0.04","1.33","33.33","3.6","sports_enthusiast","mobile","premium_publisher","IAB17-16","US-CA","afternoon","thursday","3.30","0.23"
"camp-12345","SportingGear Inc.","Summer Sale 2025","2025-04-03","115000","3450","138","4600.00","0.03","0.04","1.33","33.33","3.4","sports_enthusiast","mobile","premium_publisher","IAB17-16","US-CA","afternoon","friday","3.20","0.21"
"camp-12345","SportingGear Inc.","Summer Sale 2025","2025-04-04","95000","2850","114","3800.00","0.03","0.04","1.33","33.33","3.2","sports_enthusiast","mobile","premium_publisher","IAB17-16","US-CA","morning","saturday","3.15","0.20"
"camp-12345","SportingGear Inc.","Summer Sale 2025","2025-04-05","90000","2700","108","3600.00","0.03","0.04","1.33","33.33","3.1","sports_enthusiast","mobile","premium_publisher","IAB17-16","US-CA","morning","sunday","3.10","0.19"
"camp-12345","SportingGear Inc.","Summer Sale 2025","2025-04-06","128000","3840","154","5120.00","0.03","0.04","1.33","33.33","3.5","sports_enthusiast","mobile","premium_publisher","IAB17-16","US-CA","afternoon","monday","3.28","0.22"
"camp-12345","SportingGear Inc.","Summer Sale 2025","2025-04-07","132000","3960","158","5280.00","0.03","0.04","1.33","33.33","3.6","sports_enthusiast","mobile","premium_publisher","IAB17-16","US-CA","afternoon","tuesday","3.32","0.23"
"camp-67890","TechGadgets Pro","Innovation Launch","2025-04-01","95000","2850","114","4275.00","0.03","0.04","1.50","37.50","2.8","tech_enthusiast","desktop","premium_publisher","IAB4-3","US-NY","evening","wednesday","3.50","0.25"
"camp-67890","TechGadgets Pro","Innovation Launch","2025-04-02","98000","2940","118","4410.00","0.03","0.04","1.50","37.50","2.9","tech_enthusiast","desktop","premium_publisher","IAB4-3","US-NY","evening","thursday","3.55","0.26"
"camp-67890","TechGadgets Pro","Innovation Launch","2025-04-03","92000","2760","110","4140.00","0.03","0.04","1.50","37.50","2.7","tech_enthusiast","desktop","premium_publisher","IAB4-3","US-NY","evening","friday","3.45","0.24"
"camp-67890","TechGadgets Pro","Innovation Launch","2025-04-04","75000","2250","90","3375.00","0.03","0.04","1.50","37.50","2.5","tech_enthusiast","desktop","premium_publisher","IAB4-3","US-NY","afternoon","saturday","3.30","0.22"
"camp-67890","TechGadgets Pro","Innovation Launch","2025-04-05","70000","2100","84","3150.00","0.03","0.04","1.50","37.50","2.4","tech_enthusiast","desktop","premium_publisher","IAB4-3","US-NY","afternoon","sunday","3.25","0.21"
"camp-67890","TechGadgets Pro","Innovation Launch","2025-04-06","97000","2910","116","4365.00","0.03","0.04","1.50","37.50","2.8","tech_enthusiast","desktop","premium_publisher","IAB4-3","US-NY","evening","monday","3.52","0.25"
"camp-67890","TechGadgets Pro","Innovation Launch","2025-04-07","99000","2970","119","4455.00","0.03","0.04","1.50","37.50","2.9","tech_enthusiast","desktop","premium_publisher","IAB4-3","US-NY","evening","tuesday","3.58","0.26"
