service_id,provider_name,service_type,verification_categories,supported_channels,avg_response_time_ms,accuracy_rate,false_positive_rate,pricing_model,cpm_usd,monthly_minimum_usd,integration_method,api_endpoint,certifications,created_at
ver_ias_001,IAS,brand_safety,"adult,violence,hate_speech,drugs,arms,piracy,spam,fake_news",ctv|online_video|display|audio,45,0.96,0.02,cpm,0.12,2500,prebid|server_to_server,https://api.integralads.com/v3,mrc|tag,2024-01-01
ver_ias_002,IAS,viewability,"video_viewability,display_viewability,completion_rate",ctv|online_video|display,35,0.94,0.03,cpm,0.08,2000,prebid|javascript_tag,https://api.integralads.com/v3/viewability,mrc,2024-01-01
ver_ias_003,IAS,fraud_detection,"sivt,givt,bot_traffic,datacenter,proxy",ctv|online_video|display|audio,40,0.97,0.01,cpm,0.10,2500,prebid|server_to_server,https://api.integralads.com/v3/fraud,mrc|tag,2024-01-15
ver_dv_001,DoubleVerify,brand_safety,"adult,violence,hate_speech,drugs,arms,piracy,controversial,misinformation",ctv|online_video|display|audio,42,0.97,0.02,cpm,0.13,3000,prebid|server_to_server,https://api.doubleverify.com/v2,mrc|tag,2024-01-01
ver_dv_002,DoubleVerify,viewability,"video_viewability,display_viewability,audibility,completion_rate",ctv|online_video|display|audio,38,0.95,0.02,cpm,0.09,2500,prebid|javascript_tag,https://api.doubleverify.com/v2/viewability,mrc,2024-01-01
ver_dv_003,DoubleVerify,fraud_detection,"sophisticated_ivt,general_ivt,datacenter,device_farm",ctv|online_video|display|audio,36,0.98,0.01,cpm,0.11,3000,prebid|server_to_server,https://api.doubleverify.com/v2/fraud,mrc|tag,2024-01-10
ver_dv_004,DoubleVerify,attention_metrics,"attention_score,engagement_rate,dwell_time",online_video|display,55,0.88,0.04,cpm,0.15,3500,javascript_tag,https://api.doubleverify.com/v2/attention,na,2024-02-01
ver_moat_001,Moat (Oracle),viewability,"video_viewability,display_viewability,human_presence",ctv|online_video|display,48,0.93,0.03,cpm,0.07,2000,javascript_tag,https://api.moat.com/v1,mrc,2024-01-01
ver_moat_002,Moat (Oracle),attention_metrics,"attention_time,in_view_time,scroll_velocity",online_video|display,52,0.86,0.05,cpm,0.14,2500,javascript_tag,https://api.moat.com/v1/attention,na,2024-02-15
ver_gv_001,Grapeshot (Oracle),contextual_safety,"page_sentiment,brand_suitability,content_category",online_video|display,32,0.91,0.04,cpm,0.06,1500,prebid|api,https://api.grapeshot.com/v2,na,2024-01-20
ver_p39_001,Peer39,contextual_safety,"page_quality,brand_safety,content_category,sentiment",ctv|online_video|display,28,0.94,0.03,cpm,0.05,1500,prebid|api,https://api.peer39.com/v3,na,2024-01-01
ver_p39_002,Peer39,cookieless_targeting,"contextual_segments,semantic_targeting",online_video|display,30,0.89,0.04,cpm,0.08,2000,prebid|api,https://api.peer39.com/v3/targeting,na,2024-01-15
ver_hr_001,Human (White Ops),fraud_detection,"sophisticated_ivt,botnet,malware,human_verification",ctv|online_video|display|audio,25,0.99,0.005,cpm,0.12,3500,prebid|server_to_server,https://api.humansecurity.com/v1,mrc|tag,2024-01-01
ver_pix_001,Pixalate,fraud_detection,"ctv_fraud,ott_fraud,mobile_fraud,invalid_traffic",ctv|online_video|audio,35,0.95,0.02,cpm,0.10,2500,api|dashboard,https://api.pixalate.com/v2,mrc,2024-02-01
ver_ade_001,Adelaide,attention_metrics,"au_score,attention_unit,media_quality",online_video|display,60,0.87,0.05,cpm,0.18,4000,javascript_tag|api,https://api.adelaidemetrics.com/v1,na,2024-02-20
