"event_id","event_name","event_date","our_brand","our_visibility_minutes","our_share_percent","competitor_1","competitor_1_visibility","competitor_1_share","competitor_2","competitor_2_visibility","competitor_2_share","competitor_3","competitor_3_visibility","competitor_3_share","market_concentration_index","our_competitive_position","key_moment_dominance","strategic_recommendation"
"UCL_FINAL_2025","UEFA Champions League Final","2025-05-31","Premium Automotive Brand","42.3","34","Competitor Auto A","35.2","28","Competitor Auto B","23.7","19","Tech Innovation Co","12.4","10","0.73","Market Leader","High during goals","Maintain dominance"
"F1_MONACO_2025","Formula 1 Monaco Grand Prix","2025-05-25","Premium Automotive Brand","71.2","42","Competitor Auto A","48.9","29","Luxury Watch A","31.2","18","Energy Drink Co","18.7","11","0.68","Strong Leader","Very High","Expand partnership"
"WIMBLEDON_2025","Wimbledon Championships","2025-07-06","Premium Automotive Brand","18.7","22","Luxury Fashion A","26.8","31","Luxury Watch B","21.4","25","Banking Corp","18.9","22","0.52","Weak Position","Low","Exit or major change"
"PREMIER_LEAGUE_2025","Manchester United vs Arsenal","2025-03-15","Global Sports Apparel","43.2","38","Competitor Apparel A","28.9","25","Competitor Apparel B","24.1","21","Crypto Exchange","18.2","16","0.61","Market Leader","High","Strengthen position"
"OLYMPICS_2024","Paris Olympics Opening","2024-07-26","Technology Innovation","47.8","33","Tech Giant A","41.2","28","Sports Brand A","32.7","23","Telecom Corp","23.4","16","0.58","Leading Position","Medium","Maintain investment"
"SUPER_BOWL_2025","Super Bowl LIX","2025-02-09","Premium Automotive Brand","9.2","28","Auto Competitor A","11.7","36","Beer Brand A","7.8","24","Snack Food Co","3.9","12","0.64","Second Position","Medium","Increase investment"
"WORLD_CUP_2026","FIFA World Cup Final","2026-07-19","Global Sports Apparel","58.9","45","Competitor Apparel A","32.1","25","Competitor Apparel B","23.8","18","Beverage Brand","15.7","12","0.71","Dominant Leader","Very High","Maintain dominance"
"TENNIS_OPEN_2025","French Open Final","2025-06-08","Luxury Watch Brand","19.4","19","Luxury Watch A","28.7","28","Fashion Brand A","24.2","24","Banking Corp","29.8","29","0.48","Weak Position","Low","Renegotiate or exit"
"NBA_FINALS_2025","NBA Finals Game 7","2025-06-15","Sports Drink Brand","32.7","35","Competitor Drink A","26.8","29","Fast Food Chain","18.9","20","Tech Company","14.7","16","0.59","Market Leader","High","Strengthen position"
"GOLF_MASTERS_2025","The Masters Tournament","2025-04-13","Luxury Car Brand","29.8","24","Luxury Car A","34.2","28","Financial Services","31.7","26","Watch Brand A","26.9","22","0.51","Second Position","Medium","Increase visibility"
"EURO_2024","European Championship Final","2024-07-14","Global Sports Apparel","52.1","41","Competitor Apparel A","31.8","25","Competitor Apparel B","24.7","19","Beverage Brand","19.2","15","0.66","Market Leader","High","Maintain leadership"
"TENNIS_US_2025","US Open Final","2025-09-07","Luxury Watch Brand","22.3","21","Luxury Watch A","31.4","29","Banking Corp","28.9","27","Fashion Brand A","24.7","23","0.49","Weak Position","Low","Major repositioning needed"
"BASKETBALL_ALL_2025","NBA All-Star Game","2025-02-16","Sports Drink Brand","28.4","32","Competitor Drink A","24.7","28","Snack Brand A","19.8","22","Telecom Corp","15.9","18","0.56","Market Leader","Medium","Maintain position"
"SOCCER_COPA_2024","Copa America Final","2024-07-14","Global Sports Apparel","41.7","39","Competitor Apparel A","28.3","26","Competitor Apparel B","21.9","21","Energy Drink Co","14.8","14","0.63","Strong Leader","High","Expand presence"
"HOCKEY_STANLEY_2025","Stanley Cup Final","2025-06-12","Sports Equipment Brand","35.2","31","Competitor Equipment A","29.7","26","Beer Brand A","26.8","24","Banking Corp","21.4","19","0.54","Leading Position","Medium","Strengthen dominance"
