"segment_id","campaign_id","month","impressions","clicks","conversions","spend","ctr","cvr","cpc","cpa","roas","average_order_value","lifetime_value"
"sports_enthusiast","camp-001","2025-04","1200000","18000","540","22500","0.015","0.030","1.25","41.67","2.88","120.00","345.00"
"tech_enthusiast","camp-001","2025-04","800000","16000","640","32000","0.020","0.040","2.00","50.00","3.20","160.00","485.00"
"luxury_lifestyle","camp-002","2025-04","500000","12500","500","62500","0.025","0.040","5.00","125.00","4.80","600.00","1850.00"
"health_enthusiast","camp-003","2025-04","1500000","22500","900","45000","0.015","0.040","2.00","50.00","2.40","120.00","285.00"
"travel_enthusiast","camp-004","2025-04","600000","9000","270","45000","0.015","0.030","5.00","166.67","2.70","450.00","1200.00"
"sports_enthusiast","camp-12345","2025-04","1800000","54000","2160","67500","0.030","0.040","1.25","31.25","3.50","108.00","425.00"
"tech_enthusiast","camp-67890","2025-04","950000","28500","1140","71250","0.030","0.040","2.50","62.50","2.60","160.00","520.00"
"fashion_enthusiast","camp-24680","2025-04","2200000","88000","4400","132000","0.040","0.050","1.50","30.00","4.00","120.00","385.00"
"home_enthusiast","camp-13579","2025-04","1100000","33000","1320","49500","0.030","0.040","1.50","37.50","3.20","120.00","390.00"
"travel_enthusiast","camp-97531","2025-04","1600000","64000","2560","96000","0.040","0.040","1.50","37.50","3.80","142.50","680.00"
"finance_enthusiast","camp-24601","2025-04","850000","21250","850","63750","0.025","0.040","3.00","75.00","2.50","187.50","895.00"
"gaming_enthusiast","camp-86420","2025-04","2800000","140000","5600","140000","0.050","0.040","1.00","25.00","4.50","112.50","285.00"
"health_enthusiast","camp-35791","2025-04","1450000","43500","2175","65250","0.030","0.050","1.50","30.00","3.80","114.00","425.00"
"auto_intender","camp-80246","2025-04","1250000","37500","750","112500","0.030","0.020","3.00","150.00","2.00","300.00","1850.00"
"beauty_enthusiast","camp-15937","2025-04","2100000","84000","3360","126000","0.040","0.040","1.50","37.50","3.20","120.00","385.00"
"food_enthusiast","camp-11111","2025-04","2400000","120000","6000","180000","0.050","0.050","1.50","30.00","4.20","126.00","365.00"
"pet_owner","camp-22222","2025-04","1200000","36000","2160","54000","0.030","0.060","1.50","25.00","4.50","112.50","525.00"
"deal_seeker","camp-33333","2025-04","3200000","160000","8000","240000","0.050","0.050","1.50","30.00","4.00","120.00","285.00"
"tech_early_adopter","camp-44444","2025-04","800000","24000","1200","72000","0.030","0.050","3.00","60.00","2.80","168.00","750.00"
"crypto_investor","camp-55555","2025-04","950000","28500","1140","142500","0.030","0.040","5.00","125.00","2.20","275.00","1425.00"
"entertainment_seeker","camp-66666","2025-04","1850000","92500","3700","138750","0.050","0.040","1.50","37.50","3.50","131.25","485.00"
"sustainability_conscious","camp-77777","2025-04","1100000","44000","1760","88000","0.040","0.040","2.00","50.00","3.20","160.00","680.00"
"luxury_consumer","camp-88888","2025-04","450000","13500","540","90000","0.030","0.040","6.67","166.67","2.00","333.33","2850.00"
"student","camp-99999","2025-04","1500000","45000","2250","135000","0.030","0.050","3.00","60.00","2.50","150.00","385.00"
"sports_enthusiast","camp-12345","2025-03","1750000","52500","2100","65625","0.030","0.040","1.25","31.25","3.45","108.75","420.00"
"tech_enthusiast","camp-67890","2025-03","920000","27600","1104","69000","0.030","0.040","2.50","62.50","2.55","158.40","510.00"
"fashion_enthusiast","camp-24680","2025-03","2150000","86000","4300","129000","0.040","0.050","1.50","30.00","3.95","119.25","380.00"
"home_enthusiast","camp-13579","2025-03","1050000","31500","1260","47250","0.030","0.040","1.50","37.50","3.15","118.50","385.00"
"travel_enthusiast","camp-97531","2025-03","1550000","62000","2480","93000","0.040","0.040","1.50","37.50","3.75","141.00","675.00"
"finance_enthusiast","camp-24601","2025-03","820000","20500","820","61500","0.025","0.040","3.00","75.00","2.45","185.25","880.00"
"gaming_enthusiast","camp-86420","2025-03","2750000","137500","5500","137500","0.050","0.040","1.00","25.00","4.45","111.25","280.00"
"health_enthusiast","camp-35791","2025-03","1400000","42000","2100","63000","0.030","0.050","1.50","30.00","3.75","112.50","420.00"
"auto_intender","camp-80246","2025-03","1200000","36000","720","108000","0.030","0.020","3.00","150.00","1.95","292.50","1800.00"
"beauty_enthusiast","camp-15937","2025-03","2050000","82000","3280","123000","0.040","0.040","1.50","37.50","3.15","118.50","380.00"
"food_enthusiast","camp-11111","2025-03","2350000","117500","5875","176250","0.050","0.050","1.50","30.00","4.15","125.25","360.00"
"pet_owner","camp-22222","2025-03","1150000","34500","2070","51750","0.030","0.060","1.50","25.00","4.45","111.25","520.00"
"deal_seeker","camp-33333","2025-03","3150000","157500","7875","236250","0.050","0.050","1.50","30.00","3.95","118.50","280.00"
"tech_early_adopter","camp-44444","2025-03","780000","23400","1170","70200","0.030","0.050","3.00","60.00","2.75","165.60","740.00"
"crypto_investor","camp-55555","2025-03","920000","27600","1104","138000","0.030","0.040","5.00","125.00","2.15","272.50","1400.00"
"entertainment_seeker","camp-66666","2025-03","1800000","90000","3600","135000","0.050","0.040","1.50","37.50","3.45","129.75","480.00"
"sustainability_conscious","camp-77777","2025-03","1050000","42000","1680","84000","0.040","0.040","2.00","50.00","3.15","157.50","675.00"
"luxury_consumer","camp-88888","2025-03","430000","12900","516","86000","0.030","0.040","6.67","166.67","1.95","325.00","2800.00"
"student","camp-99999","2025-03","1450000","43500","2175","130500","0.030","0.050","3.00","60.00","2.45","147.75","380.00"
"sports_enthusiast","camp-001","2025-03","1150000","17250","518","21563","0.015","0.030","1.25","41.67","2.85","119.25","340.00"
"tech_enthusiast","camp-001","2025-03","780000","15600","624","31200","0.020","0.040","2.00","50.00","3.15","158.40","480.00"
"luxury_lifestyle","camp-002","2025-03","480000","12000","480","60000","0.025","0.040","5.00","125.00","4.75","595.00","1825.00"
"health_enthusiast","camp-003","2025-03","1450000","21750","870","43500","0.015","0.040","2.00","50.00","2.35","118.50","280.00"
"travel_enthusiast","camp-004","2025-03","580000","8700","261","43500","0.015","0.030","5.00","166.67","2.65","446.25","1185.00"
"new_parent","camp-001","2025-04","850000","21250","1275","31875","0.025","0.060","1.50","25.00","4.80","120.00","485.00"
"outdoor_enthusiast","camp-002","2025-04","1200000","36000","1440","54000","0.030","0.040","1.50","37.50","3.60","135.00","680.00"
"senior_citizen","camp-003","2025-04","650000","16250","650","48750","0.025","0.040","3.00","75.00","2.67","200.00","1250.00"
"news_reader","camp-004","2025-04","950000","28500","855","57000","0.030","0.030","2.00","66.67","2.50","150.00","485.00"
"new_parent","camp-001","2025-03","820000","20500","1230","30750","0.025","0.060","1.50","25.00","4.75","118.50","480.00"
"outdoor_enthusiast","camp-002","2025-03","1150000","34500","1380","51750","0.030","0.040","1.50","37.50","3.55","133.75","675.00"
"senior_citizen","camp-003","2025-03","630000","15750","630","47250","0.025","0.040","3.00","75.00","2.62","197.50","1225.00"
"news_reader","camp-004","2025-03","920000","27600","828","55200","0.030","0.030","2.00","66.67","2.45","148.50","480.00"
"sports_enthusiast","camp-11111","2025-04","950000","28500","1140","35625","0.030","0.040","1.25","31.25","3.85","120.75","485.00"
"tech_enthusiast","camp-22222","2025-04","750000","22500","900","56250","0.030","0.040","2.50","62.50","2.88","180.00","680.00"
"fashion_enthusiast","camp-33333","2025-04","1650000","66000","3300","99000","0.040","0.050","1.50","30.00","4.20","126.00","425.00"
"home_enthusiast","camp-44444","2025-04","850000","25500","1020","38250","0.030","0.040","1.50","37.50","3.40","127.50","485.00"
"travel_enthusiast","camp-55555","2025-04","1100000","44000","1760","66000","0.040","0.040","1.50","37.50","4.00","150.00","850.00"
"finance_enthusiast","camp-66666","2025-04","650000","16250","650","48750","0.025","0.040","3.00","75.00","2.67","200.00","1185.00"
"gaming_enthusiast","camp-77777","2025-04","1850000","92500","3700","92500","0.050","0.040","1.00","25.00","4.80","120.00","325.00"
"health_enthusiast","camp-88888","2025-04","1200000","36000","1800","54000","0.030","0.050","1.50","30.00","4.00","120.00","485.00"
"auto_intender","camp-99999","2025-04","850000","25500","510","76500","0.030","0.020","3.00","150.00","2.12","318.00","2185.00"
"beauty_enthusiast","camp-001","2025-04","1450000","58000","2320","87000","0.040","0.040","1.50","37.50","3.47","130.13","425.00"
"food_enthusiast","camp-002","2025-04","1950000","97500","4875","146250","0.050","0.050","1.50","30.00","4.33","129.90","385.00"
"pet_owner","camp-003","2025-04","950000","28500","1710","42750","0.030","0.060","1.50","25.00","4.80","120.00","685.00"
"deal_seeker","camp-004","2025-04","2650000","132500","6625","198750","0.050","0.050","1.50","30.00","4.17","125.10","325.00"
"tech_early_adopter","camp-001","2025-04","650000","19500","975","58500","0.030","0.050","3.00","60.00","2.92","175.20","885.00"
"crypto_investor","camp-002","2025-04","780000","23400","936","117000","0.030","0.040","5.00","125.00","2.34","292.50","1685.00"
"entertainment_seeker","camp-003","2025-04","1550000","77500","3100","116250","0.050","0.040","1.50","37.50","3.73","140.25","525.00"
"sustainability_conscious","camp-004","2025-04","950000","38000","1520","76000","0.040","0.040","2.00","50.00","3.42","171.00","785.00"
"luxury_consumer","camp-001","2025-04","350000","10500","420","70000","0.030","0.040","6.67","166.67","2.14","357.00","3185.00"
"student","camp-002","2025-04","1250000","37500","1875","112500","0.030","0.050","3.00","60.00","2.67","160.00","425.00"
"new_parent","camp-003","2025-04","750000","18750","1125","28125","0.025","0.060","1.50","25.00","5.00","125.00","585.00"
"outdoor_enthusiast","camp-004","2025-04","1050000","31500","1260","47250","0.030","0.040","1.50","37.50","3.81","142.50","785.00"
"senior_citizen","camp-001","2025-04","550000","13750","550","41250","0.025","0.040","3.00","75.00","2.80","210.00","1485.00"
"news_reader","camp-002","2025-04","850000","25500","765","51000","0.030","0.030","2.00","66.67","2.65","158.40","585.00"
